AC_M_014 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_014 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.77,0.000,0.0
2.0,24.01,0.000,0.0
2.5,24.26,0.000,0.0
3.0,24.52,0.000,0.0
3.5,24.77,0.000,0.0
4.0,25.02,0.000,0.0
4.5,25.27,1.000,23.6
5.0,25.30,1.171,27.6
5.5,25.30,1.003,23.7
6.0,25.30,0.835,19.7
6.5,25.30,0.667,15.7
7.0,25.30,0.499,11.8
7.5,25.30,0.331,7.8
8.0,25.30,0.164,3.9
8.5,25.30,0.075,1.8
9.0,25.30,0.000,0.0
9.5,25.30,0.000,0.0
10.0,25.27,0.000,0.0
10.5,25.23,0.000,0.0
11.0,25.18,0.000,0.0
11.5,25.15,0.000,0.0
12.0,25.12,0.000,0.0
12.5,25.05,0.000,0.0
13.0,24.98,0.000,0.0
13.5,24.91,0.000,0.0
14.0,24.83,0.000,0.0
14.5,24.76,0.000,0.0
15.0,24.69,0.000,0.0
15.5,24.62,0.000,0.0
16.0,24.56,0.000,0.0
16.5,24.57,0.000,0.0
17.0,24.59,0.000,0.0
17.5,24.63,0.000,0.0
18.0,24.67,0.000,0.0
18.5,24.73,0.000,0.0
19.0,24.80,0.000,0.0
19.5,24.87,0.000,0.0
20.0,24.94,0.000,0.0
20.5,24.99,0.000,0.0
21.0,25.03,0.000,0.0
21.5,25.07,0.000,0.0
22.0,25.09,0.000,0.0
22.5,25.11,0.000,0.0
23.0,25.15,0.000,0.0
23.5,25.22,0.113,2.7
24.0,25.30,0.445,10.5

"日期: 2021/6/10, 空调: AC_M_014 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.66,0.000,0.0
1.5,23.91,0.000,0.0
2.0,24.15,0.000,0.0
2.5,24.41,0.000,0.0
3.0,24.68,0.000,0.0
3.5,24.97,0.000,0.0
4.0,25.28,1.423,33.6
4.5,25.30,1.656,39.1
5.0,25.30,1.811,42.7
5.5,25.30,1.789,42.2
6.0,25.30,1.766,41.7
6.5,25.30,1.744,41.1
7.0,25.30,1.721,40.6
7.5,25.30,1.699,40.1
8.0,25.30,1.676,39.5
8.5,25.30,1.519,35.8
9.0,25.30,1.361,32.1
9.5,25.30,1.204,28.4
