AC_S_022 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_022 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.57,0.000,0.0
1.5,23.86,0.000,0.0
2.0,24.16,0.000,0.0
2.5,24.49,0.587,21.8
3.0,24.50,0.623,23.1
3.5,24.50,0.650,24.1
4.0,24.50,0.677,25.1
4.5,24.50,0.703,26.0
5.0,24.50,0.730,27.0
5.5,24.50,0.640,23.7
6.0,24.50,0.549,20.3
6.5,24.50,0.459,17.0
7.0,24.50,0.369,13.7
7.5,24.50,0.279,10.3
8.0,24.50,0.188,7.0
8.5,24.50,0.141,5.2
9.0,24.50,0.093,3.4
9.5,24.50,0.045,1.7
10.0,24.50,0.000,0.0
10.5,24.50,0.000,0.0
11.0,24.47,0.000,0.0
11.5,24.48,0.000,0.0
12.0,24.49,0.000,0.0
12.5,24.44,0.000,0.0
13.0,24.38,0.000,0.0
13.5,24.33,0.000,0.0
14.0,24.28,0.000,0.0
14.5,24.22,0.000,0.0
15.0,24.16,0.000,0.0
15.5,24.10,0.000,0.0
16.0,24.06,0.000,0.0
16.5,24.11,0.000,0.0
17.0,24.17,0.000,0.0
17.5,24.24,0.000,0.0
18.0,24.33,0.000,0.0
18.5,24.42,0.062,2.3
19.0,24.50,0.227,8.4
19.5,24.50,0.207,7.7
20.0,24.50,0.187,6.9
20.5,24.50,0.168,6.2
21.0,24.50,0.148,5.5
21.5,24.50,0.128,4.8
22.0,24.50,0.109,4.0
22.5,24.50,0.186,6.9
23.0,24.50,0.263,9.7
23.5,24.50,0.339,12.6
24.0,24.50,0.339,12.6

"日期: 2021/6/10, 空调: AC_S_022 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.71,0.000,0.0
1.5,24.04,0.000,0.0
2.0,24.35,0.322,11.9
2.5,24.50,0.657,24.3
3.0,24.50,0.740,27.4
3.5,24.50,0.824,30.5
4.0,24.50,0.907,33.6
4.5,24.50,0.990,36.7
5.0,24.50,1.074,39.8
5.5,24.50,1.062,39.3
6.0,24.50,1.050,38.9
6.5,24.50,1.037,38.4
7.0,24.50,1.025,38.0
7.5,24.50,1.013,37.5
8.0,24.50,1.001,37.1
8.5,24.50,0.917,33.9
9.0,24.50,0.832,30.8
9.5,24.50,0.747,27.7
10.0,24.50,0.663,24.5
10.5,24.50,0.578,21.4
11.0,24.50,0.271,10.0
11.5,24.50,0.270,10.0
12.0,24.50,0.493,18.3
12.5,24.50,0.479,17.7
13.0,24.50,0.464,17.2
13.5,24.50,0.450,16.7
14.0,24.50,0.435,16.1
14.5,24.50,0.421,15.6
15.0,24.50,0.406,15.0
15.5,24.50,0.380,14.1
16.0,24.50,0.268,9.9
16.5,24.50,0.262,9.7
17.0,24.50,0.255,9.5
17.5,24.50,0.249,9.2
18.0,24.50,0.243,9.0
