AC_M_001 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_001 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.83,0.000,0.0
2.0,24.12,0.000,0.0
2.5,24.43,0.000,0.0
3.0,24.73,0.000,0.0
3.5,25.03,0.000,0.0
4.0,25.32,0.000,0.0
4.5,25.61,0.675,17.3
5.0,25.70,1.035,26.5
5.5,25.70,0.874,22.4
6.0,25.70,0.713,18.3
6.5,25.70,0.551,14.1
7.0,25.70,0.390,10.0
7.5,25.70,0.229,5.9
8.0,25.70,0.067,1.7
8.5,25.70,0.000,0.0
9.0,25.69,0.000,0.0
9.5,25.67,0.000,0.0
10.0,25.62,0.000,0.0
10.5,25.54,0.000,0.0
11.0,25.45,0.000,0.0
11.5,25.40,0.000,0.0
12.0,25.35,0.000,0.0
12.5,25.25,0.000,0.0
13.0,25.15,0.000,0.0
13.5,25.05,0.000,0.0
14.0,24.95,0.000,0.0
14.5,24.86,0.000,0.0
15.0,24.77,0.000,0.0
15.5,24.67,0.000,0.0
16.0,24.60,0.000,0.0
16.5,24.61,0.000,0.0
17.0,24.63,0.000,0.0
17.5,24.67,0.000,0.0
18.0,24.72,0.000,0.0
18.5,24.79,0.000,0.0
19.0,24.87,0.000,0.0
19.5,24.96,0.000,0.0
20.0,25.03,0.000,0.0
20.5,25.09,0.000,0.0
21.0,25.14,0.000,0.0
21.5,25.17,0.000,0.0
22.0,25.20,0.000,0.0
22.5,25.21,0.000,0.0
23.0,25.25,0.000,0.0
23.5,25.34,0.000,0.0
24.0,25.46,0.000,0.0

"日期: 2021/6/10, 空调: AC_M_001 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.70,0.000,0.0
1.5,24.00,0.000,0.0
2.0,24.30,0.000,0.0
2.5,24.60,0.000,0.0
3.0,24.92,0.000,0.0
3.5,25.26,0.000,0.0
4.0,25.63,1.106,28.4
4.5,25.70,1.501,38.5
5.0,25.70,1.650,42.3
5.5,25.70,1.629,41.8
6.0,25.70,1.607,41.2
6.5,25.70,1.585,40.6
7.0,25.70,1.564,40.1
7.5,25.70,1.542,39.5
8.0,25.70,1.520,39.0
8.5,25.70,1.369,35.1
9.0,25.70,1.218,31.2
9.5,25.70,1.066,27.3
10.0,25.70,0.915,23.5
10.5,25.70,0.764,19.6
11.0,25.70,0.215,5.5
11.5,25.70,0.212,5.4
12.0,25.70,0.612,15.7
12.5,25.70,0.586,15.0
13.0,25.70,0.560,14.4
13.5,25.70,0.534,13.7
14.0,25.70,0.508,13.0
14.5,25.70,0.482,12.4
15.0,25.70,0.457,11.7
15.5,25.70,0.410,10.5
16.0,25.70,0.210,5.4
16.5,25.70,0.198,5.1
17.0,25.70,0.187,4.8
17.5,25.70,0.176,4.5
18.0,25.70,0.165,4.2
18.5,25.70,0.153,3.9
19.0,25.70,0.142,3.6
19.5,25.70,0.175,4.5
20.0,25.70,0.207,5.3
20.5,25.70,0.240,6.2
21.0,25.70,0.273,7.0
21.5,25.70,0.305,7.8
22.0,25.70,0.338,8.7
22.5,25.70,0.408,10.5
23.0,25.70,0.477,12.2
23.5,25.70,0.547,14.0
24.0,25.70,0.547,14.0

"日期: 2021/6/11, 空调: AC_M_001 (medium), 状态: success"
