空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_S_059,small,2021/6/1,success,1.89560875375,0.07898369807291666,0.66254762,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/10,success,9.569456925,0.398727371875,1.0477316,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/11,success,8.9771590448,0.37404829353333335,0.92115996,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/12,success,1.5635276835,0.0651469868125,0.38518394,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/13,success,6.085112341,0.25354634754166666,0.58207309,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/14,success,9.11681851,0.37986743791666666,0.68676811,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/15,success,8.55623657,0.3565098570833333,0.76568003,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/16,success,13.75584715,0.5731602979166667,0.92037865,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/17,success,13.65588022,0.5689950091666667,1.2141498,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/18,success,14.771560715,0.6154816964583333,1.0673944,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/19,success,16.676471845,0.6948529935416666,1.4336968,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/2,success,4.740784015,0.19753266729166666,0.56058717,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/20,success,16.894665585,0.703944399375,1.3688484,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/21,success,13.84551727,0.5768965529166666,1.0908336,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/22,success,2.5472148555,0.1061339523125,0.42151467,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/23,success,0.0863086937,0.0035961955708333332,0.13706242,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/24,success,0.0,0.0,0.0,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/25,success,1.952052564,0.08133552349999999,0.44729777,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/26,success,5.322848273,0.22178534470833333,0.46253324,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/27,success,9.087972205,0.37866550854166664,0.6646311,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/28,success,3.5865766386,0.149440693275,0.4562828,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/29,success,7.640721421,0.3183633925416667,0.50941161,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/3,success,11.6180961535,0.4840873397291667,0.9516309,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/30,success,11.0623967,0.46093319583333336,0.76958656,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/4,success,3.68749737615,0.15364572400625,0.47503414,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/5,success,3.793598632,0.15806660966666666,0.62504493,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/6,success,7.0088752434,0.29203646847500003,0.97897661,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/7,success,8.7341796627,0.36392415261250005,1.1422696,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/8,success,8.157725718065,0.33990523825270835,0.99824883,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/6/9,success,4.6874892869,0.19531205362083334,0.55668064,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/7/1,success,12.55717998,0.5232158325,0.90449209,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/7/10,success,9.420441228,0.3925183845,0.8883451,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/7/11,success,8.493355035,0.353889793125,0.56566566,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/7/12,success,13.175220685,0.5489675285416666,1.0430437,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/7/13,success,14.47408234,0.6030867641666667,1.0352307,3.49,"[20.5, 25.6]"
AC_S_059,small,2021/7/14,success,12.371582035,0.5154825847916666,1.1555518,3.49,"[20.5, 25.6]"
