AC_M_014 多天功率矩阵
"空调参数: P_rated=4.24kW, T_range=[20.5, 25.3]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.171,1.003,0.835,0.667,0.499,0.331,0.164,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,0.445
2021/6/10,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.423,1.656,1.811,1.789,1.766,1.744,1.721,1.699,1.676,1.519,1.361,1.204,1.046,0.888,0.318,0.315,0.731,0.704,0.677,0.650,0.623,0.596,0.569,0.521,0.312,0.300,0.288,0.277,0.265,0.253,0.241,0.275,0.309,0.343,0.377,0.411,0.445,0.518,0.590,0.663,0.663
2021/6/11,success,0.000,0.000,0.000,0.000,0.000,0.648,1.520,1.525,1.529,1.533,1.545,1.556,1.567,1.578,1.590,1.601,1.451,1.302,1.152,1.003,0.853,0.377,0.328,0.704,0.639,0.574,0.510,0.445,0.380,0.315,0.304,0.280,0.231,0.182,0.132,0.083,0.034,0.000,0.024,0.093,0.148,0.203,0.257,0.312,0.511,0.710,0.909,0.909
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.702,0.694,0.686,0.551,0.416,0.281,0.146,0.011,0.269,0.257,0.000,0.000,0.000,0.000,0.072,0.208,0.274,0.220,0.245,0.193,0.141,0.088,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/13,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,1.024,1.037,1.012,0.987,0.962,0.937,0.912,0.887,0.860,0.834,0.808,0.781,0.755,0.058,0.003,0.728,0.679,0.630,0.580,0.531,0.482,0.432,0.480,0.000,0.000,0.000,0.000,0.010,0.075,0.100,0.172,0.244,0.315,0.387,0.459,0.531,0.602,0.673,0.744,0.744
2021/6/14,success,0.000,0.000,0.000,0.000,0.000,0.000,0.460,1.169,1.190,1.211,1.196,1.181,1.165,1.150,1.134,1.119,1.017,0.915,0.813,0.711,0.608,0.621,0.668,0.506,0.509,0.512,0.515,0.518,0.521,0.525,0.498,0.715,0.674,0.633,0.592,0.551,0.510,0.469,0.521,0.573,0.625,0.677,0.729,0.782,0.832,0.883,0.933,0.933
2021/6/15,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.791,0.771,0.866,0.962,1.057,1.152,1.247,1.342,1.249,1.156,1.063,0.969,0.876,0.420,0.394,0.783,0.774,0.765,0.756,0.747,0.737,0.728,0.720,0.367,0.389,0.411,0.433,0.455,0.477,0.499,0.534,0.570,0.605,0.640,0.676,0.711,0.742,0.772,0.802,0.802
2021/6/16,success,0.000,0.000,0.000,0.000,0.000,0.502,1.411,1.446,1.481,1.516,1.530,1.544,1.558,1.572,1.586,1.600,1.509,1.419,1.329,1.239,1.148,0.694,0.685,1.058,1.026,0.994,0.961,0.929,0.897,0.865,0.819,0.676,0.689,0.702,0.714,0.727,0.739,0.752,0.830,0.908,0.987,1.065,1.143,1.222,1.236,1.250,1.264,1.264
2021/6/17,success,0.000,0.000,0.000,0.000,0.000,0.000,1.520,1.752,1.920,2.088,1.996,1.905,1.813,1.722,1.630,1.538,1.442,1.345,1.248,1.151,1.054,0.684,0.639,0.957,0.927,0.897,0.867,0.837,0.806,0.776,0.762,0.593,0.624,0.654,0.684,0.714,0.745,0.775,0.827,0.879,0.932,0.984,1.036,1.088,1.087,1.085,1.084,1.084
2021/6/18,success,0.000,0.000,0.000,0.000,0.809,1.843,1.842,1.841,1.839,1.838,1.749,1.660,1.571,1.482,1.393,1.303,1.256,1.208,1.161,1.113,1.065,0.720,0.706,1.018,1.020,1.023,1.026,1.028,1.031,1.033,1.032,0.692,0.688,0.683,0.679,0.675,0.670,0.666,0.751,0.836,0.920,1.005,1.090,1.175,1.287,1.398,1.510,1.510
