AC_S_009 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_009 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.82,0.000,0.0
2.0,24.10,0.000,0.0
2.5,24.40,0.000,0.0
3.0,24.69,0.393,12.0
3.5,24.80,0.633,19.4
4.0,24.80,0.661,20.2
4.5,24.80,0.688,21.1
5.0,24.80,0.716,21.9
5.5,24.80,0.623,19.0
6.0,24.80,0.529,16.2
6.5,24.80,0.436,13.3
7.0,24.80,0.343,10.5
7.5,24.80,0.249,7.6
8.0,24.80,0.156,4.8
8.5,24.80,0.107,3.3
9.0,24.80,0.057,1.8
9.5,24.80,0.008,0.2
10.0,24.80,0.000,0.0
10.5,24.78,0.000,0.0
11.0,24.74,0.000,0.0
11.5,24.73,0.000,0.0
12.0,24.72,0.000,0.0
12.5,24.66,0.000,0.0
13.0,24.60,0.000,0.0
13.5,24.54,0.000,0.0
14.0,24.48,0.000,0.0
14.5,24.41,0.000,0.0
15.0,24.35,0.000,0.0
15.5,24.29,0.000,0.0
16.0,24.24,0.000,0.0
16.5,24.27,0.000,0.0
17.0,24.31,0.000,0.0
17.5,24.37,0.000,0.0
18.0,24.44,0.000,0.0
18.5,24.52,0.000,0.0
19.0,24.61,0.000,0.0
19.5,24.72,0.005,0.2
20.0,24.80,0.155,4.7
20.5,24.80,0.135,4.1
21.0,24.80,0.114,3.5
21.5,24.80,0.094,2.9
22.0,24.80,0.074,2.3
22.5,24.80,0.153,4.7
23.0,24.80,0.233,7.1
23.5,24.80,0.312,9.5
24.0,24.80,0.312,9.5

"日期: 2021/6/10, 空调: AC_S_009 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.69,0.000,0.0
1.5,23.98,0.000,0.0
2.0,24.27,0.000,0.0
2.5,24.56,0.165,5.0
3.0,24.80,0.727,22.2
3.5,24.80,0.813,24.9
4.0,24.80,0.899,27.5
4.5,24.80,0.986,30.1
5.0,24.80,1.072,32.8
5.5,24.80,1.059,32.4
6.0,24.80,1.047,32.0
6.5,24.80,1.034,31.6
7.0,24.80,1.022,31.2
7.5,24.80,1.009,30.9
8.0,24.80,0.997,30.5
8.5,24.80,0.909,27.8
9.0,24.80,0.822,25.1
9.5,24.80,0.734,22.4
10.0,24.80,0.646,19.8
10.5,24.80,0.559,17.1
11.0,24.80,0.242,7.4
11.5,24.80,0.240,7.3
12.0,24.80,0.471,14.4
12.5,24.80,0.456,14.0
13.0,24.80,0.441,13.5
13.5,24.80,0.426,13.0
14.0,24.80,0.411,12.6
14.5,24.80,0.396,12.1
15.0,24.80,0.381,11.7
15.5,24.80,0.354,10.8
16.0,24.80,0.238,7.3
16.5,24.80,0.232,7.1
17.0,24.80,0.225,6.9
17.5,24.80,0.219,6.7
18.0,24.80,0.212,6.5
18.5,24.80,0.206,6.3
19.0,24.80,0.199,6.1
19.5,24.80,0.218,6.7
20.0,24.80,0.237,7.2
20.5,24.80,0.256,7.8
21.0,24.80,0.275,8.4
21.5,24.80,0.294,9.0
22.0,24.80,0.313,9.6
22.5,24.80,0.353,10.8
23.0,24.80,0.393,12.0
23.5,24.80,0.433,13.3
24.0,24.80,0.433,13.3

"日期: 2021/6/11, 空调: AC_S_009 (small), 状态: success"
