AC_M_021 多天功率矩阵
"空调参数: P_rated=4.04kW, T_range=[21.3, 25.8]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/10,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.441,1.127,1.111,1.096,1.080,0.971,0.862,0.753,0.644,0.535,0.139,0.137,0.425,0.407,0.388,0.369,0.350,0.332,0.313,0.280,0.135,0.127,0.119,0.111,0.103,0.094,0.086,0.110,0.133,0.157,0.180,0.204,0.228,0.278,0.328,0.378,0.378
2021/6/11,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.275,0.997,1.005,1.013,1.020,1.028,0.925,0.821,0.717,0.614,0.510,0.180,0.147,0.407,0.362,0.317,0.272,0.227,0.182,0.138,0.130,0.113,0.079,0.045,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.273,0.411,0.549,0.549
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/13,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.515,0.497,0.479,0.460,0.442,0.000,0.000,0.309,0.389,0.355,0.321,0.287,0.253,0.219,0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.094,0.237,0.287,0.336,0.385,0.434,0.434
2021/6/14,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.589,0.705,0.694,0.624,0.553,0.482,0.411,0.341,0.349,0.382,0.270,0.272,0.274,0.276,0.278,0.280,0.282,0.264,0.415,0.386,0.358,0.329,0.301,0.272,0.244,0.280,0.316,0.352,0.388,0.424,0.461,0.496,0.531,0.566,0.566
2021/6/15,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.403,0.784,0.720,0.655,0.591,0.526,0.210,0.192,0.461,0.455,0.449,0.443,0.436,0.430,0.424,0.418,0.174,0.189,0.204,0.219,0.234,0.249,0.264,0.289,0.314,0.338,0.363,0.387,0.412,0.433,0.454,0.474,0.474
2021/6/16,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.989,0.998,1.008,1.018,1.027,0.965,0.902,0.840,0.777,0.715,0.400,0.394,0.652,0.630,0.607,0.585,0.563,0.540,0.518,0.487,0.388,0.396,0.405,0.414,0.422,0.431,0.440,0.494,0.548,0.603,0.657,0.711,0.765,0.775,0.785,0.795,0.795
2021/6/17,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,1.239,1.175,1.112,1.048,0.985,0.918,0.851,0.783,0.716,0.649,0.393,0.361,0.582,0.561,0.540,0.519,0.499,0.478,0.457,0.447,0.330,0.351,0.372,0.393,0.414,0.435,0.456,0.492,0.528,0.564,0.601,0.637,0.673,0.672,0.671,0.670,0.670
2021/6/18,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.152,1.193,1.131,1.069,1.007,0.946,0.884,0.822,0.789,0.756,0.723,0.690,0.657,0.418,0.408,0.624,0.626,0.628,0.630,0.631,0.633,0.635,0.634,0.398,0.395,0.392,0.389,0.386,0.383,0.380,0.439,0.498,0.557,0.616,0.674,0.733,0.810,0.888,0.965,0.965
2021/6/19,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.217,1.618,1.515,1.412,1.310,1.207,1.104,1.001,0.953,0.905,0.858,0.810,0.762,0.631,0.631,0.714,0.676,0.639,0.601,0.563,0.525,0.488,0.472,0.630,0.589,0.547,0.506,0.465,0.424,0.383,0.431,0.479,0.527,0.575,0.623,0.671,0.755,0.840,0.924,0.924
2021/6/2,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.487,0.604,0.613,0.000,0.000,0.131,0.576,0.531,0.485,0.440,0.394,0.349,0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/20,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.426,1.543,1.454,1.365,1.276,1.187,1.098,1.009,0.978,0.947,0.917,0.886,0.855,0.425,0.409,0.824,0.810,0.797,0.783,0.769,0.756,0.742,0.713,0.393,0.416,0.439,0.462,0.485,0.509,0.532,0.563,0.595,0.627,0.659,0.690,0.722,0.780,0.837,0.894,0.894
2021/6/21,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.351,1.143,1.005,0.867,0.729,0.592,0.454,0.316,0.352,0.388,0.424,0.460,0.496,0.625,0.596,0.532,0.527,0.522,0.516,0.511,0.506,0.500,0.491,0.567,0.580,0.593,0.606,0.619,0.633,0.646,0.643,0.641,0.639,0.636,0.634,0.631,0.733,0.834,0.935,0.935
2021/6/22,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.337,0.225,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/23,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
