AC_M_021 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_021 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.67,0.000,0.0
2.0,23.83,0.000,0.0
2.5,23.99,0.000,0.0
3.0,24.16,0.000,0.0
3.5,24.34,0.000,0.0
4.0,24.51,0.000,0.0
4.5,24.68,0.000,0.0
5.0,24.86,0.000,0.0
5.5,25.04,0.000,0.0
6.0,25.18,0.000,0.0
6.5,25.30,0.000,0.0
7.0,25.40,0.000,0.0
7.5,25.46,0.000,0.0
8.0,25.50,0.000,0.0
8.5,25.52,0.000,0.0
9.0,25.52,0.000,0.0
9.5,25.51,0.000,0.0
10.0,25.49,0.000,0.0
10.5,25.46,0.000,0.0
11.0,25.42,0.000,0.0
11.5,25.39,0.000,0.0
12.0,25.36,0.000,0.0
12.5,25.31,0.000,0.0
13.0,25.26,0.000,0.0
13.5,25.20,0.000,0.0
14.0,25.15,0.000,0.0
14.5,25.09,0.000,0.0
15.0,25.04,0.000,0.0
15.5,24.98,0.000,0.0
16.0,24.93,0.000,0.0
16.5,24.93,0.000,0.0
17.0,24.93,0.000,0.0
17.5,24.94,0.000,0.0
18.0,24.96,0.000,0.0
18.5,24.98,0.000,0.0
19.0,25.02,0.000,0.0
19.5,25.06,0.000,0.0
20.0,25.09,0.000,0.0
20.5,25.12,0.000,0.0
21.0,25.15,0.000,0.0
21.5,25.16,0.000,0.0
22.0,25.18,0.000,0.0
22.5,25.18,0.000,0.0
23.0,25.21,0.000,0.0
23.5,25.25,0.000,0.0
24.0,25.32,0.000,0.0

"日期: 2021/6/10, 空调: AC_M_021 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.60,0.000,0.0
1.5,23.76,0.000,0.0
2.0,23.92,0.000,0.0
2.5,24.09,0.000,0.0
3.0,24.27,0.000,0.0
3.5,24.47,0.000,0.0
4.0,24.68,0.000,0.0
4.5,24.91,0.000,0.0
5.0,25.15,0.000,0.0
5.5,25.41,0.000,0.0
6.0,25.65,0.441,10.9
6.5,25.80,1.127,27.9
7.0,25.80,1.111,27.5
7.5,25.80,1.096,27.1
8.0,25.80,1.080,26.7
8.5,25.80,0.971,24.0
9.0,25.80,0.862,21.3
9.5,25.80,0.753,18.6
10.0,25.80,0.644,15.9
10.5,25.80,0.535,13.2
11.0,25.80,0.139,3.4
11.5,25.80,0.137,3.4
12.0,25.80,0.425,10.5
12.5,25.80,0.407,10.1
13.0,25.80,0.388,9.6
13.5,25.80,0.369,9.1
14.0,25.80,0.350,8.7
14.5,25.80,0.332,8.2
15.0,25.80,0.313,7.7
15.5,25.80,0.280,6.9
16.0,25.80,0.135,3.3
16.5,25.80,0.127,3.1
17.0,25.80,0.119,2.9
17.5,25.80,0.111,2.7
18.0,25.80,0.103,2.5
18.5,25.80,0.094,2.3
19.0,25.80,0.086,2.1
19.5,25.80,0.110,2.7
20.0,25.80,0.133,3.3
20.5,25.80,0.157,3.9
21.0,25.80,0.180,4.5
21.5,25.80,0.204,5.1
22.0,25.80,0.228,5.6
22.5,25.80,0.278,6.9
23.0,25.80,0.328,8.1
23.5,25.80,0.378,9.4
24.0,25.80,0.378,9.4

"日期: 2021/6/11, 空调: AC_M_021 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.62,0.000,0.0
1.5,23.83,0.000,0.0
2.0,24.05,0.000,0.0
2.5,24.30,0.000,0.0
3.0,24.55,0.000,0.0
3.5,24.78,0.000,0.0
4.0,25.01,0.000,0.0
4.5,25.23,0.000,0.0
5.0,25.44,0.000,0.0
5.5,25.65,0.275,6.8
6.0,25.80,0.997,24.7
6.5,25.80,1.005,24.9
7.0,25.80,1.013,25.1
7.5,25.80,1.020,25.3
8.0,25.80,1.028,25.4
8.5,25.80,0.925,22.9
9.0,25.80,0.821,20.3
9.5,25.80,0.717,17.8
10.0,25.80,0.614,15.2
10.5,25.80,0.510,12.6
11.0,25.80,0.180,4.5
11.5,25.80,0.147,3.6
12.0,25.80,0.407,10.1
12.5,25.80,0.362,9.0
13.0,25.80,0.317,7.8
13.5,25.80,0.272,6.7
14.0,25.80,0.227,5.6
14.5,25.80,0.182,4.5
15.0,25.80,0.138,3.4
15.5,25.80,0.130,3.2
16.0,25.80,0.113,2.8
16.5,25.80,0.079,2.0
17.0,25.80,0.045,1.1
17.5,25.80,0.011,0.3
18.0,25.80,0.000,0.0
18.5,25.80,0.000,0.0
19.0,25.78,0.000,0.0
19.5,25.77,0.000,0.0
20.0,25.76,0.000,0.0
20.5,25.75,0.000,0.0
21.0,25.76,0.000,0.0
21.5,25.77,0.000,0.0
22.0,25.79,0.105,2.6
22.5,25.80,0.273,6.8
23.0,25.80,0.411,10.2
23.5,25.80,0.549,13.6
24.0,25.80,0.549,13.6

"日期: 2021/6/12, 空调: AC_M_021 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.60,0.000,0.0
1.5,23.66,0.000,0.0
2.0,23.73,0.000,0.0
2.5,23.79,0.000,0.0
3.0,23.87,0.000,0.0
3.5,23.96,0.000,0.0
4.0,24.06,0.000,0.0
4.5,24.18,0.000,0.0
5.0,24.30,0.000,0.0
5.5,24.43,0.000,0.0
6.0,24.56,0.000,0.0
6.5,24.69,0.000,0.0
7.0,24.80,0.000,0.0
7.5,24.92,0.000,0.0
8.0,25.03,0.000,0.0
8.5,25.13,0.000,0.0
9.0,25.21,0.000,0.0
9.5,25.27,0.000,0.0
10.0,25.31,0.000,0.0
10.5,25.33,0.000,0.0
11.0,25.33,0.000,0.0
11.5,25.37,0.000,0.0
12.0,25.40,0.000,0.0
12.5,25.38,0.000,0.0
13.0,25.37,0.000,0.0
13.5,25.37,0.000,0.0
14.0,25.38,0.000,0.0
14.5,25.40,0.000,0.0
15.0,25.42,0.000,0.0
15.5,25.46,0.000,0.0
16.0,25.48,0.000,0.0
16.5,25.51,0.000,0.0
17.0,25.53,0.000,0.0
17.5,25.54,0.000,0.0
18.0,25.55,0.000,0.0
18.5,25.54,0.000,0.0
19.0,25.53,0.000,0.0
19.5,25.52,0.000,0.0
20.0,25.50,0.000,0.0
20.5,25.49,0.000,0.0
21.0,25.47,0.000,0.0
21.5,25.46,0.000,0.0
22.0,25.45,0.000,0.0
22.5,25.44,0.000,0.0
23.0,25.44,0.000,0.0
23.5,25.43,0.000,0.0
24.0,25.43,0.000,0.0

"日期: 2021/6/13, 空调: AC_M_021 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.57,0.000,0.0
1.5,23.74,0.000,0.0
2.0,23.92,0.000,0.0
2.5,24.09,0.000,0.0
3.0,24.27,0.000,0.0
3.5,24.44,0.000,0.0
4.0,24.60,0.000,0.0
4.5,24.77,0.000,0.0
5.0,24.93,0.000,0.0
5.5,25.08,0.000,0.0
6.0,25.23,0.000,0.0
6.5,25.37,0.000,0.0
7.0,25.50,0.000,0.0
7.5,25.62,0.000,0.0
8.0,25.74,0.241,6.0
8.5,25.80,0.515,12.7
9.0,25.80,0.497,12.3
9.5,25.80,0.479,11.8
10.0,25.80,0.460,11.4
