AC_S_053 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_053 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.81,0.000,0.0
2.0,24.09,0.000,0.0
2.5,24.38,0.402,15.5
3.0,24.50,0.705,27.1
3.5,24.50,0.735,28.3
4.0,24.50,0.765,29.4
4.5,24.50,0.795,30.6
5.0,24.50,0.825,31.7
5.5,24.50,0.723,27.8
6.0,24.50,0.621,23.9
6.5,24.50,0.519,20.0
7.0,24.50,0.417,16.0
7.5,24.50,0.315,12.1
8.0,24.50,0.213,8.2
8.5,24.50,0.159,6.1
9.0,24.50,0.105,4.0
9.5,24.50,0.051,2.0
10.0,24.50,0.000,0.0
10.5,24.50,0.000,0.0
11.0,24.48,0.000,0.0
11.5,24.48,0.000,0.0
12.0,24.49,0.000,0.0
12.5,24.45,0.000,0.0
13.0,24.40,0.000,0.0
13.5,24.35,0.000,0.0
14.0,24.30,0.000,0.0
14.5,24.25,0.000,0.0
15.0,24.20,0.000,0.0
15.5,24.14,0.000,0.0
16.0,24.11,0.000,0.0
16.5,24.14,0.000,0.0
17.0,24.19,0.000,0.0
17.5,24.26,0.000,0.0
18.0,24.33,0.000,0.0
18.5,24.42,0.028,1.1
19.0,24.50,0.256,9.9
19.5,24.50,0.234,9.0
20.0,24.50,0.212,8.2
20.5,24.50,0.190,7.3
21.0,24.50,0.168,6.4
21.5,24.50,0.145,5.6
22.0,24.50,0.123,4.7
22.5,24.50,0.210,8.1
23.0,24.50,0.297,11.4
23.5,24.50,0.384,14.8
24.0,24.50,0.384,14.8

"日期: 2021/6/10, 空调: AC_S_053 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.69,0.000,0.0
1.5,23.97,0.000,0.0
2.0,24.25,0.095,3.7
2.5,24.50,0.743,28.6
3.0,24.50,0.837,32.2
3.5,24.50,0.932,35.8
4.0,24.50,1.026,39.5
4.5,24.50,1.120,43.1
5.0,24.50,1.214,46.7
5.5,24.50,1.201,46.2
6.0,24.50,1.187,45.7
6.5,24.50,1.173,45.1
7.0,24.50,1.160,44.6
7.5,24.50,1.146,44.1
8.0,24.50,1.132,43.6
8.5,24.50,1.037,39.9
9.0,24.50,0.941,36.2
9.5,24.50,0.845,32.5
10.0,24.50,0.749,28.8
10.5,24.50,0.654,25.1
11.0,24.50,0.307,11.8
11.5,24.50,0.305,11.7
12.0,24.50,0.558,21.5
12.5,24.50,0.541,20.8
13.0,24.50,0.525,20.2
13.5,24.50,0.509,19.6
14.0,24.50,0.492,18.9
14.5,24.50,0.476,18.3
15.0,24.50,0.459,17.7
15.5,24.50,0.430,16.5
16.0,24.50,0.303,11.7
16.5,24.50,0.296,11.4
17.0,24.50,0.289,11.1
17.5,24.50,0.282,10.8
18.0,24.50,0.275,10.6
18.5,24.50,0.267,10.3
19.0,24.50,0.260,10.0
19.5,24.50,0.281,10.8
20.0,24.50,0.302,11.6
20.5,24.50,0.322,12.4
21.0,24.50,0.343,13.2
21.5,24.50,0.364,14.0
22.0,24.50,0.384,14.8
22.5,24.50,0.428,16.5
23.0,24.50,0.472,18.2
23.5,24.50,0.516,19.9
24.0,24.50,0.516,19.9

"日期: 2021/6/11, 空调: AC_S_053 (small), 状态: success"
