AC_S_032 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_032 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.57,0.000,0.0
1.5,23.85,0.000,0.0
2.0,24.15,0.000,0.0
2.5,24.47,0.000,0.0
3.0,24.78,0.000,0.0
3.5,25.09,0.000,0.0
4.0,25.40,0.350,12.6
4.5,25.50,0.555,20.0
5.0,25.50,0.581,20.9
5.5,25.50,0.494,17.8
6.0,25.50,0.407,14.7
6.5,25.50,0.321,11.5
7.0,25.50,0.234,8.4
7.5,25.50,0.147,5.3
8.0,25.50,0.060,2.2
8.5,25.50,0.015,0.5
9.0,25.50,0.000,0.0
9.5,25.48,0.000,0.0
10.0,25.44,0.000,0.0
10.5,25.38,0.000,0.0
11.0,25.29,0.000,0.0
11.5,25.25,0.000,0.0
12.0,25.21,0.000,0.0
12.5,25.11,0.000,0.0
13.0,25.01,0.000,0.0
13.5,24.92,0.000,0.0
14.0,24.83,0.000,0.0
14.5,24.74,0.000,0.0
15.0,24.65,0.000,0.0
15.5,24.56,0.000,0.0
16.0,24.49,0.000,0.0
16.5,24.50,0.000,0.0
17.0,24.53,0.000,0.0
17.5,24.58,0.000,0.0
18.0,24.64,0.000,0.0
18.5,24.72,0.000,0.0
19.0,24.80,0.000,0.0
19.5,24.90,0.000,0.0
20.0,24.99,0.000,0.0
20.5,25.05,0.000,0.0
21.0,25.10,0.000,0.0
21.5,25.14,0.000,0.0
22.0,25.17,0.000,0.0
22.5,25.18,0.000,0.0
23.0,25.23,0.000,0.0
23.5,25.32,0.000,0.0
24.0,25.45,0.113,4.1

"日期: 2021/6/10, 空调: AC_S_032 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.71,0.000,0.0
1.5,24.02,0.000,0.0
2.0,24.33,0.000,0.0
2.5,24.65,0.000,0.0
3.0,24.98,0.000,0.0
3.5,25.34,0.392,14.1
4.0,25.50,0.751,27.0
4.5,25.50,0.832,29.9
5.0,25.50,0.912,32.8
5.5,25.50,0.900,32.4
6.0,25.50,0.888,32.0
6.5,25.50,0.877,31.5
7.0,25.50,0.865,31.1
7.5,25.50,0.854,30.7
8.0,25.50,0.842,30.3
8.5,25.50,0.761,27.4
9.0,25.50,0.679,24.4
9.5,25.50,0.598,21.5
10.0,25.50,0.516,18.6
10.5,25.50,0.435,15.6
11.0,25.50,0.140,5.0
11.5,25.50,0.138,5.0
12.0,25.50,0.354,12.7
12.5,25.50,0.340,12.2
13.0,25.50,0.326,11.7
13.5,25.50,0.312,11.2
14.0,25.50,0.298,10.7
14.5,25.50,0.284,10.2
15.0,25.50,0.270,9.7
15.5,25.50,0.245,8.8
16.0,25.50,0.137,4.9
16.5,25.50,0.131,4.7
17.0,25.50,0.125,4.5
17.5,25.50,0.119,4.3
18.0,25.50,0.113,4.1
