空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_S_039,small,2021/6/1,success,0.90274681,0.03761445041666667,0.47018914,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/10,success,7.267575718,0.3028156549166667,0.89882347,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/11,success,6.7217463147,0.2800727631125,0.78724539,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/12,success,0.5312991905,0.022137466270833333,0.30167408,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/13,success,4.241018815,0.1767091172916667,0.47501041,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/14,success,6.866472539,0.28610302245833336,0.5806193,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/15,success,6.41958366,0.2674826525,0.65018342,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/16,success,10.92888418,0.4553701741666667,0.78655663,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/17,success,10.848880053,0.452036668875,1.045528,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/18,success,11.790135495,0.49125564562499996,0.91500918,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/19,success,13.46719809,0.56113325375,1.2390678,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/2,success,3.29815343,0.13742305958333334,0.46938559,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/20,success,13.671231635,0.5696346514583334,1.1819012,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/21,success,10.967031845,0.4569596602083333,0.91225417,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/22,success,1.324429935,0.055184580625,0.34678745,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/23,success,0.0,0.0,0.0,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/24,success,0.0,0.0,0.0,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/25,success,0.853194552,0.035549773,0.23004371,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/26,success,3.60395003,0.15016458458333334,0.38294701,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/27,success,6.81957711,0.28414904625,0.53688344,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/28,success,2.352603357,0.098025139875,0.37743698,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/29,success,5.71884714,0.23828529750000002,0.42427223,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/3,success,9.076336476,0.3781806865,0.81410678,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/30,success,8.55702016,0.3565425066666667,0.65362718,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/4,success,2.470053545,0.10291889770833333,0.39396707,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/5,success,2.48543189575,0.10355966232291668,0.52620776,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/6,success,5.077395302,0.21155813758333333,0.83821315,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/7,success,6.5135580926,0.2713982538583333,0.98216266,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/8,success,5.9735727337,0.24889886390416668,0.79619918,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/6/9,success,2.97925393995,0.12413558083125,0.42220597,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/7/1,success,9.84970503,0.41040437625000004,0.74901956,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/7/10,success,7.15099835,0.29795826458333335,0.75831773,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/7/11,success,6.32981443,0.26374226791666666,0.47179623,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/7/12,success,10.395262295,0.43313592895833336,0.89469095,3.16,"[21.0, 25.8]"
AC_S_039,small,2021/7/13,success,11.54098746,0.4808744775,0.88780341,3.16,"[21.0, 25.8]"
