AC_S_034 多天功率矩阵
"空调参数: P_rated=3.33kW, T_range=[20.2, 25.4]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.531,0.631,0.539,0.447,0.354,0.262,0.169,0.077,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150
2021/6/10,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.768,0.898,0.983,0.971,0.958,0.946,0.934,0.921,0.909,0.822,0.736,0.649,0.562,0.476,0.162,0.160,0.389,0.374,0.359,0.345,0.330,0.315,0.300,0.273,0.159,0.152,0.146,0.139,0.133,0.126,0.120,0.139,0.157,0.176,0.195,0.213,0.232,0.272,0.312,0.352,0.352
2021/6/11,success,0.000,0.000,0.000,0.000,0.000,0.356,0.823,0.826,0.828,0.830,0.837,0.843,0.849,0.855,0.861,0.868,0.785,0.703,0.621,0.539,0.456,0.194,0.168,0.374,0.339,0.303,0.267,0.232,0.196,0.161,0.154,0.141,0.114,0.087,0.060,0.033,0.006,0.000,0.000,0.028,0.069,0.099,0.129,0.159,0.268,0.378,0.487,0.487
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.373,0.369,0.364,0.290,0.216,0.142,0.068,0.000,0.129,0.129,0.000,0.000,0.000,0.000,0.000,0.085,0.138,0.108,0.122,0.093,0.065,0.036,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/13,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.550,0.558,0.544,0.530,0.516,0.502,0.489,0.475,0.460,0.446,0.431,0.417,0.402,0.019,0.000,0.377,0.361,0.333,0.306,0.279,0.252,0.225,0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.082,0.121,0.161,0.200,0.240,0.279,0.318,0.357,0.396,0.396
2021/6/14,success,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.630,0.642,0.653,0.645,0.636,0.628,0.620,0.611,0.603,0.546,0.490,0.434,0.378,0.322,0.329,0.355,0.266,0.267,0.269,0.271,0.272,0.274,0.276,0.261,0.381,0.358,0.335,0.313,0.290,0.268,0.245,0.274,0.302,0.331,0.360,0.388,0.417,0.445,0.473,0.501,0.501
2021/6/15,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.414,0.411,0.464,0.516,0.568,0.621,0.673,0.725,0.674,0.623,0.572,0.520,0.469,0.218,0.204,0.418,0.413,0.408,0.403,0.398,0.393,0.388,0.383,0.189,0.201,0.213,0.225,0.237,0.249,0.261,0.281,0.300,0.320,0.339,0.359,0.378,0.395,0.412,0.428,0.428
2021/6/16,success,0.000,0.000,0.000,0.000,0.000,0.274,0.763,0.783,0.802,0.821,0.829,0.836,0.844,0.852,0.859,0.867,0.817,0.768,0.718,0.668,0.619,0.369,0.364,0.569,0.551,0.534,0.516,0.498,0.480,0.463,0.438,0.359,0.366,0.373,0.380,0.387,0.394,0.401,0.444,0.487,0.530,0.573,0.616,0.659,0.667,0.675,0.682,0.682
2021/6/17,success,0.000,0.000,0.000,0.000,0.000,0.000,0.824,0.951,1.043,1.135,1.085,1.035,0.984,0.934,0.884,0.833,0.780,0.727,0.673,0.620,0.567,0.363,0.338,0.513,0.497,0.480,0.464,0.447,0.431,0.414,0.406,0.313,0.330,0.347,0.363,0.380,0.397,0.413,0.442,0.471,0.499,0.528,0.557,0.586,0.585,0.584,0.583,0.583
2021/6/18,success,0.000,0.000,0.000,0.000,0.451,1.001,1.000,0.999,0.999,0.998,0.949,0.900,0.851,0.802,0.753,0.704,0.678,0.652,0.625,0.599,0.573,0.383,0.375,0.547,0.548,0.550,0.551,0.553,0.554,0.556,0.555,0.368,0.365,0.363,0.361,0.358,0.356,0.353,0.400,0.447,0.493,0.540,0.587,0.633,0.695,0.756,0.818,0.818
