AC_L_001 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
4.0,23.97,0.000,0.0
4.5,24.05,0.000,0.0
5.0,24.12,0.000,0.0
5.5,24.20,0.000,0.0
6.0,24.27,0.000,0.0
6.5,24.35,0.000,0.0
7.0,24.42,0.000,0.0
7.5,24.50,0.000,0.0
8.0,24.57,0.000,0.0
8.5,24.64,0.000,0.0
9.0,24.71,0.000,0.0
9.5,24.78,0.000,0.0
10.0,24.84,0.000,0.0
10.5,24.90,0.000,0.0
11.0,24.95,0.000,0.0
11.5,24.98,0.000,0.0
12.0,25.01,0.000,0.0
12.5,25.06,0.000,0.0
13.0,25.10,0.000,0.0
13.5,25.15,0.000,0.0
14.0,25.19,0.000,0.0
14.5,25.23,0.000,0.0
15.0,25.27,0.000,0.0
15.5,25.30,0.000,0.0
16.0,25.34,0.000,0.0
16.5,25.37,0.000,0.0
17.0,25.39,0.000,0.0
17.5,25.42,0.000,0.0
18.0,25.45,0.000,0.0
18.5,25.48,0.000,0.0
19.0,25.51,0.000,0.0
19.5,25.54,0.000,0.0
20.0,25.57,0.000,0.0
20.5,25.61,0.000,0.0
21.0,25.64,0.000,0.0
21.5,25.69,0.000,0.0
22.0,25.73,0.000,0.0
22.5,25.78,0.000,0.0
23.0,25.82,0.000,0.0
23.5,25.87,0.000,0.0
24.0,25.92,0.000,0.0

"日期: 2021/6/17, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.61,0.000,0.0
2.0,23.67,0.000,0.0
2.5,23.73,0.000,0.0
3.0,23.80,0.000,0.0
3.5,23.87,0.000,0.0
4.0,23.96,0.000,0.0
4.5,24.04,0.000,0.0
5.0,24.13,0.000,0.0
5.5,24.23,0.000,0.0
6.0,24.33,0.000,0.0
6.5,24.42,0.000,0.0
7.0,24.50,0.000,0.0
7.5,24.58,0.000,0.0
8.0,24.66,0.000,0.0
8.5,24.73,0.000,0.0
9.0,24.79,0.000,0.0
9.5,24.85,0.000,0.0
10.0,24.91,0.000,0.0
10.5,24.96,0.000,0.0
11.0,25.01,0.000,0.0
11.5,25.04,0.000,0.0
12.0,25.07,0.000,0.0
12.5,25.11,0.000,0.0
13.0,25.15,0.000,0.0
13.5,25.19,0.000,0.0
14.0,25.23,0.000,0.0
14.5,25.26,0.000,0.0
15.0,25.30,0.000,0.0
15.5,25.33,0.000,0.0
16.0,25.36,0.000,0.0
16.5,25.39,0.000,0.0
17.0,25.41,0.000,0.0
17.5,25.44,0.000,0.0
18.0,25.47,0.000,0.0
18.5,25.49,0.000,0.0
19.0,25.52,0.000,0.0
19.5,25.55,0.000,0.0
20.0,25.59,0.000,0.0
20.5,25.62,0.000,0.0
21.0,25.66,0.000,0.0
21.5,25.69,0.000,0.0
22.0,25.73,0.000,0.0
22.5,25.77,0.000,0.0
23.0,25.81,0.000,0.0
23.5,25.86,0.000,0.0
24.0,25.90,0.000,0.0

"日期: 2021/6/18, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.63,0.000,0.0
2.0,23.72,0.000,0.0
2.5,23.81,0.000,0.0
3.0,23.91,0.000,0.0
3.5,24.00,0.000,0.0
