AC_S_011 多天功率矩阵
"空调参数: P_rated=2.98kW, T_range=[20.4, 25.8]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.248,0.625,0.656,0.551,0.447,0.342,0.238,0.134,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/10,success,0.000,0.000,0.000,0.000,0.000,0.000,0.311,0.861,0.958,1.054,1.040,1.026,1.012,0.998,0.984,0.970,0.872,0.774,0.676,0.578,0.480,0.125,0.123,0.382,0.365,0.348,0.332,0.315,0.298,0.281,0.251,0.121,0.114,0.107,0.099,0.092,0.085,0.078,0.099,0.120,0.141,0.162,0.183,0.204,0.249,0.295,0.340,0.340
2021/6/11,success,0.000,0.000,0.000,0.000,0.000,0.781,0.873,0.876,0.879,0.881,0.888,0.895,0.902,0.909,0.916,0.923,0.830,0.737,0.644,0.551,0.458,0.162,0.132,0.365,0.325,0.285,0.244,0.204,0.164,0.124,0.116,0.102,0.071,0.040,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.121,0.245,0.369,0.493,0.493
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.362,0.364,0.359,0.354,0.270,0.186,0.102,0.018,0.000,0.034,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.076,0.047,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/13,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.524,0.564,0.573,0.557,0.541,0.526,0.510,0.495,0.479,0.463,0.446,0.430,0.413,0.397,0.000,0.000,0.284,0.350,0.319,0.288,0.258,0.227,0.196,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.161,0.213,0.258,0.302,0.346,0.390,0.390
2021/6/14,success,0.000,0.000,0.000,0.000,0.000,0.000,0.598,0.655,0.668,0.681,0.671,0.662,0.652,0.643,0.633,0.624,0.560,0.496,0.433,0.369,0.306,0.314,0.343,0.242,0.244,0.246,0.248,0.250,0.252,0.254,0.237,0.372,0.347,0.321,0.296,0.270,0.244,0.219,0.251,0.284,0.316,0.349,0.381,0.414,0.445,0.477,0.508,0.508
2021/6/15,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.274,0.420,0.407,0.466,0.526,0.585,0.644,0.703,0.762,0.704,0.646,0.588,0.530,0.472,0.188,0.172,0.414,0.409,0.403,0.397,0.392,0.386,0.380,0.375,0.156,0.169,0.183,0.197,0.210,0.224,0.237,0.260,0.282,0.304,0.326,0.348,0.370,0.389,0.407,0.426,0.426
2021/6/16,success,0.000,0.000,0.000,0.000,0.000,0.675,0.805,0.827,0.849,0.871,0.879,0.888,0.897,0.905,0.914,0.922,0.866,0.810,0.754,0.698,0.642,0.359,0.354,0.586,0.566,0.545,0.525,0.505,0.485,0.465,0.437,0.348,0.356,0.364,0.372,0.379,0.387,0.395,0.444,0.492,0.541,0.590,0.639,0.687,0.696,0.705,0.714,0.714
2021/6/17,success,0.000,0.000,0.000,0.000,0.000,0.344,0.913,1.017,1.122,1.226,1.169,1.112,1.055,0.998,0.941,0.884,0.824,0.764,0.704,0.643,0.583,0.353,0.325,0.523,0.504,0.485,0.466,0.448,0.429,0.410,0.402,0.296,0.315,0.334,0.353,0.372,0.391,0.410,0.442,0.474,0.507,0.539,0.572,0.604,0.603,0.603,0.602,0.602
2021/6/18,success,0.000,0.000,0.000,0.000,0.924,1.074,1.073,1.072,1.072,1.071,1.016,0.960,0.905,0.849,0.794,0.738,0.709,0.679,0.649,0.620,0.590,0.375,0.367,0.561,0.562,0.564,0.565,0.567,0.569,0.570,0.569,0.358,0.355,0.352,0.350,0.347,0.344,0.342,0.394,0.447,0.500,0.553,0.606,0.658,0.728,0.797,0.867,0.867
2021/6/19,success,0.000,0.000,0.000,0.000,1.046,1.189,1.255,1.321,1.387,1.453,1.361,1.268,1.176,1.084,0.991,0.899,0.856,0.813,0.770,0.727,0.684,0.567,0.566,0.641,0.607,0.573,0.540,0.506,0.472,0.438,0.424,0.565,0.529,0.492,0.455,0.418,0.381,0.344,0.387,0.430,0.473,0.516,0.559,0.603,0.678,0.754,0.830,0.830
2021/6/2,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.334,0.443,0.457,0.470,0.484,0.498,0.512,0.520,0.527,0.535,0.543,0.550,0.000,0.000,0.146,0.517,0.477,0.436,0.395,0.354,0.313,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/20,success,0.000,0.000,0.000,0.000,0.627,1.100,1.172,1.243,1.315,1.386,1.306,1.226,1.146,1.066,0.986,0.906,0.879,0.851,0.823,0.795,0.768,0.381,0.367,0.740,0.728,0.715,0.703,0.691,0.679,0.666,0.640,0.353,0.374,0.394,0.415,0.436,0.457,0.477,0.506,0.534,0.563,0.592,0.620,0.649,0.700,0.751,0.803,0.803
2021/6/21,success,0.000,0.000,0.000,0.047,1.099,1.084,1.070,1.055,1.041,1.027,0.903,0.779,0.655,0.531,0.407,0.284,0.316,0.348,0.381,0.413,0.446,0.561,0.535,0.478,0.473,0.468,0.464,0.459,0.454,0.449,0.441,0.509,0.521,0.533,0.544,0.556,0.568,0.580,0.578,0.576,0.573,0.571,0.569,0.567,0.658,0.749,0.840,0.840
2021/6/22,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.354,0.378,0.290,0.202,0.115,0.027,0.000,0.359,0.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.263,0.402,0.403,0.404,0.303,0.202,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000
