AC_M_028 多天功率矩阵
"空调参数: P_rated=4.37kW, T_range=[20.6, 24.1]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.742,0.968,1.008,1.048,1.088,1.128,1.168,1.033,0.897,0.762,0.627,0.492,0.357,0.286,0.214,0.143,0.072,0.000,0.088,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.315,0.365,0.415,0.385,0.356,0.326,0.297,0.268,0.238,0.353,0.468,0.583,0.583
2021/6/10,success,0.000,0.000,0.343,0.934,1.058,1.183,1.308,1.433,1.558,1.682,1.664,1.646,1.628,1.610,1.592,1.574,1.447,1.320,1.194,1.067,0.940,0.481,0.479,0.814,0.792,0.770,0.748,0.727,0.705,0.683,0.644,0.476,0.467,0.457,0.448,0.439,0.429,0.420,0.447,0.474,0.502,0.529,0.556,0.584,0.642,0.700,0.759,0.759
2021/6/11,success,0.000,0.000,1.104,1.438,1.442,1.445,1.449,1.452,1.455,1.459,1.468,1.477,1.486,1.495,1.504,1.513,1.393,1.273,1.152,1.032,0.912,0.528,0.490,0.792,0.740,0.688,0.635,0.583,0.531,0.479,0.470,0.451,0.411,0.372,0.332,0.292,0.253,0.213,0.257,0.301,0.345,0.388,0.432,0.476,0.637,0.797,0.957,0.957
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.475,0.564,0.649,0.733,0.817,0.810,0.803,0.797,0.790,0.784,0.777,0.669,0.560,0.452,0.343,0.235,0.442,0.432,0.126,0.180,0.233,0.286,0.339,0.393,0.446,0.402,0.423,0.381,0.339,0.297,0.254,0.212,0.170,0.175,0.180,0.185,0.190,0.195,0.201,0.219,0.238,0.256,0.256
2021/6/13,success,0.000,0.000,0.316,0.995,1.006,1.017,1.028,1.038,1.049,1.060,1.040,1.020,0.999,0.979,0.959,0.939,0.918,0.896,0.875,0.854,0.833,0.272,0.228,0.811,0.772,0.732,0.692,0.653,0.613,0.573,0.611,0.185,0.205,0.225,0.245,0.266,0.286,0.306,0.364,0.422,0.479,0.537,0.595,0.653,0.710,0.767,0.824,0.824
2021/6/14,success,0.000,0.000,0.896,1.099,1.116,1.132,1.149,1.166,1.183,1.200,1.188,1.175,1.163,1.151,1.138,1.126,1.044,0.961,0.879,0.797,0.715,0.725,0.763,0.633,0.635,0.638,0.640,0.643,0.645,0.647,0.626,0.801,0.768,0.735,0.702,0.669,0.636,0.603,0.645,0.686,0.728,0.770,0.812,0.854,0.895,0.936,0.976,0.976
2021/6/15,success,0.000,0.000,0.550,0.943,0.927,0.911,0.894,0.878,0.862,0.846,0.923,0.999,1.076,1.152,1.229,1.305,1.230,1.155,1.080,1.005,0.930,0.563,0.542,0.855,0.848,0.841,0.833,0.826,0.819,0.811,0.804,0.521,0.539,0.556,0.574,0.591,0.609,0.627,0.655,0.684,0.712,0.741,0.769,0.798,0.822,0.846,0.870,0.870
2021/6/16,success,0.000,0.163,1.265,1.276,1.304,1.333,1.361,1.389,1.417,1.445,1.457,1.468,1.479,1.490,1.501,1.512,1.440,1.367,1.294,1.222,1.149,0.784,0.777,1.077,1.051,1.025,0.999,0.973,0.947,0.921,0.885,0.770,0.780,0.790,0.800,0.810,0.820,0.830,0.893,0.956,1.019,1.082,1.145,1.208,1.220,1.231,1.242,1.242
2021/6/17,success,0.000,0.026,1.096,1.094,1.230,1.365,1.500,1.635,1.770,1.905,1.831,1.758,1.684,1.610,1.537,1.463,1.385,1.307,1.229,1.151,1.073,0.776,0.739,0.995,0.971,0.947,0.923,0.898,0.874,0.850,0.839,0.703,0.727,0.752,0.776,0.800,0.825,0.849,0.891,0.933,0.975,1.017,1.059,1.101,1.100,1.099,1.098,1.098
2021/6/18,success,0.000,0.464,1.620,1.710,1.709,1.708,1.707,1.706,1.705,1.704,1.633,1.561,1.489,1.418,1.346,1.274,1.236,1.198,1.159,1.121,1.083,0.805,0.794,1.044,1.046,1.049,1.051,1.053,1.055,1.057,1.056,0.782,0.779,0.775,0.772,0.768,0.765,0.761,0.830,0.898,0.966,1.034,1.102,1.171,1.261,1.350,1.440,1.440
