AC_S_007 多天功率矩阵
"空调参数: P_rated=3.41kW, T_range=[20.4, 25.4]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/21,success,0.000,0.000,0.000,0.264,0.972,0.959,0.947,0.935,0.923,0.911,0.807,0.703,0.599,0.495,0.391,0.287,0.314,0.341,0.369,0.396,0.423,0.520,0.498,0.450,0.446,0.442,0.438,0.434,0.430,0.426,0.419,0.476,0.486,0.496,0.506,0.516,0.526,0.536,0.534,0.532,0.531,0.529,0.527,0.525,0.602,0.678,0.754,0.754
2021/6/22,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.357,0.366,0.293,0.219,0.145,0.071,0.000,0.395,0.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.386,0.386,0.387,0.388,0.303,0.218,0.134,0.049,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/23,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.079,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.225
2021/6/24,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/25,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.394,0.413,0.367,0.321,0.275,0.230,0.184,0.178,0.173,0.167,0.162,0.156,0.000,0.000,0.000,0.000,0.131,0.147,0.146,0.145,0.144,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.122
2021/6/26,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.355,0.414,0.416,0.418,0.420,0.422,0.424,0.426,0.414,0.402,0.390,0.379,0.367,0.186,0.197,0.355,0.330,0.305,0.279,0.254,0.229,0.204,0.210,0.208,0.184,0.160,0.136,0.112,0.088,0.064,0.076,0.088,0.100,0.112,0.124,0.136,0.167,0.198,0.229,0.229
2021/6/27,success,0.000,0.000,0.000,0.000,0.098,0.602,0.530,0.459,0.387,0.316,0.327,0.338,0.348,0.359,0.370,0.381,0.371,0.362,0.352,0.343,0.334,0.229,0.235,0.324,0.340,0.356,0.372,0.388,0.403,0.419,0.419,0.241,0.273,0.304,0.336,0.368,0.400,0.431,0.428,0.425,0.421,0.418,0.414,0.411,0.467,0.522,0.578,0.578
2021/6/28,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.275,0.275,0.275,0.274,0.274,0.274,0.420,0.420,0.274,0.290,0.306,0.321,0.337,0.353,0.368,0.365,0.421,0.360,0.300,0.240,0.180,0.120,0.060,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/29,success,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.187,0.106,0.024,0.098,0.172,0.245,0.319,0.392,0.466,0.435,0.403,0.372,0.340,0.309,0.357,0.354,0.277,0.294,0.311,0.327,0.344,0.361,0.377,0.367,0.351,0.358,0.366,0.374,0.381,0.389,0.397,0.401,0.405,0.409,0.414,0.418,0.422,0.437,0.452,0.467,0.467
2021/6/3,success,0.000,0.000,0.000,0.000,0.000,0.028,0.652,0.718,0.785,0.851,0.837,0.823,0.810,0.796,0.782,0.769,0.722,0.676,0.629,0.583,0.536,0.305,0.303,0.490,0.472,0.455,0.437,0.420,0.402,0.385,0.382,0.301,0.290,0.280,0.269,0.258,0.248,0.237,0.279,0.322,0.365,0.408,0.450,0.493,0.487,0.480,0.474,0.474
2021/6/30,success,0.000,0.000,0.000,0.000,0.073,0.687,0.688,0.690,0.691,0.693,0.672,0.651,0.630,0.609,0.589,0.568,0.556,0.545,0.534,0.522,0.511,0.338,0.329,0.499,0.489,0.478,0.467,0.457,0.446,0.436,0.412,0.319,0.303,0.287,0.271,0.256,0.240,0.224,0.255,0.286,0.317,0.348,0.379,0.410,0.456,0.502,0.547,0.547
2021/6/4,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.105,0.110,0.098,0.085,0.073,0.061,0.048,0.374,0.371,0.036,0.037,0.037,0.038,0.038,0.039,0.039,0.026,0.368,0.345,0.322,0.300,0.277,0.254,0.231,0.265,0.299,0.334,0.368,0.403,0.437,0.404,0.372,0.340,0.340
2021/6/5,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.369,0.402,0.435,0.468,0.501,0.534,0.567,0.533,0.499,0.464,0.430,0.396,0.000,0.000,0.322,0.312,0.262,0.212,0.162,0.112,0.062,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/6,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.558,0.632,0.680,0.712,0.745,0.777,0.810,0.842,0.874,0.802,0.729,0.656,0.583,0.510,0.015,0.004,0.438,0.374,0.311,0.248,0.185,0.122,0.059,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.045,0.064,0.084,0.103,0.122,0.168,0.213,0.259,0.259
2021/6/7,success,0.000,0.000,0.000,0.000,0.047,0.838,0.883,0.927,0.972,1.016,0.958,0.900,0.842,0.784,0.726,0.668,0.597,0.527,0.457,0.387,0.316,0.073,0.077,0.246,0.233,0.219,0.206,0.192,0.178,0.165,0.137,0.081,0.056,0.031,0.005,0.000,0.000,0.000,0.000,0.000,0.009,0.146,0.200,0.254,0.337,0.419,0.502,0.502
2021/6/8,success,0.000,0.000,0.000,0.000,0.741,0.891,0.833,0.775,0.717,0.659,0.655,0.651,0.647,0.642,0.638,0.634,0.572,0.510,0.447,0.385,0.323,0.053,0.025,0.261,0.235,0.209,0.183,0.157,0.131,0.105,0.095,0.000,0.009,0.028,0.044,0.059,0.075,0.091,0.102,0.113,0.124,0.135,0.146,0.157,0.298,0.440,0.582,0.582
2021/6/9,success,0.000,0.000,0.000,0.000,0.000,0.405,0.508,0.438,0.368,0.298,0.282,0.265,0.249,0.232,0.216,0.199,0.219,0.239,0.259,0.279,0.299,0.063,0.053,0.319,0.292,0.266,0.239,0.213,0.187,0.160,0.159,0.042,0.032,0.022,0.013,0.003,0.000,0.000,0.000,0.059,0.098,0.136,0.174,0.212,0.296,0.381,0.465,0.465
2021/7/1,success,0.000,0.000,0.000,0.000,0.676,0.810,0.787,0.763,0.740,0.717,0.687,0.656,0.625,0.595,0.564,0.534,0.518,0.502,0.486,0.470,0.454,0.342,0.319,0.438,0.441,0.443,0.446,0.449,0.452,0.455,0.456,0.295,0.310,0.326,0.341,0.357,0.372,0.387,0.416,0.444,0.473,0.501,0.529,0.558,0.607,0.657,0.707,0.707
2021/7/10,success,0.000,0.000,0.000,0.000,0.000,0.021,0.526,0.530,0.534,0.539,0.581,0.624,0.667,0.710,0.753,0.796,0.757,0.719,0.680,0.642,0.603,0.305,0.303,0.564,0.499,0.433,0.368,0.303,0.237,0.172,0.177,0.301,0.264,0.227,0.189,0.152,0.115,0.077,0.120,0.163,0.207,0.250,0.293,0.336,0.365,0.395,0.424,0.424
2021/7/11,success,0.000,0.000,0.000,0.000,0.000,0.081,0.516,0.503,0.491,0.478,0.484,0.490,0.496,0.502,0.508,0.514,0.511,0.509,0.506,0.504,0.502,0.194,0.199,0.499,0.451,0.403,0.355,0.307,0.258,0.210,0.239,0.205,0.197,0.189,0.181,0.173,0.165,0.157,0.202,0.246,0.290,0.334,0.378,0.423,0.444,0.466,0.488,0.488
2021/7/12,success,0.000,0.000,0.000,0.000,0.495,0.854,0.873,0.892,0.911,0.930,0.916,0.902,0.888,0.874,0.859,0.845,0.768,0.692,0.615,0.538,0.461,0.325,0.353,0.384,0.388,0.393,0.398,0.402,0.407,0.411,0.420,0.382,0.356,0.330,0.304,0.277,0.251,0.225,0.265,0.304,0.344,0.384,0.423,0.463,0.521,0.580,0.639,0.639
2021/7/13,success,0.000,0.000,0.000,0.000,0.622,0.838,0.843,0.849,0.855,0.860,0.871,0.881,0.892,0.902,0.913,0.923,0.864,0.805,0.746,0.686,0.627,0.449,0.458,0.568,0.549,0.531,0.512,0.494,0.475,0.457,0.417,0.467,0.436,0.404,0.373,0.341,0.310,0.278,0.307,0.336,0.365,0.394,0.423,0.452,0.514,0.577,0.639,0.639
2021/7/14,success,0.000,0.000,0.000,0.000,0.373,0.797,0.801,0.804,0.808,0.811,0.847,0.883,0.920,0.956,0.992,1.028,0.932,0.836,0.740,0.645,0.549,0.299,0.259,0.453,0.446,0.439,0.432,0.425,0.418,0.411,0.412,0.220,0.206,0.193,0.180,0.166,0.153,0.140,0.171,0.203,0.234,0.266,0.297,0.329,0.406,0.483,0.559,0.559
2021/7/15,success,0.000,0.000,0.000,0.000,0.257,0.753,0.770,0.787,0.804,0.822,0.834,0.846,0.859,0.871,0.884,0.896,0.846,0.796,0.745,0.695,0.645,0.415,0.416,0.594,0.577,0.561,0.544,0.527,0.510,0.493,0.482,0.417,0.404,0.391,0.379,0.366,0.354,0.341,0.355,0.369,0.384,0.398,0.412,0.426,0.475,0.523,0.572,0.572
2021/7/16,success,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.504,0.532,0.560,0.542,0.525,0.508,0.491,0.474,0.457,0.408,0.360,0.312,0.264,0.216,0.447,0.436,0.168,0.156,0.145,0.134,0.123,0.112,0.101,0.092,0.424,0.429,0.433,0.438,0.443,0.448,0.452,0.447,0.441,0.436,0.430,0.424,0.419,0.414,0.410,0.406,0.406
2021/7/17,success,0.000,0.000,0.000,0.000,0.000,0.304,0.580,0.558,0.536,0.515,0.532,0.550,0.567,0.585,0.602,0.619,0.560,0.500,0.440,0.381,0.321,0.063,0.054,0.261,0.230,0.199,0.167,0.136,0.105,0.073,0.060,0.044,0.057,0.070,0.083,0.097,0.110,0.123,0.158,0.194,0.229,0.265,0.300,0.336,0.387,0.439,0.490,0.490
