空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_S_009,small,2021/6/1,success,3.59304521615,0.14971021733958334,0.71602163,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/10,success,11.52776307,0.48032346125000003,1.0718671,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/11,success,11.027136667,0.4594640277916667,0.95493611,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/12,success,3.5810428265,0.14921011777083334,0.47349818,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/13,success,8.2653718655,0.34439049439583336,0.64167665,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/14,success,11.139264755,0.4641360314583333,0.73839731,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/15,success,10.59005282,0.44125220083333333,0.81129871,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/16,success,15.457473625,0.6440614010416666,0.95421431,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/17,success,15.34651698,0.6394382075,1.2256096,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/18,success,16.421633903,0.6842347459583333,1.0906338,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/19,success,18.18677902,0.7577824591666666,1.4284343,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/2,success,6.457373055,0.269057210625,0.62182726,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/20,success,18.377265165,0.765719381875,1.3685252,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/21,success,15.57449433,0.64893726375,1.1245582,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/22,success,4.294452706,0.17893552941666668,0.50092643,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/23,success,1.6079647449999999,0.06699853104166666,0.32240221,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/24,success,0.232838329,0.009701597041666668,0.13208867,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/25,success,4.082372185,0.17009884104166664,0.56588807,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/26,success,7.54671211,0.31444633791666665,0.53124186,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/27,success,11.14155832,0.46423159666666663,0.7938553,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/28,success,5.208795113,0.21703312970833333,0.52546749,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/29,success,9.764566155,0.40685692312500005,0.57454962,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/3,success,13.439878030000001,0.5599949179166667,0.98308615,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/30,success,12.965355625,0.5402231510416667,0.81490769,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/4,success,5.934621245,0.24727588520833332,0.54279059,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/5,success,5.438428965,0.226601206875,0.68137543,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/6,success,9.0948880505,0.3789536687708333,1.008349,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/7,success,10.765472207,0.44856134195833336,1.1592044,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/8,success,10.293230592,0.428884608,1.0879872,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/6/9,success,7.042337399,0.29343072495833333,0.76666765,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/1,success,14.36892112,0.5987050466666667,0.96419916,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/10,success,11.4125285,0.47552202083333334,0.92462068,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/11,success,10.55755139,0.43989797458333335,0.63975186,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/12,success,14.92993298,0.6220805408333333,1.0675363,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/13,success,16.137876475,0.6724115197916666,1.0603183,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/14,success,14.183781045,0.590990876875,1.1714749,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/15,success,15.715631215,0.6548179672916666,1.0314465,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/16,success,10.47513195,0.43646383125,0.67343567,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/17,success,9.30376308,0.387656795,0.73695372,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/18,success,7.762407519,0.323433646625,0.78747944,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/19,success,1.556260925,0.06484420520833332,0.2353055,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/2,success,15.96899689565,0.6653748706520833,1.0170106,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/20,success,0.2755523955,0.0114813498125,0.11837454,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/21,success,2.291397673,0.09547490304166667,0.3438155,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/22,success,10.11826249,0.42159427041666664,0.87120777,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/23,success,15.979034025,0.6657930843750001,1.3158341,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/24,success,13.59529056,0.56647044,1.0285593,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/25,success,10.963133778,0.45679724075,1.0531004,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/26,success,15.42928222,0.6428867591666666,1.0949645,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/27,success,16.614156955,0.6922565397916666,1.333879,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/28,success,14.29890212,0.5957875883333333,1.1029043,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/29,success,11.845887355,0.49357863979166666,0.73430713,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/3,success,14.06469971,0.5860291545833333,0.87986933,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/30,success,8.798869706,0.3666195710833333,0.58682015,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/31,success,12.042413075,0.5017672114583334,0.92293649,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/4,success,14.139022205,0.5891259252083333,1.047326,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/5,success,11.881907265,0.495079469375,0.99463489,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/6,success,11.874653365,0.4947772235416667,0.93761301,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/7,success,9.083156846,0.37846486858333334,0.68859339,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/8,success,13.229160835,0.5512150347916667,1.0032964,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/7/9,success,13.41940022,0.5591416758333333,1.0213413,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/1,success,12.83951177,0.5349796570833333,1.0927991,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/10,success,7.9421377345,0.3309224056041667,0.56227909,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/11,success,10.27678028,0.4281991783333334,0.77304352,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/12,success,10.6987340585,0.4457805857708333,0.87481675,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/13,success,7.5695900855,0.3153995868958333,0.50453541,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/14,success,6.60468309,0.27519512875,0.49587385,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/15,success,6.1986041735,0.2582751738958333,0.69292416,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/16,success,8.53403907,0.35558496125,0.84666671,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/17,success,11.407930256,0.47533042733333336,0.92678607,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/18,success,10.3921843,0.43300767916666666,0.94916174,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/19,success,7.964464265,0.3318526777083333,0.60005308,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/2,success,12.424319258,0.5176799690833334,0.81707307,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/20,success,11.111863315,0.4629943047916667,0.89791423,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/21,success,12.11223521,0.5046764670833334,0.90729757,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/22,success,13.35670856,0.5565295233333333,0.98308615,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/23,success,14.208378629,0.5920157762083333,1.1592044,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/24,success,12.5526033,0.5230251375,0.74922425,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/25,success,12.4293732,0.5178905500000001,0.88564369,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/26,success,11.881439245,0.4950599685416666,0.84955389,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/27,success,1.52891083,0.06370461791666666,0.42513784,3.27,"[20.8, 24.8]"
AC_S_009,small,2021/8/28,success,3.622444863,0.15093520262500001,0.57575261,3.27,"[20.8, 24.8]"
