AC_L_007 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.52,0.000,0.0
1.5,23.58,0.000,0.0
2.0,23.66,0.000,0.0
2.5,23.74,0.000,0.0
3.0,23.82,0.000,0.0
3.5,23.91,0.000,0.0
4.0,24.00,0.000,0.0
4.5,24.09,0.000,0.0
5.0,24.18,0.000,0.0
5.5,24.27,0.000,0.0
6.0,24.36,0.000,0.0
6.5,24.42,0.000,0.0
7.0,24.48,0.000,0.0
7.5,24.53,0.000,0.0
8.0,24.56,0.000,0.0
8.5,24.58,0.000,0.0
9.0,24.60,0.000,0.0
9.5,24.61,0.000,0.0
10.0,24.61,0.000,0.0
10.5,24.61,0.000,0.0
11.0,24.60,0.000,0.0
11.5,24.60,0.000,0.0
12.0,24.60,0.000,0.0
12.5,24.59,0.000,0.0
13.0,24.57,0.000,0.0
13.5,24.56,0.000,0.0
14.0,24.54,0.000,0.0
14.5,24.53,0.000,0.0
15.0,24.51,0.000,0.0
15.5,24.49,0.000,0.0
16.0,24.48,0.000,0.0
16.5,24.48,0.000,0.0
17.0,24.49,0.000,0.0
17.5,24.50,0.000,0.0
18.0,24.51,0.000,0.0
18.5,24.53,0.000,0.0
19.0,24.56,0.000,0.0
19.5,24.58,0.000,0.0
20.0,24.61,0.000,0.0
20.5,24.63,0.000,0.0
21.0,24.65,0.000,0.0
21.5,24.66,0.000,0.0
22.0,24.68,0.000,0.0
22.5,24.69,0.000,0.0
23.0,24.71,0.000,0.0
23.5,24.74,0.000,0.0
24.0,24.77,0.000,0.0

"日期: 2021/6/10, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.62,0.000,0.0
2.0,23.70,0.000,0.0
2.5,23.78,0.000,0.0
3.0,23.88,0.000,0.0
3.5,23.98,0.000,0.0
4.0,24.08,0.000,0.0
4.5,24.20,0.000,0.0
5.0,24.33,0.000,0.0
5.5,24.46,0.000,0.0
6.0,24.59,0.000,0.0
6.5,24.72,0.000,0.0
7.0,24.84,0.000,0.0
7.5,24.96,0.510,2.6
8.0,25.00,0.753,3.9
8.5,25.00,0.686,3.6
9.0,25.00,0.618,3.2
9.5,25.00,0.550,2.8
10.0,25.00,0.482,2.5
10.5,25.00,0.414,2.1
11.0,25.00,0.167,0.9
11.5,25.00,0.166,0.9
12.0,25.00,0.346,1.8
12.5,25.00,0.334,1.7
13.0,25.00,0.322,1.7
13.5,25.00,0.311,1.6
14.0,25.00,0.299,1.5
14.5,25.00,0.287,1.5
15.0,25.00,0.276,1.4
15.5,25.00,0.255,1.3
16.0,25.00,0.165,0.9
16.5,25.00,0.160,0.8
17.0,25.00,0.155,0.8
17.5,25.00,0.150,0.8
18.0,25.00,0.145,0.7
18.5,25.00,0.139,0.7
19.0,25.00,0.134,0.7
19.5,25.00,0.149,0.8
20.0,25.00,0.164,0.8
20.5,25.00,0.178,0.9
21.0,25.00,0.193,1.0
21.5,25.00,0.208,1.1
22.0,25.00,0.222,1.2
22.5,25.00,0.254,1.3
23.0,25.00,0.285,1.5
23.5,25.00,0.316,1.6
24.0,25.00,0.316,1.6

"日期: 2021/6/11, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.65,0.000,0.0
2.0,23.77,0.000,0.0
2.5,23.89,0.000,0.0
3.0,24.01,0.000,0.0
3.5,24.13,0.000,0.0
4.0,24.25,0.000,0.0
4.5,24.36,0.000,0.0
5.0,24.48,0.000,0.0
5.5,24.59,0.000,0.0
6.0,24.70,0.000,0.0
6.5,24.81,0.000,0.0
7.0,24.92,0.219,1.1
7.5,25.00,0.716,3.7
8.0,25.00,0.721,3.7
8.5,25.00,0.656,3.4
9.0,25.00,0.592,3.1
9.5,25.00,0.527,2.7
10.0,25.00,0.463,2.4
10.5,25.00,0.398,2.1
11.0,25.00,0.193,1.0
11.5,25.00,0.172,0.9
12.0,25.00,0.334,1.7
12.5,25.00,0.306,1.6
13.0,25.00,0.278,1.4
13.5,25.00,0.250,1.3
14.0,25.00,0.222,1.2
14.5,25.00,0.194,1.0
15.0,25.00,0.166,0.9
15.5,25.00,0.161,0.8
16.0,25.00,0.151,0.8
16.5,25.00,0.130,0.7
17.0,25.00,0.109,0.6
17.5,25.00,0.087,0.5
18.0,25.00,0.066,0.3
18.5,25.00,0.045,0.2
19.0,25.00,0.024,0.1
19.5,25.00,0.047,0.2
20.0,25.00,0.071,0.4
20.5,25.00,0.094,0.5
21.0,25.00,0.118,0.6
21.5,25.00,0.141,0.7
22.0,25.00,0.165,0.9
22.5,25.00,0.251,1.3
23.0,25.00,0.337,1.7
23.5,25.00,0.423,2.2
24.0,25.00,0.423,2.2

"日期: 2021/6/12, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.58,0.000,0.0
2.0,23.61,0.000,0.0
2.5,23.64,0.000,0.0
3.0,23.68,0.000,0.0
3.5,23.73,0.000,0.0
4.0,23.78,0.000,0.0
4.5,23.84,0.000,0.0
5.0,23.90,0.000,0.0
5.5,23.97,0.000,0.0
6.0,24.04,0.000,0.0
6.5,24.10,0.000,0.0
7.0,24.17,0.000,0.0
7.5,24.23,0.000,0.0
8.0,24.29,0.000,0.0
8.5,24.36,0.000,0.0
9.0,24.41,0.000,0.0
9.5,24.45,0.000,0.0
10.0,24.48,0.000,0.0
10.5,24.50,0.000,0.0
11.0,24.51,0.000,0.0
11.5,24.54,0.000,0.0
12.0,24.57,0.000,0.0
12.5,24.57,0.000,0.0
13.0,24.58,0.000,0.0
13.5,24.59,0.000,0.0
14.0,24.61,0.000,0.0
14.5,24.63,0.000,0.0
15.0,24.65,0.000,0.0
15.5,24.68,0.000,0.0
16.0,24.70,0.000,0.0
16.5,24.73,0.000,0.0
17.0,24.75,0.000,0.0
17.5,24.77,0.000,0.0
18.0,24.78,0.000,0.0
18.5,24.79,0.000,0.0
19.0,24.80,0.000,0.0
19.5,24.80,0.000,0.0
20.0,24.81,0.000,0.0
20.5,24.81,0.000,0.0
21.0,24.81,0.000,0.0
21.5,24.82,0.000,0.0
22.0,24.82,0.000,0.0
22.5,24.83,0.000,0.0
23.0,24.84,0.000,0.0
23.5,24.84,0.000,0.0
24.0,24.85,0.000,0.0

"日期: 2021/6/13, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.62,0.000,0.0
2.0,23.70,0.000,0.0
2.5,23.79,0.000,0.0
3.0,23.87,0.000,0.0
3.5,23.96,0.000,0.0
4.0,24.05,0.000,0.0
4.5,24.13,0.000,0.0
5.0,24.22,0.000,0.0
5.5,24.30,0.000,0.0
6.0,24.38,0.000,0.0
6.5,24.46,0.000,0.0
7.0,24.54,0.000,0.0
7.5,24.61,0.000,0.0
8.0,24.68,0.000,0.0
8.5,24.75,0.000,0.0
9.0,24.81,0.000,0.0
9.5,24.88,0.000,0.0
10.0,24.94,0.000,0.0
10.5,24.99,0.306,1.6
11.0,25.00,0.055,0.3
11.5,25.00,0.032,0.2
12.0,25.00,0.345,1.8
12.5,25.00,0.323,1.7
13.0,25.00,0.302,1.6
13.5,25.00,0.281,1.5
14.0,25.00,0.259,1.3
14.5,25.00,0.238,1.2
15.0,25.00,0.217,1.1
15.5,25.00,0.237,1.2
16.0,25.00,0.008,0.0
16.5,25.00,0.019,0.1
17.0,25.00,0.030,0.2
17.5,25.00,0.041,0.2
18.0,25.00,0.052,0.3
18.5,25.00,0.063,0.3
19.0,25.00,0.073,0.4
19.5,25.00,0.104,0.5
20.0,25.00,0.135,0.7
20.5,25.00,0.166,0.9
21.0,25.00,0.197,1.0
21.5,25.00,0.228,1.2
22.0,25.00,0.259,1.3
22.5,25.00,0.290,1.5
23.0,25.00,0.321,1.7
23.5,25.00,0.351,1.8
24.0,25.00,0.351,1.8

"日期: 2021/6/14, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.57,0.000,0.0
1.5,23.66,0.000,0.0
2.0,23.75,0.000,0.0
2.5,23.84,0.000,0.0
3.0,23.94,0.000,0.0
3.5,24.03,0.000,0.0
4.0,24.13,0.000,0.0
4.5,24.22,0.000,0.0
5.0,24.32,0.000,0.0
5.5,24.41,0.000,0.0
6.0,24.50,0.000,0.0
6.5,24.59,0.000,0.0
7.0,24.68,0.000,0.0
7.5,24.77,0.000,0.0
8.0,24.85,0.000,0.0
8.5,24.93,0.013,0.1
9.0,25.00,0.425,2.2
9.5,25.00,0.381,2.0
10.0,25.00,0.337,1.7
10.5,25.00,0.293,1.5
11.0,25.00,0.298,1.5
11.5,25.00,0.319,1.7
12.0,25.00,0.249,1.3
12.5,25.00,0.250,1.3
13.0,25.00,0.251,1.3
13.5,25.00,0.253,1.3
14.0,25.00,0.254,1.3
14.5,25.00,0.255,1.3
15.0,25.00,0.257,1.3
15.5,25.00,0.245,1.3
16.0,25.00,0.339,1.8
16.5,25.00,0.321,1.7
17.0,25.00,0.303,1.6
17.5,25.00,0.286,1.5
18.0,25.00,0.268,1.4
18.5,25.00,0.250,1.3
19.0,25.00,0.232,1.2
19.5,25.00,0.255,1.3
20.0,25.00,0.277,1.4
20.5,25.00,0.300,1.6
21.0,25.00,0.322,1.7
21.5,25.00,0.345,1.8
22.0,25.00,0.367,1.9
22.5,25.00,0.389,2.0
23.0,25.00,0.411,2.1
23.5,25.00,0.433,2.2
24.0,25.00,0.433,2.2

"日期: 2021/6/15, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.64,0.000,0.0
2.0,23.72,0.000,0.0
2.5,23.80,0.000,0.0
3.0,23.88,0.000,0.0
3.5,23.96,0.000,0.0
4.0,24.04,0.000,0.0
4.5,24.11,0.000,0.0
5.0,24.18,0.000,0.0
5.5,24.25,0.000,0.0
6.0,24.32,0.000,0.0
6.5,24.40,0.000,0.0
7.0,24.48,0.000,0.0
7.5,24.57,0.000,0.0
8.0,24.66,0.000,0.0
8.5,24.76,0.000,0.0
9.0,24.85,0.000,0.0
9.5,24.93,0.053,0.3
10.0,25.00,0.449,2.3
10.5,25.00,0.408,2.1
11.0,25.00,0.211,1.1
11.5,25.00,0.200,1.0
12.0,25.00,0.368,1.9
12.5,25.00,0.364,1.9
13.0,25.00,0.360,1.9
13.5,25.00,0.356,1.8
14.0,25.00,0.352,1.8
14.5,25.00,0.348,1.8
15.0,25.00,0.345,1.8
15.5,25.00,0.341,1.8
16.0,25.00,0.189,1.0
16.5,25.00,0.198,1.0
17.0,25.00,0.208,1.1
17.5,25.00,0.217,1.1
18.0,25.00,0.227,1.2
18.5,25.00,0.236,1.2
19.0,25.00,0.245,1.3
19.5,25.00,0.261,1.4
20.0,25.00,0.276,1.4
20.5,25.00,0.291,1.5
21.0,25.00,0.307,1.6
21.5,25.00,0.322,1.7
22.0,25.00,0.337,1.7
22.5,25.00,0.350,1.8
23.0,25.00,0.363,1.9
23.5,25.00,0.376,2.0
24.0,25.00,0.376,2.0

"日期: 2021/6/16, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.57,0.000,0.0
1.5,23.68,0.000,0.0
2.0,23.79,0.000,0.0
2.5,23.90,0.000,0.0
3.0,24.01,0.000,0.0
3.5,24.12,0.000,0.0
4.0,24.23,0.000,0.0
4.5,24.34,0.000,0.0
5.0,24.46,0.000,0.0
5.5,24.57,0.000,0.0
6.0,24.68,0.000,0.0
6.5,24.79,0.000,0.0
7.0,24.90,0.064,0.3
7.5,25.00,0.714,3.7
8.0,25.00,0.720,3.7
8.5,25.00,0.681,3.5
9.0,25.00,0.643,3.3
9.5,25.00,0.604,3.1
10.0,25.00,0.565,2.9
10.5,25.00,0.526,2.7
11.0,25.00,0.330,1.7
11.5,25.00,0.326,1.7
12.0,25.00,0.487,2.5
12.5,25.00,0.473,2.5
13.0,25.00,0.459,2.4
13.5,25.00,0.445,2.3
14.0,25.00,0.431,2.2
14.5,25.00,0.417,2.2
15.0,25.00,0.403,2.1
15.5,25.00,0.384,2.0
16.0,25.00,0.322,1.7
16.5,25.00,0.328,1.7
17.0,25.00,0.333,1.7
17.5,25.00,0.338,1.8
18.0,25.00,0.344,1.8
18.5,25.00,0.349,1.8
19.0,25.00,0.355,1.8
19.5,25.00,0.388,2.0
20.0,25.00,0.422,2.2
20.5,25.00,0.456,2.4
21.0,25.00,0.490,2.5
21.5,25.00,0.524,2.7
22.0,25.00,0.557,2.9
22.5,25.00,0.563,2.9
23.0,25.00,0.570,3.0
23.5,25.00,0.576,3.0
24.0,25.00,0.576,3.0

"日期: 2021/6/17, 空调: AC_L_007 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.58,0.000,0.0
1.5,23.67,0.000,0.0
2.0,23.77,0.000,0.0
2.5,23.86,0.000,0.0
3.0,23.97,0.000,0.0
3.5,24.08,0.000,0.0
4.0,24.20,0.000,0.0
4.5,24.33,0.000,0.0
5.0,24.48,0.000,0.0
5.5,24.63,0.000,0.0
6.0,24.77,0.000,0.0
6.5,24.90,0.162,0.8
7.0,25.00,0.773,4.0
7.5,25.00,0.734,3.8
8.0,25.00,0.694,3.6
8.5,25.00,0.652,3.4
9.0,25.00,0.610,3.2
9.5,25.00,0.569,2.9
10.0,25.00,0.527,2.7
10.5,25.00,0.485,2.5
11.0,25.00,0.325,1.7
11.5,25.00,0.306,1.6
12.0,25.00,0.443,2.3
12.5,25.00,0.430,2.2
13.0,25.00,0.417,2.2
13.5,25.00,0.404,2.1
14.0,25.00,0.391,2.0
14.5,25.00,0.378,2.0
15.0,25.00,0.365,1.9
15.5,25.00,0.359,1.9
16.0,25.00,0.286,1.5
16.5,25.00,0.299,1.6
17.0,25.00,0.312,1.6
17.5,25.00,0.325,1.7
18.0,25.00,0.339,1.8
18.5,25.00,0.352,1.8
19.0,25.00,0.365,1.9
19.5,25.00,0.387,2.0
20.0,25.00,0.410,2.1
20.5,25.00,0.432,2.2
21.0,25.00,0.455,2.4
21.5,25.00,0.477,2.5
22.0,25.00,0.500,2.6
22.5,25.00,0.499,2.6
23.0,25.00,0.499,2.6
23.5,25.00,0.498,2.6
24.0,25.00,0.498,2.6

"日期: 2021/6/18, 空调: AC_L_007 (large), 状态: success"
