AC_M_030 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_030 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.73,0.000,0.0
2.0,23.93,0.000,0.0
2.5,24.15,0.376,10.0
3.0,24.30,1.118,29.8
3.5,24.30,1.164,31.0
4.0,24.30,1.210,32.3
4.5,24.30,1.256,33.5
5.0,24.30,1.302,34.7
5.5,24.30,1.146,30.6
6.0,24.30,0.991,26.4
6.5,24.30,0.835,22.3
7.0,24.30,0.679,18.1
7.5,24.30,0.524,14.0
8.0,24.30,0.368,9.8
8.5,24.30,0.286,7.6
9.0,24.30,0.204,5.4
9.5,24.30,0.122,3.2
10.0,24.30,0.039,1.0
10.5,24.30,0.000,0.0
11.0,24.29,0.018,0.5
11.5,24.30,0.074,2.0
12.0,24.30,0.000,0.0
12.5,24.27,0.000,0.0
13.0,24.25,0.000,0.0
13.5,24.22,0.000,0.0
14.0,24.19,0.000,0.0
14.5,24.16,0.000,0.0
15.0,24.12,0.000,0.0
15.5,24.09,0.000,0.0
16.0,24.06,0.000,0.0
16.5,24.09,0.000,0.0
17.0,24.13,0.000,0.0
17.5,24.18,0.000,0.0
18.0,24.24,0.010,0.3
18.5,24.30,0.377,10.1
19.0,24.30,0.434,11.6
19.5,24.30,0.401,10.7
20.0,24.30,0.367,9.8
20.5,24.30,0.333,8.9
21.0,24.30,0.299,8.0
21.5,24.30,0.265,7.1
22.0,24.30,0.231,6.2
22.5,24.30,0.364,9.7
23.0,24.30,0.496,13.2
23.5,24.30,0.629,16.8
24.0,24.30,0.629,16.8

"日期: 2021/6/10, 空调: AC_M_030 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.64,0.000,0.0
1.5,23.85,0.000,0.0
2.0,24.06,0.000,0.0
2.5,24.28,1.066,28.4
3.0,24.30,1.320,35.2
3.5,24.30,1.464,39.0
4.0,24.30,1.608,42.9
4.5,24.30,1.751,46.7
5.0,24.30,1.895,50.5
5.5,24.30,1.874,50.0
6.0,24.30,1.854,49.4
6.5,24.30,1.833,48.9
7.0,24.30,1.812,48.3
7.5,24.30,1.791,47.8
8.0,24.30,1.770,47.2
8.5,24.30,1.624,43.3
9.0,24.30,1.478,39.4
9.5,24.30,1.332,35.5
10.0,24.30,1.186,31.6
10.5,24.30,1.040,27.7
11.0,24.30,0.511,13.6
11.5,24.30,0.508,13.6
12.0,24.30,0.894,23.8
12.5,24.30,0.869,23.2
13.0,24.30,0.844,22.5
13.5,24.30,0.819,21.8
14.0,24.30,0.794,21.2
14.5,24.30,0.769,20.5
15.0,24.30,0.744,19.8
15.5,24.30,0.699,18.6
16.0,24.30,0.505,13.5
16.5,24.30,0.495,13.2
17.0,24.30,0.484,12.9
17.5,24.30,0.473,12.6
18.0,24.30,0.462,12.3
18.5,24.30,0.451,12.0
19.0,24.30,0.440,11.7
19.5,24.30,0.472,12.6
20.0,24.30,0.503,13.4
20.5,24.30,0.535,14.3
21.0,24.30,0.566,15.1
21.5,24.30,0.598,15.9
22.0,24.30,0.629,16.8
22.5,24.30,0.697,18.6
23.0,24.30,0.764,20.4
23.5,24.30,0.831,22.2
24.0,24.30,0.831,22.2

"日期: 2021/6/11, 空调: AC_M_030 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.66,0.000,0.0
1.5,23.93,0.000,0.0
2.0,24.24,1.310,34.9
2.5,24.30,1.618,43.1
3.0,24.30,1.622,43.2
3.5,24.30,1.626,43.4
4.0,24.30,1.630,43.5
4.5,24.30,1.634,43.6
5.0,24.30,1.638,43.7
5.5,24.30,1.648,44.0
6.0,24.30,1.659,44.2
6.5,24.30,1.669,44.5
7.0,24.30,1.679,44.8
7.5,24.30,1.690,45.1
8.0,24.30,1.700,45.3
8.5,24.30,1.562,41.6
9.0,24.30,1.423,38.0
9.5,24.30,1.285,34.3
10.0,24.30,1.146,30.6
10.5,24.30,1.007,26.9
11.0,24.30,0.566,15.1
11.5,24.30,0.521,13.9
12.0,24.30,0.869,23.2
12.5,24.30,0.809,21.6
13.0,24.30,0.749,20.0
13.5,24.30,0.689,18.4
14.0,24.30,0.629,16.8
14.5,24.30,0.569,15.2
15.0,24.30,0.509,13.6
15.5,24.30,0.498,13.3
16.0,24.30,0.477,12.7
16.5,24.30,0.431,11.5
17.0,24.30,0.385,10.3
17.5,24.30,0.339,9.0
18.0,24.30,0.294,7.8
18.5,24.30,0.248,6.6
19.0,24.30,0.202,5.4
19.5,24.30,0.253,6.7
20.0,24.30,0.303,8.1
20.5,24.30,0.354,9.4
21.0,24.30,0.404,10.8
21.5,24.30,0.455,12.1
22.0,24.30,0.505,13.5
22.5,24.30,0.690,18.4
23.0,24.30,0.875,23.3
23.5,24.30,1.060,28.3
24.0,24.30,1.060,28.3

"日期: 2021/6/12, 空调: AC_M_030 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.63,0.000,0.0
1.5,23.71,0.000,0.0
2.0,23.80,0.000,0.0
2.5,23.88,0.000,0.0
3.0,23.98,0.000,0.0
3.5,24.10,0.000,0.0
4.0,24.23,0.374,10.0
4.5,24.30,0.801,21.4
5.0,24.30,0.898,23.9
5.5,24.30,0.890,23.7
6.0,24.30,0.882,23.5
6.5,24.30,0.875,23.3
7.0,24.30,0.867,23.1
7.5,24.30,0.860,22.9
8.0,24.30,0.852,22.7
8.5,24.30,0.727,19.4
9.0,24.30,0.602,16.1
9.5,24.30,0.477,12.7
10.0,24.30,0.352,9.4
