AC_S_054 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_054 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.57,0.000,0.0
1.5,23.86,0.000,0.0
2.0,24.18,0.027,1.0
2.5,24.50,0.673,23.9
3.0,24.50,0.703,24.9
3.5,24.50,0.733,26.0
4.0,24.50,0.763,27.1
4.5,24.50,0.793,28.1
5.0,24.50,0.823,29.2
5.5,24.50,0.722,25.6
6.0,24.50,0.620,22.0
6.5,24.50,0.518,18.4
7.0,24.50,0.416,14.8
7.5,24.50,0.314,11.1
8.0,24.50,0.213,7.5
8.5,24.50,0.159,5.6
9.0,24.50,0.105,3.7
9.5,24.50,0.051,1.8
10.0,24.50,0.000,0.0
10.5,24.50,0.000,0.0
11.0,24.47,0.000,0.0
11.5,24.48,0.000,0.0
12.0,24.49,0.000,0.0
12.5,24.44,0.000,0.0
13.0,24.38,0.000,0.0
13.5,24.33,0.000,0.0
14.0,24.27,0.000,0.0
14.5,24.21,0.000,0.0
15.0,24.16,0.000,0.0
15.5,24.10,0.000,0.0
16.0,24.06,0.000,0.0
16.5,24.10,0.000,0.0
17.0,24.16,0.000,0.0
17.5,24.24,0.000,0.0
18.0,24.33,0.000,0.0
18.5,24.43,0.076,2.7
19.0,24.50,0.256,9.1
19.5,24.50,0.234,8.3
20.0,24.50,0.212,7.5
20.5,24.50,0.189,6.7
21.0,24.50,0.167,5.9
21.5,24.50,0.145,5.1
22.0,24.50,0.123,4.4
22.5,24.50,0.210,7.4
23.0,24.50,0.296,10.5
23.5,24.50,0.383,13.6
24.0,24.50,0.383,13.6

"日期: 2021/6/10, 空调: AC_S_054 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.72,0.000,0.0
1.5,24.05,0.000,0.0
2.0,24.37,0.401,14.2
2.5,24.50,0.741,26.3
3.0,24.50,0.835,29.6
3.5,24.50,0.929,33.0
4.0,24.50,1.023,36.3
4.5,24.50,1.117,39.6
5.0,24.50,1.212,43.0
5.5,24.50,1.198,42.5
6.0,24.50,1.184,42.0
6.5,24.50,1.171,41.5
7.0,24.50,1.157,41.0
7.5,24.50,1.143,40.5
8.0,24.50,1.130,40.1
8.5,24.50,1.034,36.7
9.0,24.50,0.939,33.3
9.5,24.50,0.843,29.9
10.0,24.50,0.748,26.5
10.5,24.50,0.652,23.1
11.0,24.50,0.306,10.9
11.5,24.50,0.304,10.8
12.0,24.50,0.557,19.7
12.5,24.50,0.540,19.2
13.0,24.50,0.524,18.6
13.5,24.50,0.507,18.0
14.0,24.50,0.491,17.4
14.5,24.50,0.475,16.8
15.0,24.50,0.458,16.2
15.5,24.50,0.429,15.2
16.0,24.50,0.302,10.7
16.5,24.50,0.295,10.5
17.0,24.50,0.288,10.2
17.5,24.50,0.281,10.0
18.0,24.50,0.274,9.7
