AC_M_008 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_008 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.81,0.000,0.0
2.0,24.08,0.000,0.0
2.5,24.37,0.000,0.0
3.0,24.65,0.000,0.0
3.5,24.94,0.000,0.0
4.0,25.21,0.000,0.0
4.5,25.49,0.209,4.8
5.0,25.70,1.009,23.1
5.5,25.70,0.852,19.5
6.0,25.70,0.695,15.9
6.5,25.70,0.537,12.3
7.0,25.70,0.380,8.7
7.5,25.70,0.223,5.1
8.0,25.70,0.066,1.5
8.5,25.70,0.000,0.0
9.0,25.70,0.000,0.0
9.5,25.67,0.000,0.0
10.0,25.62,0.000,0.0
10.5,25.55,0.000,0.0
11.0,25.47,0.000,0.0
11.5,25.42,0.000,0.0
12.0,25.37,0.000,0.0
12.5,25.28,0.000,0.0
13.0,25.18,0.000,0.0
13.5,25.09,0.000,0.0
14.0,24.99,0.000,0.0
14.5,24.90,0.000,0.0
15.0,24.81,0.000,0.0
15.5,24.73,0.000,0.0
16.0,24.65,0.000,0.0
16.5,24.66,0.000,0.0
17.0,24.68,0.000,0.0
17.5,24.71,0.000,0.0
18.0,24.76,0.000,0.0
18.5,24.82,0.000,0.0
19.0,24.89,0.000,0.0
19.5,24.97,0.000,0.0
20.0,25.04,0.000,0.0
20.5,25.10,0.000,0.0
21.0,25.14,0.000,0.0
21.5,25.17,0.000,0.0
22.0,25.19,0.000,0.0
22.5,25.20,0.000,0.0
23.0,25.25,0.000,0.0
23.5,25.33,0.000,0.0
24.0,25.44,0.000,0.0

"日期: 2021/6/10, 空调: AC_M_008 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.69,0.000,0.0
1.5,23.96,0.000,0.0
2.0,24.24,0.000,0.0
2.5,24.53,0.000,0.0
3.0,24.83,0.000,0.0
3.5,25.16,0.000,0.0
4.0,25.50,0.621,14.2
4.5,25.70,1.463,33.5
5.0,25.70,1.609,36.8
5.5,25.70,1.588,36.3
6.0,25.70,1.567,35.8
6.5,25.70,1.545,35.4
7.0,25.70,1.524,34.9
7.5,25.70,1.503,34.4
8.0,25.70,1.482,33.9
8.5,25.70,1.335,30.5
9.0,25.70,1.187,27.2
9.5,25.70,1.040,23.8
10.0,25.70,0.892,20.4
10.5,25.70,0.745,17.0
11.0,25.70,0.210,4.8
11.5,25.70,0.207,4.7
12.0,25.70,0.597,13.7
12.5,25.70,0.572,13.1
13.0,25.70,0.546,12.5
13.5,25.70,0.521,11.9
14.0,25.70,0.496,11.3
14.5,25.70,0.470,10.8
15.0,25.70,0.445,10.2
15.5,25.70,0.400,9.2
16.0,25.70,0.204,4.7
16.5,25.70,0.193,4.4
17.0,25.70,0.182,4.2
17.5,25.70,0.171,3.9
18.0,25.70,0.161,3.7
18.5,25.70,0.150,3.4
19.0,25.70,0.139,3.2
19.5,25.70,0.170,3.9
20.0,25.70,0.202,4.6
20.5,25.70,0.234,5.4
21.0,25.70,0.266,6.1
21.5,25.70,0.298,6.8
22.0,25.70,0.330,7.5
22.5,25.70,0.397,9.1
23.0,25.70,0.465,10.6
23.5,25.70,0.533,12.2
24.0,25.70,0.533,12.2

"日期: 2021/6/11, 空调: AC_M_008 (medium), 状态: success"
