AC_S_028 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_028 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.82,0.000,0.0
2.0,24.10,0.000,0.0
2.5,24.40,0.000,0.0
3.0,24.69,0.000,0.0
3.5,24.98,0.000,0.0
4.0,25.27,0.000,0.0
4.5,25.55,0.047,1.4
5.0,25.80,0.527,15.6
5.5,25.80,0.443,13.1
6.0,25.80,0.359,10.6
6.5,25.80,0.275,8.1
7.0,25.80,0.191,5.7
7.5,25.80,0.107,3.2
8.0,25.80,0.023,0.7
8.5,25.80,0.000,0.0
9.0,25.79,0.000,0.0
9.5,25.76,0.000,0.0
10.0,25.70,0.000,0.0
10.5,25.63,0.000,0.0
11.0,25.53,0.000,0.0
11.5,25.48,0.000,0.0
12.0,25.43,0.000,0.0
12.5,25.32,0.000,0.0
13.0,25.22,0.000,0.0
13.5,25.12,0.000,0.0
14.0,25.02,0.000,0.0
14.5,24.93,0.000,0.0
15.0,24.83,0.000,0.0
15.5,24.74,0.000,0.0
16.0,24.67,0.000,0.0
16.5,24.67,0.000,0.0
17.0,24.69,0.000,0.0
17.5,24.72,0.000,0.0
18.0,24.77,0.000,0.0
18.5,24.83,0.000,0.0
19.0,24.90,0.000,0.0
19.5,24.99,0.000,0.0
20.0,25.06,0.000,0.0
20.5,25.12,0.000,0.0
21.0,25.16,0.000,0.0
21.5,25.19,0.000,0.0
22.0,25.21,0.000,0.0
22.5,25.22,0.000,0.0
23.0,25.27,0.000,0.0
23.5,25.35,0.000,0.0
24.0,25.46,0.000,0.0

"日期: 2021/6/10, 空调: AC_S_028 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.69,0.000,0.0
1.5,23.98,0.000,0.0
2.0,24.27,0.000,0.0
2.5,24.56,0.000,0.0
3.0,24.88,0.000,0.0
3.5,25.21,0.000,0.0
4.0,25.57,0.269,8.0
4.5,25.80,0.770,22.8
5.0,25.80,0.847,25.1
5.5,25.80,0.836,24.7
6.0,25.80,0.825,24.4
6.5,25.80,0.814,24.1
7.0,25.80,0.802,23.7
7.5,25.80,0.791,23.4
8.0,25.80,0.780,23.1
8.5,25.80,0.701,20.7
9.0,25.80,0.622,18.4
9.5,25.80,0.544,16.1
10.0,25.80,0.465,13.7
10.5,25.80,0.386,11.4
11.0,25.80,0.100,3.0
11.5,25.80,0.099,2.9
12.0,25.80,0.307,9.1
12.5,25.80,0.294,8.7
13.0,25.80,0.280,8.3
13.5,25.80,0.267,7.9
14.0,25.80,0.253,7.5
14.5,25.80,0.240,7.1
15.0,25.80,0.226,6.7
15.5,25.80,0.202,6.0
16.0,25.80,0.097,2.9
16.5,25.80,0.092,2.7
17.0,25.80,0.086,2.5
17.5,25.80,0.080,2.4
18.0,25.80,0.074,2.2
18.5,25.80,0.068,2.0
19.0,25.80,0.062,1.8
19.5,25.80,0.079,2.3
20.0,25.80,0.096,2.8
20.5,25.80,0.113,3.4
21.0,25.80,0.130,3.9
21.5,25.80,0.147,4.4
22.0,25.80,0.164,4.9
22.5,25.80,0.201,5.9
23.0,25.80,0.237,7.0
23.5,25.80,0.273,8.1
24.0,25.80,0.273,8.1

"日期: 2021/6/11, 空调: AC_S_028 (small), 状态: success"
