AC_S_005 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_005 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.80,0.000,0.0
2.0,24.07,0.000,0.0
2.5,24.35,0.000,0.0
3.0,24.63,0.000,0.0
3.5,24.91,0.188,6.1
4.0,25.10,0.627,20.2
4.5,25.10,0.655,21.1
5.0,25.10,0.683,22.0
5.5,25.10,0.589,19.0
6.0,25.10,0.495,16.0
6.5,25.10,0.400,12.9
7.0,25.10,0.306,9.9
7.5,25.10,0.212,6.8
8.0,25.10,0.118,3.8
8.5,25.10,0.068,2.2
9.0,25.10,0.018,0.6
9.5,25.10,0.000,0.0
10.0,25.09,0.000,0.0
10.5,25.05,0.000,0.0
11.0,25.00,0.000,0.0
11.5,24.97,0.000,0.0
12.0,24.95,0.000,0.0
12.5,24.88,0.000,0.0
13.0,24.81,0.000,0.0
13.5,24.74,0.000,0.0
14.0,24.67,0.000,0.0
14.5,24.60,0.000,0.0
15.0,24.53,0.000,0.0
15.5,24.46,0.000,0.0
16.0,24.41,0.000,0.0
16.5,24.42,0.000,0.0
17.0,24.46,0.000,0.0
17.5,24.50,0.000,0.0
18.0,24.56,0.000,0.0
18.5,24.63,0.000,0.0
19.0,24.71,0.000,0.0
19.5,24.80,0.000,0.0
20.0,24.88,0.000,0.0
20.5,24.94,0.000,0.0
21.0,24.99,0.000,0.0
21.5,25.03,0.000,0.0
22.0,25.06,0.000,0.0
22.5,25.08,0.069,2.2
23.0,25.10,0.195,6.3
23.5,25.10,0.276,8.9
24.0,25.10,0.276,8.9

"日期: 2021/6/10, 空调: AC_S_005 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.68,0.000,0.0
1.5,23.95,0.000,0.0
2.0,24.23,0.000,0.0
2.5,24.51,0.000,0.0
3.0,24.81,0.062,2.0
3.5,25.10,0.781,25.2
4.0,25.10,0.868,28.0
4.5,25.10,0.955,30.8
5.0,25.10,1.042,33.6
5.5,25.10,1.029,33.2
6.0,25.10,1.017,32.8
6.5,25.10,1.004,32.4
7.0,25.10,0.991,32.0
7.5,25.10,0.979,31.6
8.0,25.10,0.966,31.2
8.5,25.10,0.878,28.3
9.0,25.10,0.789,25.5
9.5,25.10,0.701,22.6
10.0,25.10,0.613,19.8
10.5,25.10,0.524,16.9
11.0,25.10,0.204,6.6
11.5,25.10,0.203,6.5
12.0,25.10,0.436,14.1
12.5,25.10,0.421,13.6
13.0,25.10,0.406,13.1
13.5,25.10,0.391,12.6
14.0,25.10,0.375,12.1
14.5,25.10,0.360,11.6
15.0,25.10,0.345,11.1
15.5,25.10,0.318,10.3
16.0,25.10,0.201,6.5
16.5,25.10,0.194,6.3
17.0,25.10,0.188,6.1
17.5,25.10,0.181,5.8
18.0,25.10,0.175,5.6
18.5,25.10,0.168,5.4
19.0,25.10,0.162,5.2
19.5,25.10,0.181,5.8
20.0,25.10,0.200,6.4
20.5,25.10,0.219,7.1
21.0,25.10,0.238,7.7
21.5,25.10,0.257,8.3
22.0,25.10,0.276,8.9
22.5,25.10,0.317,10.2
23.0,25.10,0.357,11.5
23.5,25.10,0.398,12.8
24.0,25.10,0.398,12.8

"日期: 2021/6/11, 空调: AC_S_005 (small), 状态: success"
