AC_S_041 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_041 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.79,0.000,0.0
2.0,24.04,0.000,0.0
2.5,24.32,0.000,0.0
3.0,24.59,0.116,3.5
3.5,24.80,0.590,17.7
4.0,24.80,0.616,18.4
4.5,24.80,0.641,19.2
5.0,24.80,0.667,20.0
5.5,24.80,0.580,17.4
6.0,24.80,0.493,14.8
6.5,24.80,0.406,12.2
7.0,24.80,0.319,9.6
7.5,24.80,0.232,7.0
8.0,24.80,0.145,4.3
8.5,24.80,0.099,3.0
9.0,24.80,0.053,1.6
9.5,24.80,0.007,0.2
10.0,24.80,0.000,0.0
10.5,24.78,0.000,0.0
11.0,24.75,0.000,0.0
11.5,24.74,0.000,0.0
12.0,24.73,0.000,0.0
12.5,24.68,0.000,0.0
13.0,24.62,0.000,0.0
13.5,24.56,0.000,0.0
14.0,24.51,0.000,0.0
14.5,24.45,0.000,0.0
15.0,24.39,0.000,0.0
15.5,24.33,0.000,0.0
16.0,24.28,0.000,0.0
16.5,24.31,0.000,0.0
17.0,24.34,0.000,0.0
17.5,24.39,0.000,0.0
18.0,24.46,0.000,0.0
18.5,24.53,0.000,0.0
19.0,24.61,0.000,0.0
19.5,24.70,0.000,0.0
20.0,24.78,0.107,3.2
20.5,24.80,0.125,3.8
21.0,24.80,0.106,3.2
21.5,24.80,0.088,2.6
22.0,24.80,0.069,2.1
22.5,24.80,0.143,4.3
23.0,24.80,0.217,6.5
23.5,24.80,0.291,8.7
24.0,24.80,0.291,8.7

"日期: 2021/6/10, 空调: AC_S_041 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.67,0.000,0.0
1.5,23.93,0.000,0.0
2.0,24.20,0.000,0.0
2.5,24.47,0.000,0.0
3.0,24.75,0.580,17.4
3.5,24.80,0.758,22.7
4.0,24.80,0.838,25.1
4.5,24.80,0.918,27.5
5.0,24.80,0.999,29.9
5.5,24.80,0.987,29.5
6.0,24.80,0.975,29.2
6.5,24.80,0.964,28.9
7.0,24.80,0.952,28.5
7.5,24.80,0.940,28.2
8.0,24.80,0.929,27.8
8.5,24.80,0.847,25.4
9.0,24.80,0.765,22.9
9.5,24.80,0.684,20.5
