AC_M_023 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_023 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.69,0.000,0.0
2.0,23.85,0.000,0.0
2.5,24.03,0.000,0.0
3.0,24.22,0.000,0.0
3.5,24.40,0.000,0.0
4.0,24.59,0.000,0.0
4.5,24.77,0.770,21.4
5.0,24.80,0.929,25.9
5.5,24.80,0.808,22.5
6.0,24.80,0.687,19.1
6.5,24.80,0.566,15.8
7.0,24.80,0.445,12.4
7.5,24.80,0.324,9.0
8.0,24.80,0.202,5.6
8.5,24.80,0.138,3.9
9.0,24.80,0.074,2.1
9.5,24.80,0.010,0.3
10.0,24.80,0.000,0.0
10.5,24.79,0.000,0.0
11.0,24.76,0.000,0.0
11.5,24.76,0.000,0.0
12.0,24.75,0.000,0.0
12.5,24.72,0.000,0.0
13.0,24.68,0.000,0.0
13.5,24.64,0.000,0.0
14.0,24.60,0.000,0.0
14.5,24.56,0.000,0.0
15.0,24.52,0.000,0.0
15.5,24.48,0.000,0.0
16.0,24.44,0.000,0.0
16.5,24.45,0.000,0.0
17.0,24.47,0.000,0.0
17.5,24.50,0.000,0.0
18.0,24.53,0.000,0.0
18.5,24.58,0.000,0.0
19.0,24.63,0.000,0.0
19.5,24.69,0.000,0.0
20.0,24.74,0.000,0.0
20.5,24.78,0.097,2.7
21.0,24.80,0.148,4.1
21.5,24.80,0.122,3.4
22.0,24.80,0.096,2.7
22.5,24.80,0.199,5.5
23.0,24.80,0.302,8.4
23.5,24.80,0.405,11.3
24.0,24.80,0.405,11.3

"日期: 2021/6/10, 空调: AC_M_023 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.61,0.000,0.0
1.5,23.78,0.000,0.0
2.0,23.96,0.000,0.0
2.5,24.14,0.000,0.0
3.0,24.33,0.000,0.0
3.5,24.55,0.000,0.0
4.0,24.77,1.047,29.2
4.5,24.80,1.279,35.6
5.0,24.80,1.391,38.8
5.5,24.80,1.375,38.3
6.0,24.80,1.359,37.8
6.5,24.80,1.343,37.4
7.0,24.80,1.326,36.9
7.5,24.80,1.310,36.5
8.0,24.80,1.294,36.0
8.5,24.80,1.180,32.9
9.0,24.80,1.066,29.7
9.5,24.80,0.953,26.5
10.0,24.80,0.839,23.4
10.5,24.80,0.725,20.2
11.0,24.80,0.314,8.7
11.5,24.80,0.311,8.7
12.0,24.80,0.612,17.0
12.5,24.80,0.592,16.5
13.0,24.80,0.573,16.0
13.5,24.80,0.553,15.4
14.0,24.80,0.534,14.9
14.5,24.80,0.514,14.3
15.0,24.80,0.495,13.8
15.5,24.80,0.460,12.8
16.0,24.80,0.309,8.6
16.5,24.80,0.301,8.4
17.0,24.80,0.292,8.1
17.5,24.80,0.284,7.9
18.0,24.80,0.275,7.7
18.5,24.80,0.267,7.4
19.0,24.80,0.259,7.2
19.5,24.80,0.283,7.9
20.0,24.80,0.308,8.6
20.5,24.80,0.332,9.3
21.0,24.80,0.357,9.9
21.5,24.80,0.381,10.6
22.0,24.80,0.406,11.3
22.5,24.80,0.458,12.8
23.0,24.80,0.510,14.2
23.5,24.80,0.563,15.7
24.0,24.80,0.563,15.7

"日期: 2021/6/11, 空调: AC_M_023 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.63,0.000,0.0
1.5,23.85,0.000,0.0
2.0,24.10,0.000,0.0
2.5,24.37,0.000,0.0
3.0,24.63,0.385,10.7
3.5,24.80,1.181,32.9
4.0,24.80,1.184,33.0
4.5,24.80,1.188,33.1
5.0,24.80,1.191,33.2
5.5,24.80,1.199,33.4
6.0,24.80,1.207,33.6
6.5,24.80,1.215,33.8
7.0,24.80,1.223,34.1
7.5,24.80,1.231,34.3
8.0,24.80,1.239,34.5
8.5,24.80,1.132,31.5
9.0,24.80,1.024,28.5
9.5,24.80,0.916,25.5
10.0,24.80,0.808,22.5
10.5,24.80,0.700,19.5
11.0,24.80,0.356,9.9
11.5,24.80,0.321,9.0
12.0,24.80,0.592,16.5
12.5,24.80,0.545,15.2
13.0,24.80,0.499,13.9
13.5,24.80,0.452,12.6
14.0,24.80,0.405,11.3
14.5,24.80,0.359,10.0
15.0,24.80,0.312,8.7
15.5,24.80,0.304,8.5
16.0,24.80,0.287,8.0
16.5,24.80,0.251,7.0
17.0,24.80,0.215,6.0
17.5,24.80,0.180,5.0
18.0,24.80,0.144,4.0
18.5,24.80,0.109,3.0
19.0,24.80,0.073,2.0
19.5,24.80,0.112,3.1
20.0,24.80,0.152,4.2
20.5,24.80,0.191,5.3
21.0,24.80,0.230,6.4
21.5,24.80,0.270,7.5
22.0,24.80,0.309,8.6
22.5,24.80,0.453,12.6
23.0,24.80,0.597,16.6
23.5,24.80,0.741,20.6
24.0,24.80,0.741,20.6

"日期: 2021/6/12, 空调: AC_M_023 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.61,0.000,0.0
1.5,23.67,0.000,0.0
2.0,23.74,0.000,0.0
2.5,23.81,0.000,0.0
3.0,23.90,0.000,0.0
3.5,24.00,0.000,0.0
4.0,24.10,0.000,0.0
4.5,24.23,0.000,0.0
5.0,24.36,0.000,0.0
5.5,24.50,0.000,0.0
6.0,24.64,0.000,0.0
6.5,24.77,0.460,12.8
7.0,24.80,0.591,16.5
7.5,24.80,0.585,16.3
8.0,24.80,0.579,16.1
8.5,24.80,0.482,13.4
9.0,24.80,0.384,10.7
9.5,24.80,0.287,8.0
10.0,24.80,0.190,5.3
