AC_S_004 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_004 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.78,0.000,0.0
2.0,24.04,0.000,0.0
2.5,24.31,0.000,0.0
3.0,24.57,0.335,11.1
3.5,24.70,0.646,21.4
4.0,24.70,0.674,22.3
4.5,24.70,0.701,23.2
5.0,24.70,0.729,24.1
5.5,24.70,0.635,21.0
6.0,24.70,0.542,17.9
6.5,24.70,0.449,14.9
7.0,24.70,0.355,11.8
7.5,24.70,0.262,8.7
8.0,24.70,0.169,5.6
8.5,24.70,0.120,4.0
9.0,24.70,0.070,2.3
9.5,24.70,0.021,0.7
10.0,24.70,0.000,0.0
10.5,24.69,0.000,0.0
11.0,24.66,0.000,0.0
11.5,24.65,0.000,0.0
12.0,24.65,0.000,0.0
12.5,24.60,0.000,0.0
13.0,24.55,0.000,0.0
13.5,24.50,0.000,0.0
14.0,24.44,0.000,0.0
14.5,24.39,0.000,0.0
15.0,24.33,0.000,0.0
15.5,24.28,0.000,0.0
16.0,24.24,0.000,0.0
16.5,24.26,0.000,0.0
17.0,24.30,0.000,0.0
17.5,24.35,0.000,0.0
18.0,24.42,0.000,0.0
18.5,24.49,0.000,0.0
19.0,24.57,0.000,0.0
19.5,24.67,0.114,3.8
20.0,24.70,0.168,5.6
20.5,24.70,0.148,4.9
21.0,24.70,0.127,4.2
21.5,24.70,0.107,3.5
22.0,24.70,0.087,2.9
22.5,24.70,0.166,5.5
23.0,24.70,0.246,8.1
23.5,24.70,0.325,10.8
24.0,24.70,0.325,10.8

"日期: 2021/6/10, 空调: AC_S_004 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.67,0.000,0.0
1.5,23.93,0.000,0.0
2.0,24.19,0.000,0.0
2.5,24.46,0.100,3.3
3.0,24.70,0.739,24.5
3.5,24.70,0.826,27.3
4.0,24.70,0.912,30.2
4.5,24.70,0.998,33.0
5.0,24.70,1.084,35.9
5.5,24.70,1.072,35.5
6.0,24.70,1.059,35.1
6.5,24.70,1.047,34.7
7.0,24.70,1.034,34.2
7.5,24.70,1.022,33.8
8.0,24.70,1.009,33.4
8.5,24.70,0.922,30.5
9.0,24.70,0.834,27.6
9.5,24.70,0.747,24.7
