AC_M_015 多天功率矩阵
"空调参数: P_rated=4.54kW, T_range=[20.2, 24.7]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.000,0.000,0.310,0.831,0.865,0.899,0.784,0.669,0.554,0.439,0.323,0.208,0.147,0.087,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.207,0.182,0.157,0.132,0.107,0.205,0.303,0.401,0.401
2021/6/10,success,0.000,0.000,0.000,0.000,0.000,0.131,1.019,1.125,1.232,1.338,1.323,1.307,1.292,1.276,1.261,1.245,1.137,1.029,0.921,0.813,0.705,0.314,0.312,0.597,0.579,0.560,0.542,0.523,0.505,0.486,0.453,0.310,0.302,0.294,0.286,0.278,0.270,0.262,0.285,0.308,0.332,0.355,0.378,0.401,0.451,0.501,0.551,0.551
2021/6/11,success,0.000,0.000,0.000,0.000,0.523,1.136,1.139,1.142,1.144,1.147,1.155,1.163,1.171,1.178,1.186,1.194,1.091,0.989,0.886,0.784,0.681,0.354,0.321,0.579,0.534,0.490,0.446,0.401,0.357,0.312,0.304,0.288,0.255,0.221,0.187,0.153,0.119,0.085,0.123,0.160,0.198,0.235,0.272,0.310,0.446,0.583,0.720,0.720
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.491,0.589,0.583,0.577,0.572,0.566,0.474,0.381,0.289,0.196,0.104,0.280,0.272,0.012,0.057,0.102,0.148,0.193,0.239,0.284,0.247,0.264,0.228,0.193,0.157,0.121,0.085,0.049,0.053,0.058,0.062,0.066,0.070,0.075,0.091,0.107,0.122,0.122
2021/6/13,success,0.000,0.000,0.000,0.000,0.000,0.000,0.753,0.789,0.798,0.807,0.790,0.773,0.756,0.739,0.721,0.704,0.686,0.668,0.650,0.632,0.614,0.136,0.099,0.596,0.562,0.528,0.494,0.460,0.426,0.393,0.425,0.061,0.079,0.096,0.113,0.130,0.147,0.165,0.214,0.263,0.312,0.362,0.411,0.460,0.509,0.558,0.606,0.606
2021/6/14,success,0.000,0.000,0.000,0.000,0.000,0.684,0.884,0.898,0.912,0.927,0.916,0.906,0.895,0.885,0.874,0.863,0.793,0.723,0.653,0.583,0.513,0.522,0.554,0.443,0.445,0.447,0.450,0.452,0.454,0.456,0.438,0.587,0.558,0.530,0.502,0.474,0.446,0.418,0.453,0.489,0.525,0.561,0.596,0.632,0.667,0.701,0.736,0.736
2021/6/15,success,0.000,0.000,0.000,0.000,0.000,0.000,0.625,0.653,0.639,0.625,0.690,0.755,0.821,0.886,0.951,1.017,0.953,0.889,0.825,0.761,0.697,0.384,0.366,0.633,0.627,0.620,0.614,0.608,0.602,0.596,0.590,0.348,0.363,0.378,0.393,0.408,0.423,0.438,0.462,0.487,0.511,0.535,0.560,0.584,0.605,0.625,0.646,0.646
2021/6/16,success,0.000,0.000,0.000,0.000,0.526,1.040,1.064,1.088,1.112,1.136,1.145,1.155,1.164,1.174,1.183,1.193,1.131,1.069,1.007,0.945,0.884,0.572,0.566,0.822,0.800,0.777,0.755,0.733,0.711,0.689,0.658,0.560,0.569,0.577,0.586,0.594,0.603,0.612,0.665,0.719,0.773,0.826,0.880,0.934,0.943,0.953,0.963,0.963
2021/6/17,success,0.000,0.000,0.000,0.000,0.079,1.067,1.182,1.297,1.412,1.528,1.465,1.402,1.339,1.277,1.214,1.151,1.085,1.018,0.952,0.885,0.819,0.565,0.534,0.752,0.732,0.711,0.690,0.670,0.649,0.628,0.619,0.503,0.524,0.545,0.565,0.586,0.607,0.628,0.663,0.699,0.735,0.771,0.806,0.842,0.841,0.840,0.839,0.839
2021/6/18,success,0.000,0.000,0.000,0.383,1.360,1.360,1.359,1.358,1.357,1.357,1.296,1.234,1.173,1.112,1.051,0.990,0.957,0.925,0.892,0.859,0.827,0.590,0.580,0.794,0.796,0.798,0.799,0.801,0.803,0.805,0.804,0.571,0.568,0.565,0.562,0.559,0.556,0.553,0.611,0.669,0.727,0.785,0.844,0.902,0.978,1.055,1.131,1.131
2021/6/19,success,0.000,0.000,0.000,0.486,1.414,1.487,1.560,1.632,1.705,1.778,1.676,1.574,1.472,1.371,1.269,1.167,1.120,1.072,1.025,0.978,0.930,0.801,0.800,0.883,0.846,0.808,0.771,0.734,0.696,0.659,0.643,0.799,0.759,0.718,0.677,0.637,0.596,0.555,0.603,0.650,0.698,0.745,0.793,0.840,0.924,1.007,1.091,1.091
2021/6/2,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.155,0.636,0.649,0.664,0.680,0.695,0.710,0.725,0.741,0.749,0.758,0.766,0.774,0.783,0.000,0.000,0.643,0.746,0.701,0.657,0.612,0.567,0.522,0.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.293,0.362,0.362
2021/6/20,success,0.000,0.000,0.000,0.076,1.310,1.389,1.467,1.546,1.625,1.704,1.616,1.528,1.439,1.351,1.263,1.175,1.144,1.114,1.083,1.053,1.022,0.596,0.581,0.992,0.978,0.965,0.951,0.938,0.924,0.911,0.882,0.565,0.588,0.611,0.634,0.657,0.680,0.702,0.734,0.765,0.797,0.828,0.860,0.891,0.948,1.004,1.061,1.061
2021/6/21,success,0.000,0.000,0.000,0.634,1.387,1.371,1.355,1.339,1.324,1.308,1.171,1.035,0.898,0.762,0.625,0.489,0.524,0.560,0.596,0.632,0.667,0.795,0.766,0.703,0.698,0.693,0.687,0.682,0.677,0.671,0.662,0.737,0.750,0.763,0.776,0.789,0.802,0.815,0.813,0.811,0.808,0.806,0.804,0.801,0.901,1.002,1.102,1.102
2021/6/22,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.555,0.567,0.580,0.593,0.496,0.399,0.303,0.206,0.109,0.634,0.624,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.550,0.617,0.618,0.619,0.620,0.621,0.510,0.399,0.288,0.176,0.065,0.000,0.000,0.000,0.000,0.000
2021/6/23,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.345,0.280,0.216,0.152,0.088,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.173,0.238,0.262,0.310,0.358,0.407,0.407
2021/6/24,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.068,0.031,0.000,0.000,0.000,0.013,0.072,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/25,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.377,0.714,0.654,0.594,0.534,0.474,0.413,0.353,0.346,0.339,0.332,0.324,0.317,0.000,0.000,0.072,0.308,0.307,0.305,0.304,0.302,0.301,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.064,0.149,0.141,0.133,0.125,0.117,0.109,0.163,0.218,0.272,0.272
2021/6/26,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.414,0.635,0.655,0.658,0.661,0.663,0.666,0.669,0.671,0.656,0.640,0.624,0.609,0.593,0.357,0.371,0.578,0.545,0.512,0.479,0.446,0.413,0.380,0.388,0.385,0.353,0.322,0.291,0.259,0.228,0.197,0.212,0.228,0.243,0.259,0.275,0.290,0.331,0.372,0.412,0.412
2021/6/27,success,0.000,0.000,0.000,0.000,0.457,0.901,0.808,0.714,0.621,0.527,0.541,0.555,0.569,0.583,0.597,0.612,0.599,0.587,0.575,0.562,0.550,0.412,0.420,0.538,0.558,0.579,0.600,0.621,0.642,0.662,0.663,0.428,0.470,0.512,0.553,0.595,0.637,0.678,0.674,0.669,0.665,0.661,0.656,0.652,0.724,0.797,0.870,0.870
2021/6/28,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.463,0.473,0.473,0.472,0.472,0.472,0.472,0.663,0.664,0.472,0.492,0.513,0.534,0.554,0.575,0.596,0.592,0.664,0.585,0.506,0.427,0.348,0.269,0.191,0.135,0.080,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/29,success,0.000,0.000,0.000,0.000,0.000,0.180,0.464,0.357,0.251,0.144,0.241,0.337,0.434,0.531,0.627,0.724,0.682,0.641,0.600,0.559,0.517,0.580,0.576,0.476,0.498,0.520,0.542,0.563,0.585,0.607,0.594,0.572,0.582,0.593,0.603,0.613,0.623,0.633,0.638,0.644,0.649,0.655,0.660,0.666,0.685,0.705,0.725,0.725
