AC_M_027 多天功率矩阵
"空调参数: P_rated=4.59kW, T_range=[21.3, 25.9]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.907,0.863,0.695,0.527,0.359,0.191,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/10,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.315,1.516,1.671,1.649,1.626,1.604,1.581,1.559,1.536,1.378,1.221,1.063,0.906,0.748,0.177,0.174,0.591,0.564,0.537,0.510,0.483,0.456,0.428,0.380,0.171,0.160,0.148,0.136,0.125,0.113,0.101,0.135,0.169,0.203,0.237,0.271,0.305,0.378,0.450,0.523,0.523
2021/6/11,success,0.000,0.000,0.000,0.000,0.000,0.000,1.031,1.385,1.389,1.393,1.404,1.416,1.427,1.438,1.449,1.461,1.311,1.162,1.012,0.863,0.713,0.236,0.188,0.564,0.499,0.434,0.369,0.305,0.240,0.175,0.164,0.140,0.091,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.371,0.570,0.769,0.769
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.352,0.545,0.411,0.276,0.141,0.006,0.000,0.008,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/13,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.226,0.897,0.872,0.847,0.822,0.797,0.772,0.747,0.720,0.694,0.667,0.641,0.615,0.000,0.000,0.387,0.539,0.489,0.440,0.391,0.341,0.292,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.319,0.391,0.462,0.533,0.604,0.604
2021/6/14,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.457,1.050,1.071,1.056,1.040,1.025,1.010,0.994,0.979,0.877,0.775,0.673,0.570,0.468,0.481,0.528,0.366,0.369,0.372,0.375,0.378,0.381,0.384,0.358,0.575,0.534,0.493,0.452,0.411,0.370,0.328,0.381,0.433,0.485,0.537,0.589,0.641,0.692,0.743,0.793,0.793
2021/6/15,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.278,0.726,0.821,0.917,1.012,1.107,1.202,1.109,1.016,0.923,0.829,0.736,0.280,0.253,0.643,0.634,0.625,0.615,0.606,0.597,0.588,0.580,0.227,0.249,0.271,0.293,0.315,0.337,0.358,0.394,0.429,0.465,0.500,0.536,0.571,0.601,0.631,0.662,0.662
2021/6/16,success,0.000,0.000,0.000,0.000,0.000,0.000,0.775,1.306,1.341,1.376,1.390,1.404,1.418,1.432,1.446,1.459,1.369,1.279,1.189,1.098,1.008,0.554,0.545,0.918,0.886,0.853,0.821,0.789,0.757,0.725,0.679,0.536,0.549,0.561,0.574,0.586,0.599,0.612,0.690,0.768,0.847,0.925,1.003,1.082,1.096,1.110,1.124,1.124
2021/6/17,success,0.000,0.000,0.000,0.000,0.000,0.000,0.430,1.612,1.780,1.948,1.856,1.765,1.673,1.581,1.490,1.398,1.301,1.204,1.108,1.011,0.914,0.544,0.498,0.817,0.787,0.757,0.726,0.696,0.666,0.636,0.622,0.453,0.483,0.514,0.544,0.574,0.605,0.635,0.687,0.739,0.791,0.844,0.896,0.948,0.947,0.945,0.944,0.944
2021/6/18,success,0.000,0.000,0.000,0.000,0.000,1.536,1.702,1.700,1.699,1.698,1.609,1.520,1.431,1.342,1.253,1.163,1.116,1.068,1.021,0.973,0.925,0.580,0.566,0.878,0.880,0.883,0.886,0.888,0.891,0.893,0.892,0.552,0.547,0.543,0.539,0.535,0.530,0.526,0.611,0.696,0.780,0.865,0.950,1.035,1.146,1.258,1.370,1.370
2021/6/19,success,0.000,0.000,0.000,0.000,0.028,1.888,1.994,2.100,2.206,2.312,2.164,2.016,1.867,1.719,1.570,1.422,1.353,1.284,1.215,1.146,1.077,0.888,0.887,1.008,0.953,0.898,0.844,0.789,0.735,0.680,0.658,0.886,0.826,0.767,0.708,0.648,0.589,0.530,0.599,0.668,0.737,0.807,0.876,0.945,1.067,1.189,1.311,1.311
2021/6/2,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.515,0.733,0.755,0.778,0.800,0.812,0.824,0.837,0.849,0.861,0.000,0.000,0.155,0.808,0.743,0.677,0.612,0.546,0.480,0.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/20,success,0.000,0.000,0.000,0.000,0.000,1.121,1.860,1.975,2.090,2.205,2.076,1.948,1.819,1.691,1.562,1.433,1.389,1.344,1.300,1.255,1.211,0.589,0.567,1.166,1.146,1.127,1.107,1.087,1.068,1.048,1.006,0.544,0.577,0.611,0.644,0.677,0.711,0.744,0.790,0.836,0.882,0.927,0.973,1.019,1.102,1.185,1.267,1.267
2021/6/21,success,0.000,0.000,0.000,0.000,0.188,1.720,1.696,1.673,1.650,1.627,1.428,1.229,1.030,0.831,0.631,0.432,0.485,0.537,0.589,0.641,0.693,0.879,0.837,0.745,0.737,0.730,0.722,0.714,0.706,0.699,0.685,0.795,0.814,0.833,0.852,0.871,0.890,0.909,0.905,0.902,0.898,0.895,0.892,0.888,1.034,1.181,1.327,1.327
2021/6/22,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.279,0.302,0.161,0.020,0.000,0.530,0.630,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.623,0.624,0.626,0.464,0.301,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/23,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/24,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/25,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.498,0.410,0.323,0.235,0.224,0.214,0.203,0.193,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.161,0.158,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/26,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.683,0.687,0.691,0.695,0.699,0.676,0.653,0.630,0.608,0.585,0.240,0.260,0.562,0.514,0.466,0.418,0.370,0.322,0.274,0.286,0.280,0.235,0.189,0.143,0.098,0.052,0.006,0.029,0.052,0.075,0.097,0.120,0.143,0.202,0.261,0.321,0.321
2021/6/27,success,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.761,0.625,0.488,0.509,0.529,0.550,0.570,0.591,0.612,0.594,0.576,0.558,0.540,0.522,0.321,0.332,0.504,0.534,0.564,0.595,0.625,0.655,0.686,0.686,0.344,0.405,0.466,0.527,0.587,0.648,0.709,0.702,0.696,0.689,0.683,0.676,0.670,0.776,0.882,0.989,0.989
2021/6/28,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350,0.408,0.687,0.688,0.408,0.438,0.468,0.498,0.528,0.558,0.588,0.583,0.688,0.573,0.458,0.343,0.228,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/29,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.634,0.775,0.715,0.655,0.595,0.535,0.474,0.566,0.560,0.414,0.446,0.478,0.510,0.541,0.573,0.605,0.586,0.554,0.569,0.584,0.599,0.613,0.628,0.643,0.651,0.659,0.667,0.675,0.683,0.691,0.719,0.748,0.776,0.776
2021/6/3,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.478,1.385,1.511,1.485,1.459,1.433,1.407,1.380,1.354,1.265,1.176,1.087,0.998,0.910,0.467,0.463,0.821,0.787,0.754,0.720,0.686,0.653,0.619,0.614,0.460,0.439,0.419,0.398,0.377,0.357,0.336,0.418,0.500,0.582,0.663,0.745,0.827,0.815,0.802,0.789,0.789
2021/6/30,success,0.000,0.000,0.000,0.000,0.000,0.000,0.551,1.203,1.206,1.209,1.169,1.129,1.089,1.050,1.010,0.970,0.948,0.926,0.904,0.882,0.861,0.531,0.512,0.839,0.818,0.798,0.778,0.757,0.737,0.717,0.672,0.493,0.463,0.433,0.403,0.372,0.342,0.312,0.371,0.431,0.490,0.550,0.609,0.669,0.756,0.843,0.930,0.930
2021/6/4,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.544,0.500,0.456,0.412,0.369,0.325,0.390,0.456,0.522,0.588,0.654,0.719,0.657,0.595,0.533,0.533
2021/6/5,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.126,0.779,0.842,0.905,0.969,0.903,0.837,0.772,0.706,0.641,0.000,0.000,0.286,0.480,0.384,0.289,0.193,0.098,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
