AC_S_022 多天功率矩阵
"空调参数: P_rated=2.7kW, T_range=[21.1, 24.5]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.587,0.623,0.650,0.677,0.703,0.730,0.640,0.549,0.459,0.369,0.279,0.188,0.141,0.093,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.227,0.207,0.187,0.168,0.148,0.128,0.109,0.186,0.263,0.339,0.339
2021/6/10,success,0.000,0.000,0.000,0.322,0.657,0.740,0.824,0.907,0.990,1.074,1.062,1.050,1.037,1.025,1.013,1.001,0.917,0.832,0.747,0.663,0.578,0.271,0.270,0.493,0.479,0.464,0.450,0.435,0.421,0.406,0.380,0.268,0.262,0.255,0.249,0.243,0.237,0.230,0.248,0.267,0.285,0.303,0.322,0.340,0.379,0.418,0.457,0.457
2021/6/11,success,0.000,0.000,0.235,0.910,0.913,0.915,0.917,0.920,0.922,0.924,0.930,0.937,0.943,0.949,0.955,0.961,0.880,0.800,0.720,0.639,0.559,0.303,0.277,0.479,0.444,0.409,0.374,0.340,0.305,0.270,0.264,0.251,0.225,0.198,0.172,0.145,0.119,0.092,0.121,0.151,0.180,0.209,0.239,0.268,0.375,0.482,0.589,0.589
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.383,0.439,0.495,0.491,0.487,0.482,0.478,0.473,0.469,0.396,0.324,0.252,0.179,0.107,0.245,0.239,0.034,0.070,0.105,0.141,0.177,0.212,0.248,0.219,0.232,0.204,0.176,0.148,0.120,0.092,0.063,0.067,0.070,0.074,0.077,0.080,0.084,0.096,0.109,0.121,0.121
2021/6/13,success,0.000,0.000,0.000,0.349,0.622,0.629,0.636,0.643,0.651,0.658,0.644,0.631,0.617,0.604,0.590,0.577,0.563,0.549,0.534,0.520,0.506,0.131,0.102,0.492,0.465,0.439,0.412,0.386,0.359,0.333,0.358,0.073,0.087,0.100,0.114,0.127,0.141,0.154,0.193,0.231,0.270,0.309,0.347,0.386,0.424,0.462,0.500,0.500
2021/6/14,success,0.000,0.000,0.096,0.684,0.695,0.706,0.718,0.729,0.740,0.751,0.743,0.735,0.727,0.718,0.710,0.702,0.647,0.592,0.537,0.482,0.427,0.434,0.460,0.373,0.374,0.376,0.377,0.379,0.381,0.382,0.368,0.485,0.463,0.441,0.419,0.397,0.374,0.352,0.380,0.408,0.436,0.464,0.492,0.520,0.548,0.575,0.602,0.602
2021/6/15,success,0.000,0.000,0.000,0.455,0.569,0.558,0.547,0.537,0.526,0.515,0.566,0.617,0.668,0.720,0.771,0.822,0.772,0.722,0.672,0.621,0.571,0.326,0.312,0.521,0.516,0.511,0.507,0.502,0.497,0.492,0.487,0.298,0.310,0.321,0.333,0.345,0.357,0.368,0.387,0.407,0.426,0.445,0.464,0.483,0.499,0.515,0.531,0.531
2021/6/16,success,0.000,0.000,0.441,0.802,0.821,0.840,0.859,0.878,0.897,0.915,0.923,0.930,0.938,0.945,0.953,0.960,0.912,0.863,0.815,0.766,0.718,0.473,0.469,0.669,0.652,0.634,0.617,0.600,0.582,0.565,0.541,0.464,0.471,0.477,0.484,0.491,0.498,0.504,0.547,0.589,0.631,0.673,0.715,0.757,0.765,0.772,0.780,0.780
2021/6/17,success,0.000,0.000,0.243,0.681,0.771,0.861,0.952,1.042,1.132,1.222,1.173,1.124,1.075,1.026,0.976,0.927,0.875,0.823,0.771,0.719,0.667,0.468,0.444,0.615,0.598,0.582,0.566,0.550,0.534,0.518,0.510,0.419,0.436,0.452,0.468,0.484,0.501,0.517,0.545,0.573,0.601,0.629,0.657,0.685,0.684,0.684,0.683,0.683
2021/6/18,success,0.000,0.000,0.865,1.092,1.091,1.091,1.090,1.090,1.089,1.088,1.040,0.993,0.945,0.897,0.849,0.801,0.775,0.750,0.724,0.699,0.673,0.487,0.480,0.647,0.649,0.650,0.652,0.653,0.654,0.656,0.655,0.472,0.470,0.468,0.465,0.463,0.461,0.458,0.504,0.550,0.595,0.641,0.686,0.732,0.792,0.852,0.912,0.912
