AC_S_020 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_020 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.58,0.000,0.0
1.5,23.92,0.000,0.0
2.0,24.29,0.000,0.0
2.5,24.67,0.000,0.0
3.0,25.04,0.189,7.2
3.5,25.30,0.676,25.8
4.0,25.30,0.709,27.1
4.5,25.30,0.742,28.3
5.0,25.30,0.775,29.6
5.5,25.30,0.663,25.3
6.0,25.30,0.552,21.1
6.5,25.30,0.441,16.8
7.0,25.30,0.330,12.6
7.5,25.30,0.219,8.4
8.0,25.30,0.108,4.1
8.5,25.30,0.050,1.9
9.0,25.30,0.000,0.0
9.5,25.30,0.000,0.0
10.0,25.26,0.000,0.0
10.5,25.20,0.000,0.0
11.0,25.11,0.000,0.0
11.5,25.07,0.000,0.0
12.0,25.03,0.000,0.0
12.5,24.93,0.000,0.0
13.0,24.82,0.000,0.0
13.5,24.72,0.000,0.0
14.0,24.62,0.000,0.0
14.5,24.53,0.000,0.0
15.0,24.44,0.000,0.0
15.5,24.34,0.000,0.0
16.0,24.28,0.000,0.0
16.5,24.31,0.000,0.0
17.0,24.37,0.000,0.0
17.5,24.44,0.000,0.0
18.0,24.52,0.000,0.0
18.5,24.63,0.000,0.0
19.0,24.74,0.000,0.0
19.5,24.87,0.000,0.0
20.0,24.97,0.000,0.0
20.5,25.05,0.000,0.0
21.0,25.12,0.000,0.0
21.5,25.16,0.000,0.0
22.0,25.19,0.000,0.0
22.5,25.21,0.000,0.0
23.0,25.27,0.143,5.4
23.5,25.30,0.294,11.2
24.0,25.30,0.294,11.2

"日期: 2021/6/10, 空调: AC_S_020 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.76,0.000,0.0
1.5,24.14,0.000,0.0
2.0,24.51,0.000,0.0
2.5,24.88,0.000,0.0
3.0,25.27,0.734,28.0
3.5,25.30,0.890,34.0
4.0,25.30,0.993,37.9
4.5,25.30,1.095,41.8
5.0,25.30,1.198,45.7
5.5,25.30,1.183,45.2
6.0,25.30,1.168,44.6
6.5,25.30,1.153,44.0
7.0,25.30,1.138,43.4
7.5,25.30,1.123,42.9
8.0,25.30,1.109,42.3
8.5,25.30,1.004,38.3
9.0,25.30,0.900,34.4
9.5,25.30,0.796,30.4
10.0,25.30,0.692,26.4
10.5,25.30,0.588,22.4
11.0,25.30,0.210,8.0
11.5,25.30,0.208,7.9
12.0,25.30,0.483,18.5
12.5,25.30,0.466,17.8
13.0,25.30,0.448,17.1
13.5,25.30,0.430,16.4
14.0,25.30,0.412,15.7
14.5,25.30,0.394,15.0
15.0,25.30,0.376,14.4
15.5,25.30,0.344,13.1
16.0,25.30,0.206,7.9
16.5,25.30,0.198,7.6
17.0,25.30,0.191,7.3
17.5,25.30,0.183,7.0
18.0,25.30,0.175,6.7
18.5,25.30,0.167,6.4
19.0,25.30,0.160,6.1
19.5,25.30,0.182,7.0
20.0,25.30,0.205,7.8
20.5,25.30,0.227,8.7
21.0,25.30,0.250,9.5
21.5,25.30,0.272,10.4
22.0,25.30,0.295,11.2
22.5,25.30,0.342,13.1
23.0,25.30,0.390,14.9
23.5,25.30,0.438,16.7
24.0,25.30,0.438,16.7

"日期: 2021/6/11, 空调: AC_S_020 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.79,0.000,0.0
1.5,24.30,0.000,0.0
2.0,24.83,0.173,6.6
2.5,25.30,1.000,38.2
3.0,25.30,1.003,38.3
3.5,25.30,1.006,38.4
4.0,25.30,1.008,38.5
4.5,25.30,1.011,38.6
5.0,25.30,1.014,38.7
5.5,25.30,1.022,39.0
6.0,25.30,1.029,39.3
6.5,25.30,1.036,39.6
7.0,25.30,1.044,39.8
7.5,25.30,1.051,40.1
8.0,25.30,1.059,40.4
8.5,25.30,0.960,36.6
9.0,25.30,0.861,32.9
9.5,25.30,0.762,29.1
10.0,25.30,0.663,25.3
10.5,25.30,0.564,21.5
11.0,25.30,0.249,9.5
11.5,25.30,0.217,8.3
12.0,25.30,0.465,17.8
12.5,25.30,0.423,16.1
13.0,25.30,0.380,14.5
13.5,25.30,0.337,12.9
14.0,25.30,0.294,11.2
14.5,25.30,0.251,9.6
15.0,25.30,0.209,8.0
15.5,25.30,0.201,7.7
16.0,25.30,0.185,7.1
16.5,25.30,0.153,5.8
17.0,25.30,0.120,4.6
17.5,25.30,0.088,3.3
18.0,25.30,0.055,2.1
18.5,25.30,0.022,0.9
19.0,25.30,0.000,0.0
19.5,25.29,0.016,0.6
20.0,25.30,0.062,2.4
20.5,25.30,0.098,3.7
21.0,25.30,0.134,5.1
21.5,25.30,0.170,6.5
22.0,25.30,0.206,7.9
22.5,25.30,0.338,12.9
23.0,25.30,0.470,17.9
23.5,25.30,0.602,23.0
24.0,25.30,0.602,23.0

"日期: 2021/6/12, 空调: AC_S_020 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.74,0.000,0.0
1.5,23.89,0.000,0.0
2.0,24.03,0.000,0.0
2.5,24.17,0.000,0.0
3.0,24.34,0.000,0.0
3.5,24.52,0.000,0.0
4.0,24.73,0.000,0.0
4.5,24.96,0.000,0.0
5.0,25.21,0.321,12.3
5.5,25.30,0.481,18.3
6.0,25.30,0.475,18.1
6.5,25.30,0.470,17.9
7.0,25.30,0.464,17.7
7.5,25.30,0.459,17.5
8.0,25.30,0.453,17.3
8.5,25.30,0.364,13.9
9.0,25.30,0.275,10.5
9.5,25.30,0.186,7.1
10.0,25.30,0.097,3.7
10.5,25.30,0.008,0.3
11.0,25.30,0.178,6.8
11.5,25.30,0.170,6.5
12.0,25.30,0.000,0.0
12.5,25.26,0.000,0.0
13.0,25.24,0.000,0.0
13.5,25.25,0.000,0.0
14.0,25.28,0.057,2.2
14.5,25.30,0.137,5.2
15.0,25.30,0.181,6.9
15.5,25.30,0.145,5.5
16.0,25.30,0.162,6.2
16.5,25.30,0.128,4.9
17.0,25.30,0.093,3.6
17.5,25.30,0.058,2.2
18.0,25.30,0.024,0.9
18.5,25.30,0.000,0.0
19.0,25.29,0.000,0.0
19.5,25.27,0.000,0.0
20.0,25.25,0.000,0.0
20.5,25.24,0.000,0.0
21.0,25.22,0.000,0.0
21.5,25.22,0.000,0.0
22.0,25.21,0.000,0.0
22.5,25.21,0.000,0.0
23.0,25.21,0.000,0.0
23.5,25.22,0.000,0.0
24.0,25.24,0.000,0.0

"日期: 2021/6/13, 空调: AC_S_020 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.68,0.000,0.0
1.5,24.10,0.000,0.0
2.0,24.50,0.000,0.0
2.5,24.90,0.000,0.0
3.0,25.26,0.588,22.4
3.5,25.30,0.659,25.2
4.0,25.30,0.668,25.5
4.5,25.30,0.677,25.8
5.0,25.30,0.686,26.2
5.5,25.30,0.669,25.6
6.0,25.30,0.653,24.9
6.5,25.30,0.636,24.3
7.0,25.30,0.620,23.7
7.5,25.30,0.603,23.0
8.0,25.30,0.586,22.4
8.5,25.30,0.569,21.7
9.0,25.30,0.552,21.1
9.5,25.30,0.534,20.4
10.0,25.30,0.517,19.7
10.5,25.30,0.499,19.1
11.0,25.30,0.038,1.5
11.5,25.30,0.002,0.1
12.0,25.30,0.482,18.4
12.5,25.30,0.449,17.1
13.0,25.30,0.416,15.9
13.5,25.30,0.384,14.7
14.0,25.30,0.351,13.4
14.5,25.30,0.319,12.2
15.0,25.30,0.286,10.9
15.5,25.30,0.317,12.1
16.0,25.30,0.000,0.0
16.5,25.28,0.000,0.0
17.0,25.28,0.000,0.0
17.5,25.28,0.000,0.0
18.0,25.29,0.011,0.4
18.5,25.30,0.050,1.9
19.0,25.30,0.066,2.5
19.5,25.30,0.114,4.3
20.0,25.30,0.161,6.2
20.5,25.30,0.209,8.0
21.0,25.30,0.256,9.8
21.5,25.30,0.304,11.6
22.0,25.30,0.351,13.4
22.5,25.30,0.398,15.2
23.0,25.30,0.445,17.0
23.5,25.30,0.492,18.8
24.0,25.30,0.492,18.8

"日期: 2021/6/14, 空调: AC_S_020 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.84,0.000,0.0
1.5,24.30,0.000,0.0
2.0,24.74,0.000,0.0
2.5,25.16,0.488,18.6
3.0,25.30,0.746,28.5
3.5,25.30,0.760,29.0
