AC_L_010 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_L_010 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.51,0.000,0.0
1.5,23.55,0.000,0.0
2.0,23.59,0.000,0.0
2.5,23.64,0.000,0.0
3.0,23.69,0.000,0.0
3.5,23.74,0.000,0.0
4.0,23.80,0.000,0.0
4.5,23.85,0.000,0.0
5.0,23.91,0.000,0.0
5.5,23.97,0.000,0.0
6.0,24.02,0.000,0.0
6.5,24.06,0.000,0.0
7.0,24.10,0.201,1.0
7.5,24.10,0.158,0.8
8.0,24.10,0.115,0.6
8.5,24.10,0.092,0.5
9.0,24.10,0.069,0.4
9.5,24.10,0.046,0.2
10.0,24.10,0.023,0.1
10.5,24.10,0.000,0.0
11.0,24.10,0.028,0.1
11.5,24.10,0.033,0.2
12.0,24.10,0.000,0.0
12.5,24.10,0.000,0.0
13.0,24.09,0.000,0.0
13.5,24.09,0.000,0.0
14.0,24.08,0.000,0.0
14.5,24.08,0.000,0.0
15.0,24.07,0.000,0.0
15.5,24.06,0.000,0.0
16.0,24.06,0.000,0.0
16.5,24.06,0.000,0.0
17.0,24.07,0.000,0.0
17.5,24.08,0.000,0.0
18.0,24.10,0.078,0.4
18.5,24.10,0.117,0.6
19.0,24.10,0.133,0.7
19.5,24.10,0.124,0.6
20.0,24.10,0.114,0.6
20.5,24.10,0.105,0.5
21.0,24.10,0.095,0.5
21.5,24.10,0.086,0.4
22.0,24.10,0.077,0.4
22.5,24.10,0.114,0.6
23.0,24.10,0.150,0.8
23.5,24.10,0.187,1.0
24.0,24.10,0.187,1.0

"日期: 2021/6/10, 空调: AC_L_010 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.57,0.000,0.0
2.0,23.62,0.000,0.0
2.5,23.67,0.000,0.0
3.0,23.72,0.000,0.0
3.5,23.78,0.000,0.0
4.0,23.85,0.000,0.0
4.5,23.92,0.000,0.0
5.0,24.00,0.000,0.0
5.5,24.08,0.407,2.1
6.0,24.10,0.529,2.7
6.5,24.10,0.523,2.7
7.0,24.10,0.517,2.7
7.5,24.10,0.512,2.6
8.0,24.10,0.506,2.6
8.5,24.10,0.465,2.4
9.0,24.10,0.424,2.2
9.5,24.10,0.384,2.0
10.0,24.10,0.343,1.8
10.5,24.10,0.302,1.6
11.0,24.10,0.155,0.8
11.5,24.10,0.154,0.8
12.0,24.10,0.261,1.3
12.5,24.10,0.254,1.3
13.0,24.10,0.247,1.3
13.5,24.10,0.241,1.2
14.0,24.10,0.234,1.2
14.5,24.10,0.227,1.2
15.0,24.10,0.220,1.1
15.5,24.10,0.207,1.1
16.0,24.10,0.153,0.8
16.5,24.10,0.150,0.8
17.0,24.10,0.147,0.8
17.5,24.10,0.144,0.7
18.0,24.10,0.141,0.7
18.5,24.10,0.138,0.7
19.0,24.10,0.135,0.7
19.5,24.10,0.144,0.7
20.0,24.10,0.153,0.8
20.5,24.10,0.161,0.8
21.0,24.10,0.170,0.9
21.5,24.10,0.179,0.9
22.0,24.10,0.188,1.0
22.5,24.10,0.206,1.1
23.0,24.10,0.225,1.2
23.5,24.10,0.244,1.3
24.0,24.10,0.244,1.3

"日期: 2021/6/11, 空调: AC_L_010 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.59,0.000,0.0
2.0,23.66,0.000,0.0
2.5,23.73,0.000,0.0
3.0,23.80,0.000,0.0
3.5,23.88,0.000,0.0
4.0,23.95,0.000,0.0
4.5,24.02,0.000,0.0
5.0,24.09,0.405,2.1
5.5,24.10,0.472,2.4
6.0,24.10,0.475,2.4
6.5,24.10,0.478,2.5
7.0,24.10,0.481,2.5
7.5,24.10,0.483,2.5
8.0,24.10,0.486,2.5
8.5,24.10,0.448,2.3
9.0,24.10,0.409,2.1
9.5,24.10,0.370,1.9
10.0,24.10,0.332,1.7
10.5,24.10,0.293,1.5
11.0,24.10,0.170,0.9
11.5,24.10,0.157,0.8
12.0,24.10,0.254,1.3
12.5,24.10,0.238,1.2
13.0,24.10,0.221,1.1
13.5,24.10,0.204,1.1
14.0,24.10,0.188,1.0
14.5,24.10,0.171,0.9
15.0,24.10,0.154,0.8
15.5,24.10,0.151,0.8
16.0,24.10,0.145,0.7
16.5,24.10,0.132,0.7
17.0,24.10,0.119,0.6
17.5,24.10,0.107,0.6
18.0,24.10,0.094,0.5
18.5,24.10,0.081,0.4
19.0,24.10,0.068,0.4
19.5,24.10,0.083,0.4
20.0,24.10,0.097,0.5
20.5,24.10,0.111,0.6
21.0,24.10,0.125,0.6
21.5,24.10,0.139,0.7
22.0,24.10,0.153,0.8
22.5,24.10,0.205,1.1
23.0,24.10,0.256,1.3
23.5,24.10,0.308,1.6
24.0,24.10,0.308,1.6

"日期: 2021/6/12, 空调: AC_L_010 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.55,0.000,0.0
2.0,23.56,0.000,0.0
2.5,23.58,0.000,0.0
3.0,23.61,0.000,0.0
3.5,23.64,0.000,0.0
4.0,23.67,0.000,0.0
4.5,23.70,0.000,0.0
5.0,23.74,0.000,0.0
5.5,23.78,0.000,0.0
6.0,23.83,0.000,0.0
6.5,23.87,0.000,0.0
7.0,23.91,0.000,0.0
7.5,23.95,0.000,0.0
8.0,23.99,0.000,0.0
8.5,24.03,0.000,0.0
9.0,24.06,0.000,0.0
9.5,24.09,0.048,0.2
10.0,24.10,0.110,0.6
10.5,24.10,0.075,0.4
11.0,24.10,0.142,0.7
11.5,24.10,0.139,0.7
12.0,24.10,0.041,0.2
12.5,24.10,0.058,0.3
13.0,24.10,0.075,0.4
13.5,24.10,0.092,0.5
14.0,24.10,0.109,0.6
14.5,24.10,0.126,0.7
15.0,24.10,0.143,0.7
15.5,24.10,0.129,0.7
16.0,24.10,0.136,0.7
16.5,24.10,0.122,0.6
17.0,24.10,0.109,0.6
17.5,24.10,0.095,0.5
18.0,24.10,0.082,0.4
18.5,24.10,0.068,0.4
19.0,24.10,0.055,0.3
19.5,24.10,0.056,0.3
20.0,24.10,0.058,0.3
20.5,24.10,0.060,0.3
21.0,24.10,0.061,0.3
21.5,24.10,0.063,0.3
22.0,24.10,0.064,0.3
22.5,24.10,0.070,0.4
23.0,24.10,0.076,0.4
23.5,24.10,0.082,0.4
24.0,24.10,0.082,0.4

"日期: 2021/6/13, 空调: AC_L_010 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.52,0.000,0.0
1.5,23.57,0.000,0.0
2.0,23.62,0.000,0.0
2.5,23.67,0.000,0.0
3.0,23.72,0.000,0.0
3.5,23.78,0.000,0.0
4.0,23.83,0.000,0.0
4.5,23.88,0.000,0.0
5.0,23.93,0.000,0.0
5.5,23.99,0.000,0.0
6.0,24.04,0.000,0.0
6.5,24.09,0.231,1.2
7.0,24.10,0.315,1.6
7.5,24.10,0.308,1.6
8.0,24.10,0.302,1.6
8.5,24.10,0.295,1.5
9.0,24.10,0.288,1.5
9.5,24.10,0.281,1.5
10.0,24.10,0.274,1.4
10.5,24.10,0.268,1.4
11.0,24.10,0.087,0.5
11.5,24.10,0.073,0.4
12.0,24.10,0.261,1.3
12.5,24.10,0.248,1.3
13.0,24.10,0.235,1.2
13.5,24.10,0.223,1.1
14.0,24.10,0.210,1.1
14.5,24.10,0.197,1.0
15.0,24.10,0.184,1.0
15.5,24.10,0.196,1.0
16.0,24.10,0.059,0.3
16.5,24.10,0.066,0.3
17.0,24.10,0.072,0.4
17.5,24.10,0.079,0.4
18.0,24.10,0.085,0.4
18.5,24.10,0.092,0.5
19.0,24.10,0.098,0.5
19.5,24.10,0.117,0.6
20.0,24.10,0.135,0.7
20.5,24.10,0.154,0.8
21.0,24.10,0.173,0.9
21.5,24.10,0.191,1.0
22.0,24.10,0.210,1.1
22.5,24.10,0.228,1.2
