AC_L_008 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_L_008 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.51,0.000,0.0
1.5,23.57,0.000,0.0
2.0,23.63,0.000,0.0
2.5,23.71,0.000,0.0
3.0,23.78,0.000,0.0
3.5,23.85,0.000,0.0
4.0,23.93,0.000,0.0
4.5,24.01,0.000,0.0
5.0,24.09,0.000,0.0
5.5,24.17,0.000,0.0
6.0,24.25,0.000,0.0
6.5,24.31,0.000,0.0
7.0,24.36,0.000,0.0
7.5,24.40,0.000,0.0
8.0,24.43,0.000,0.0
8.5,24.45,0.000,0.0
9.0,24.47,0.000,0.0
9.5,24.48,0.000,0.0
10.0,24.48,0.000,0.0
10.5,24.48,0.000,0.0
11.0,24.48,0.000,0.0
11.5,24.48,0.000,0.0
12.0,24.48,0.000,0.0
12.5,24.47,0.000,0.0
13.0,24.46,0.000,0.0
13.5,24.45,0.000,0.0
14.0,24.43,0.000,0.0
14.5,24.42,0.000,0.0
15.0,24.41,0.000,0.0
15.5,24.39,0.000,0.0
16.0,24.38,0.000,0.0
16.5,24.39,0.000,0.0
17.0,24.39,0.000,0.0
17.5,24.41,0.000,0.0
18.0,24.42,0.000,0.0
18.5,24.44,0.000,0.0
19.0,24.46,0.000,0.0
19.5,24.48,0.000,0.0
20.0,24.51,0.000,0.0
20.5,24.53,0.000,0.0
21.0,24.54,0.000,0.0
21.5,24.56,0.000,0.0
22.0,24.57,0.000,0.0
22.5,24.58,0.000,0.0
23.0,24.60,0.000,0.0
23.5,24.63,0.000,0.0
24.0,24.66,0.000,0.0

"日期: 2021/6/10, 空调: AC_L_008 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.61,0.000,0.0
2.0,23.68,0.000,0.0
2.5,23.75,0.000,0.0
3.0,23.83,0.000,0.0
3.5,23.91,0.000,0.0
4.0,24.01,0.000,0.0
4.5,24.11,0.000,0.0
5.0,24.22,0.000,0.0
5.5,24.34,0.000,0.0
6.0,24.45,0.000,0.0
6.5,24.56,0.000,0.0
7.0,24.67,0.000,0.0
7.5,24.78,0.000,0.0
8.0,24.88,0.000,0.0
8.5,24.98,0.000,0.0
9.0,25.07,0.392,2.0
9.5,25.10,0.544,2.8
10.0,25.10,0.476,2.5
10.5,25.10,0.407,2.1
11.0,25.10,0.159,0.8
11.5,25.10,0.157,0.8
12.0,25.10,0.339,1.7
12.5,25.10,0.327,1.7
13.0,25.10,0.315,1.6
13.5,25.10,0.303,1.6
14.0,25.10,0.292,1.5
14.5,25.10,0.280,1.4
15.0,25.10,0.268,1.4
15.5,25.10,0.247,1.3
16.0,25.10,0.156,0.8
16.5,25.10,0.151,0.8
17.0,25.10,0.146,0.8
17.5,25.10,0.141,0.7
18.0,25.10,0.136,0.7
18.5,25.10,0.131,0.7
19.0,25.10,0.126,0.6
19.5,25.10,0.140,0.7
20.0,25.10,0.155,0.8
20.5,25.10,0.170,0.9
21.0,25.10,0.185,1.0
21.5,25.10,0.199,1.0
22.0,25.10,0.214,1.1
22.5,25.10,0.246,1.3
23.0,25.10,0.277,1.4
23.5,25.10,0.309,1.6
24.0,25.10,0.309,1.6

"日期: 2021/6/11, 空调: AC_L_008 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.63,0.000,0.0
2.0,23.73,0.000,0.0
2.5,23.84,0.000,0.0
3.0,23.94,0.000,0.0
3.5,24.05,0.000,0.0
4.0,24.15,0.000,0.0
4.5,24.25,0.000,0.0
5.0,24.35,0.000,0.0
5.5,24.45,0.000,0.0
6.0,24.55,0.000,0.0
6.5,24.65,0.000,0.0
7.0,24.74,0.000,0.0
7.5,24.84,0.000,0.0
8.0,24.94,0.000,0.0
8.5,25.03,0.146,0.8
9.0,25.10,0.587,3.0
9.5,25.10,0.522,2.7
10.0,25.10,0.457,2.4
10.5,25.10,0.392,2.0
11.0,25.10,0.184,1.0
11.5,25.10,0.163,0.8
12.0,25.10,0.327,1.7
12.5,25.10,0.299,1.5
13.0,25.10,0.270,1.4
13.5,25.10,0.242,1.2
14.0,25.10,0.214,1.1
14.5,25.10,0.186,1.0
15.0,25.10,0.158,0.8
15.5,25.10,0.153,0.8
16.0,25.10,0.142,0.7
16.5,25.10,0.121,0.6
17.0,25.10,0.099,0.5
17.5,25.10,0.078,0.4
18.0,25.10,0.057,0.3
18.5,25.10,0.035,0.2
19.0,25.10,0.014,0.1
19.5,25.10,0.037,0.2
20.0,25.10,0.061,0.3
20.5,25.10,0.085,0.4
21.0,25.10,0.109,0.6
21.5,25.10,0.132,0.7
22.0,25.10,0.156,0.8
22.5,25.10,0.243,1.3
23.0,25.10,0.330,1.7
23.5,25.10,0.416,2.1
24.0,25.10,0.416,2.1

"日期: 2021/6/12, 空调: AC_L_008 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.57,0.000,0.0
2.0,23.59,0.000,0.0
2.5,23.62,0.000,0.0
3.0,23.66,0.000,0.0
3.5,23.70,0.000,0.0
4.0,23.74,0.000,0.0
4.5,23.79,0.000,0.0
5.0,23.85,0.000,0.0
5.5,23.91,0.000,0.0
6.0,23.97,0.000,0.0
6.5,24.03,0.000,0.0
7.0,24.08,0.000,0.0
7.5,24.14,0.000,0.0
8.0,24.19,0.000,0.0
8.5,24.25,0.000,0.0
9.0,24.29,0.000,0.0
9.5,24.33,0.000,0.0
10.0,24.36,0.000,0.0
10.5,24.38,0.000,0.0
11.0,24.39,0.000,0.0
11.5,24.42,0.000,0.0
12.0,24.45,0.000,0.0
12.5,24.45,0.000,0.0
13.0,24.46,0.000,0.0
13.5,24.47,0.000,0.0
14.0,24.49,0.000,0.0
14.5,24.50,0.000,0.0
15.0,24.53,0.000,0.0
15.5,24.55,0.000,0.0
16.0,24.57,0.000,0.0
16.5,24.60,0.000,0.0
17.0,24.62,0.000,0.0
17.5,24.64,0.000,0.0
18.0,24.65,0.000,0.0
18.5,24.66,0.000,0.0
19.0,24.67,0.000,0.0
19.5,24.67,0.000,0.0
20.0,24.68,0.000,0.0
20.5,24.68,0.000,0.0
21.0,24.69,0.000,0.0
21.5,24.69,0.000,0.0
22.0,24.70,0.000,0.0
22.5,24.71,0.000,0.0
23.0,24.71,0.000,0.0
23.5,24.72,0.000,0.0
24.0,24.73,0.000,0.0

"日期: 2021/6/13, 空调: AC_L_008 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.60,0.000,0.0
2.0,23.67,0.000,0.0
2.5,23.75,0.000,0.0
3.0,23.82,0.000,0.0
3.5,23.90,0.000,0.0
4.0,23.97,0.000,0.0
4.5,24.05,0.000,0.0
5.0,24.12,0.000,0.0
5.5,24.20,0.000,0.0
6.0,24.27,0.000,0.0
6.5,24.34,0.000,0.0
7.0,24.41,0.000,0.0
7.5,24.47,0.000,0.0
8.0,24.53,0.000,0.0
8.5,24.60,0.000,0.0
9.0,24.65,0.000,0.0
9.5,24.71,0.000,0.0
10.0,24.76,0.000,0.0
10.5,24.81,0.000,0.0
11.0,24.86,0.000,0.0
11.5,24.87,0.000,0.0
12.0,24.88,0.000,0.0
12.5,24.93,0.000,0.0
13.0,24.97,0.000,0.0
13.5,25.01,0.000,0.0
14.0,25.05,0.000,0.0
14.5,25.08,0.070,0.4
15.0,25.10,0.209,1.1
15.5,25.10,0.229,1.2
16.0,25.10,0.000,0.0
16.5,25.10,0.008,0.0
17.0,25.10,0.020,0.1
17.5,25.10,0.031,0.2
18.0,25.10,0.042,0.2
18.5,25.10,0.053,0.3
19.0,25.10,0.064,0.3
19.5,25.10,0.095,0.5
20.0,25.10,0.126,0.7
20.5,25.10,0.158,0.8
21.0,25.10,0.189,1.0
21.5,25.10,0.220,1.1
22.0,25.10,0.252,1.3
22.5,25.10,0.282,1.5
