空调ID,空调类型,额定功率(kW),温度范围(°C),热阻R,热容C,效率,EER,状态,总能耗(kWh),平均功率(kW),最大功率(kW),最小功率(kW),最低温度(°C),最高温度(°C),最终温度(°C)
AC_S_046,small,2.64,"[21.1, 24.5]",2.0837,13663158.2,0.98,3.5,success,47.08,1.962,2.640,0.000,23.75,24.50,24.50
AC_M_029,medium,4.44,"[21.1, 25.2]",1.6330,26838503.6,0.98,3.5,success,43.13,1.797,3.572,0.000,23.66,25.20,25.20
AC_M_021,medium,4.04,"[21.3, 25.8]",1.7647,30948745.8,0.98,3.5,success,27.10,1.129,2.959,0.000,23.63,25.80,25.80
AC_S_041,small,3.34,"[20.2, 24.8]",2.3604,13547817.6,0.98,3.5,success,36.61,1.525,2.644,0.000,23.72,24.80,24.80
AC_S_028,small,3.38,"[22.0, 25.8]",2.4444,11757245.9,0.98,3.5,success,24.42,1.017,2.136,0.000,23.75,25.80,25.80
AC_S_008,small,3.39,"[20.7, 24.6]",2.0933,13226223.2,0.98,3.5,success,44.71,1.863,3.079,0.000,23.76,24.60,24.60
AC_M_019,medium,4.32,"[20.9, 24.5]",1.7251,30606014.9,0.98,3.5,success,52.44,2.185,3.796,0.000,23.64,24.50,24.50
AC_S_024,small,2.67,"[20.7, 24.4]",2.1876,13196659.8,0.98,3.5,success,45.73,1.905,2.670,0.000,23.75,24.40,24.40
AC_S_032,small,2.78,"[20.9, 25.5]",2.3660,11160424.1,0.98,3.5,success,28.97,1.207,2.336,0.000,23.77,25.50,25.50
AC_M_006,medium,4.03,"[21.2, 25.8]",1.2209,36907678.4,0.98,3.5,success,42.91,1.788,4.030,0.000,23.66,25.80,25.80
AC_S_039,small,3.16,"[21.0, 25.8]",2.3046,13484869.3,0.98,3.5,success,25.47,1.061,2.266,0.000,23.73,25.80,25.80
AC_M_020,medium,4.78,"[20.7, 24.4]",1.3409,34290558.2,0.98,3.5,success,71.25,2.969,4.780,0.000,23.66,24.40,24.40
AC_S_022,small,2.70,"[21.1, 24.5]",2.2751,11284787.9,0.98,3.5,success,42.71,1.780,2.700,0.000,23.78,24.50,24.50
AC_S_040,small,3.31,"[21.8, 24.4]",2.3209,12292352.0,0.98,3.5,success,42.84,1.785,2.865,0.000,23.75,24.40,24.40
AC_S_003,small,3.39,"[21.8, 25.2]",2.4564,11619811.6,0.98,3.5,success,30.92,1.288,2.375,0.000,23.75,25.20,25.20
AC_S_012,small,2.73,"[20.8, 25.6]",2.0436,12173719.0,0.98,3.5,success,32.54,1.356,2.655,0.000,23.78,25.60,25.60
AC_L_009,large,14.91,"[20.8, 25.6]",4.6316,48485285.5,0.98,3.5,success,0.00,0.000,0.000,0.000,23.53,25.18,25.18
AC_M_017,medium,3.82,"[21.6, 24.2]",1.5621,21342393.4,0.98,3.5,success,67.53,2.814,3.820,0.000,23.71,24.20,24.20
AC_S_004,small,3.02,"[21.8, 24.7]",2.2002,14691278.7,0.98,3.5,success,40.60,1.692,2.883,0.000,23.72,24.70,24.70
AC_S_057,small,3.06,"[20.7, 24.9]",2.1388,14060362.3,0.98,3.5,success,39.29,1.637,2.871,0.000,23.74,24.90,24.90
AC_S_011,small,2.98,"[20.4, 25.8]",1.9652,11774871.2,0.98,3.5,success,31.57,1.315,2.657,0.000,23.81,25.80,25.80
