空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_S_052,small,2021/6/1,success,4.4571884305,0.18571618460416664,0.76838672,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/10,success,12.7798504245,0.5324937676875,1.1368835,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/11,success,12.27628758,0.5115119825,1.0157953,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/12,success,4.497847139,0.18741029745833335,0.51724086,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/13,success,9.4025305775,0.39177210739583335,0.69139855,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/14,success,12.39137413,0.5163072554166667,0.79155791,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/15,success,11.8127879,0.49219949583333333,0.86705116,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/16,success,16.86753093,0.70281378875,1.0150478,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/17,success,16.748849395,0.6978687247916667,1.296092,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/18,success,17.87793644,0.7449140183333333,1.1563174,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/19,success,19.705469835,0.821061243125,1.5061277,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/2,success,7.4521643935,0.3105068497291667,0.67084346,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/20,success,19.900070795,0.8291696164583334,1.4440887,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/21,success,17.00023789,0.7083432454166667,1.1914479,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/22,success,5.1219166375,0.21341319322916666,0.54564426,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/23,success,2.3239015095,0.09682922956250001,0.38979929,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/24,success,0.6844273304,0.028517805433333335,0.16369328,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/25,success,5.02537856505,0.20939077354375,0.61291547,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/26,success,8.646507555,0.360271148125,0.5770375,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/27,success,12.3948022678,0.5164500944916667,0.92759525,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/28,success,6.050024473,0.25208435304166665,0.57105783,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/29,success,10.966571824999999,0.4569404927083333,0.62188497,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/3,success,14.767865365,0.6153277235416666,1.0449461,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/30,success,14.2839144865,0.5951631036041667,0.87078845,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/4,success,6.973396775,0.29055819895833335,0.58899682,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/5,success,6.4044844798,0.2668535199916667,0.73250874,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/6,success,10.254981926,0.4272909135833333,1.0711072,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/7,success,12.0057965355,0.5002415223125,1.2273259,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/8,success,11.521145805,0.480047741875,1.2176089,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/6/9,success,8.150419039500001,0.33960079331250004,0.82083335,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/1,success,15.7484006,0.6561833583333333,1.0509258,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/10,success,12.670766515,0.5279486047916667,0.98440205,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/11,success,11.786802475,0.4911167697916667,0.70310873,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/12,success,16.324063505,0.6801693127083334,1.1323987,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/13,success,17.579156455,0.7324648522916667,1.1249241,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/14,success,15.549196255,0.6478831772916667,1.2400326,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/15,success,17.13564279,0.7139851162499999,1.0950258,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/16,success,11.695710415,0.4873212672916667,0.7242867,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/17,success,10.49144415,0.43714350625,0.79392486,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/18,success,8.880841975,0.37003508229166665,0.84238505,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/19,success,2.37863130895,0.09910963787291667,0.27057976,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/2,success,17.409061145,0.7253775477083333,1.0800767,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/20,success,0.8072691385,0.033636214104166666,0.15123565,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/21,success,3.1467549683000002,0.13111479034583334,0.38942556,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/22,success,11.327112995,0.47196304145833334,0.92909016,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/23,success,17.40399891,0.72516662125,1.3895242,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/24,success,14.936774488,0.6223656036666666,1.092036,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/25,success,12.2021906485,0.5084246103541666,1.1174496,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/26,success,16.841966085,0.701748586875,1.1608021,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/27,success,18.07027986,0.7529283274999999,1.4082107,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/28,success,15.6670131,0.6527922125,1.1690241,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/29,success,13.12368602,0.5468202508333333,0.80079086,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/3,success,15.425431625,0.6427263177083333,0.93805966,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/30,success,9.941840985,0.41424337437500003,0.63459175,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/31,success,13.33342857,0.5555595237500001,0.98664442,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/4,success,15.498257324999999,0.645760721875,1.1114699,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/5,success,13.147630795,0.5478179497916666,1.0569055,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/6,success,13.158912645,0.548288026875,0.99785629,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/7,success,10.249107501000001,0.42704614587500006,0.73998332,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/8,success,14.5577795835,0.6065741493125,1.065875,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/7/9,success,14.745539299999999,0.6143974708333333,1.0845614,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/1,success,14.162098885,0.5900874535416667,1.1585597,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/10,success,9.0556324435,0.3773180184791667,0.60917818,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/11,success,11.4857837865,0.47857432443750003,0.82743589,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/12,success,11.936343065,0.49734762770833335,0.93282745,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/13,success,8.655370385,0.3606404327083333,0.54938155,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/14,success,7.661547505,0.31923114604166664,0.54041206,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/15,success,7.2586561915,0.30244400797916665,0.74446806,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/16,success,9.658754085,0.402448086875,0.9036766,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/17,success,12.668550225,0.527856259375,0.98664442,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/18,success,11.61856087,0.48410670291666663,1.0098156,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/19,success,9.099555545,0.3791481477083333,0.69301805,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/2,success,13.723285535,0.5718035639583333,0.87303082,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/20,success,12.3521419,0.5146725791666666,0.95674611,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/21,success,13.39764321,0.55823513375,0.96646306,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/22,success,14.686597355,0.6119415564583334,1.0449461,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/23,success,15.57074583,0.64878107625,1.2273259,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/24,success,13.85567758,0.5773198991666667,0.80276978,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/25,success,13.73077159,0.5721154829166667,0.94702915,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/26,success,13.160614565,0.5483589402083333,0.90666643,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/27,success,1.990637115,0.082943213125,0.46716118,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/28,success,4.51962118,0.18831754916666665,0.70260039,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/29,success,7.4408623,0.31003592916666667,0.76016468,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/3,success,8.9653428591,0.3735559524625,0.56719597,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/30,success,10.636162670000001,0.44317344458333335,1.2295682,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/31,success,5.3953578875,0.22480657864583334,0.56009512,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/4,success,9.359346835,0.3899727847916667,0.79155791,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/5,success,8.01892189,0.33412174541666667,0.50976628,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/6,success,9.42866142,0.39286089249999995,0.8947071,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/7,success,12.89729069,0.5373871120833333,0.93095881,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/8,success,10.04894517,0.41870604875,0.89844439,2.94,"[21.4, 24.6]"
AC_S_052,small,2021/8/9,success,10.383023015000001,0.4326259589583334,1.0068258,2.94,"[21.4, 24.6]"
