空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_S_026,small,2021/6/1,success,3.28209815985,0.13675408999375,0.68351052,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/10,success,10.877373105,0.453223879375,1.0231987,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/11,success,10.393019969,0.4330424987083333,0.91157703,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/12,success,3.303776891,0.13765737045833334,0.44763508,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/13,success,7.7630225325,0.3234592721875,0.61254118,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/14,success,10.507103595,0.437795983125,0.70487022,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/15,success,9.982365155,0.4159318814583333,0.77446151,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/16,success,14.623845725,0.6093269052083333,0.91088801,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/17,success,14.521615425,0.605067309375,1.1699605,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/18,success,15.54461534,0.6476923058333334,1.0405391,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/19,success,17.22781479,0.71782561625,1.3635759,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/2,success,6.03153686,0.25131403583333334,0.59359305,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/20,success,17.41234983,0.72551457625,1.306387,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/21,success,14.732380915,0.6138492047916667,1.0612098,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/22,success,3.98173004,0.16590541833333333,0.47818175,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/23,success,1.39138009965,0.057974170818750004,0.30248096,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/24,success,0.1433951572,0.005974798216666667,0.097496712,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/25,success,3.7738976515,0.15724573547916668,0.54019379,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/26,success,7.08256566,0.2951069025,0.50712071,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/27,success,10.502779465,0.43761581104166664,0.75781013,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/28,success,4.863381421,0.20264089254166665,0.50160852,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/29,success,9.195074399,0.3831280999583333,0.54846207,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/3,success,12.70247268,0.529269695,0.93844891,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/30,success,12.244395053,0.5101831272083334,0.77790663,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/4,success,5.549915455,0.23124647729166667,0.51814507,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/5,success,5.061206959735,0.21088362332229169,0.65043743,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/6,success,8.556489324,0.35652038849999995,0.96256471,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/7,success,10.14448268875,0.42268677869791665,1.1065705,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/8,success,9.6928800835,0.4038700034791667,1.0385869,2.51,"[21.9, 24.8]"
AC_S_026,small,2021/6/9,success,6.5926850395,0.2746952099791667,0.66100244,2.51,"[21.9, 24.8]"
