AC_S_020 多天功率矩阵
"空调参数: P_rated=2.62kW, T_range=[22.0, 25.3]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.000,0.189,0.676,0.709,0.742,0.775,0.663,0.552,0.441,0.330,0.219,0.108,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.294,0.294
2021/6/10,success,0.000,0.000,0.000,0.000,0.000,0.734,0.890,0.993,1.095,1.198,1.183,1.168,1.153,1.138,1.123,1.109,1.004,0.900,0.796,0.692,0.588,0.210,0.208,0.483,0.466,0.448,0.430,0.412,0.394,0.376,0.344,0.206,0.198,0.191,0.183,0.175,0.167,0.160,0.182,0.205,0.227,0.250,0.272,0.295,0.342,0.390,0.438,0.438
2021/6/11,success,0.000,0.000,0.000,0.173,1.000,1.003,1.006,1.008,1.011,1.014,1.022,1.029,1.036,1.044,1.051,1.059,0.960,0.861,0.762,0.663,0.564,0.249,0.217,0.465,0.423,0.380,0.337,0.294,0.251,0.209,0.201,0.185,0.153,0.120,0.088,0.055,0.022,0.000,0.016,0.062,0.098,0.134,0.170,0.206,0.338,0.470,0.602,0.602
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.481,0.475,0.470,0.464,0.459,0.453,0.364,0.275,0.186,0.097,0.008,0.178,0.170,0.000,0.000,0.000,0.000,0.057,0.137,0.181,0.145,0.162,0.128,0.093,0.058,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/13,success,0.000,0.000,0.000,0.000,0.000,0.588,0.659,0.668,0.677,0.686,0.669,0.653,0.636,0.620,0.603,0.586,0.569,0.552,0.534,0.517,0.499,0.038,0.002,0.482,0.449,0.416,0.384,0.351,0.319,0.286,0.317,0.000,0.000,0.000,0.000,0.011,0.050,0.066,0.114,0.161,0.209,0.256,0.304,0.351,0.398,0.445,0.492,0.492
2021/6/14,success,0.000,0.000,0.000,0.000,0.488,0.746,0.760,0.773,0.787,0.801,0.791,0.781,0.771,0.761,0.750,0.740,0.673,0.605,0.538,0.470,0.402,0.411,0.442,0.335,0.337,0.339,0.341,0.343,0.345,0.347,0.330,0.473,0.446,0.419,0.392,0.364,0.337,0.310,0.344,0.379,0.413,0.448,0.482,0.517,0.550,0.584,0.617,0.617
2021/6/15,success,0.000,0.000,0.000,0.000,0.000,0.545,0.550,0.537,0.523,0.510,0.573,0.636,0.699,0.762,0.825,0.888,0.826,0.765,0.703,0.641,0.579,0.278,0.260,0.518,0.512,0.506,0.500,0.494,0.488,0.482,0.476,0.243,0.257,0.272,0.286,0.301,0.315,0.330,0.353,0.377,0.400,0.424,0.447,0.471,0.490,0.510,0.530,0.530
2021/6/16,success,0.000,0.000,0.000,0.268,0.887,0.910,0.933,0.957,0.980,1.003,1.012,1.021,1.030,1.040,1.049,1.058,0.998,0.939,0.879,0.819,0.760,0.459,0.453,0.700,0.679,0.657,0.636,0.615,0.593,0.572,0.542,0.447,0.456,0.464,0.472,0.481,0.489,0.497,0.549,0.601,0.653,0.704,0.756,0.808,0.817,0.827,0.836,0.836
2021/6/17,success,0.000,0.000,0.000,0.000,0.729,0.937,1.048,1.159,1.270,1.381,1.320,1.260,1.199,1.139,1.078,1.018,0.953,0.889,0.825,0.761,0.697,0.452,0.422,0.633,0.613,0.593,0.573,0.553,0.533,0.514,0.504,0.392,0.412,0.432,0.453,0.473,0.493,0.513,0.547,0.582,0.616,0.651,0.685,0.720,0.719,0.718,0.717,0.717
2021/6/18,success,0.000,0.000,0.000,1.101,1.219,1.219,1.218,1.217,1.217,1.216,1.157,1.098,1.039,0.980,0.921,0.862,0.831,0.799,0.768,0.736,0.705,0.476,0.467,0.673,0.675,0.677,0.678,0.680,0.682,0.684,0.683,0.458,0.455,0.452,0.449,0.446,0.443,0.441,0.497,0.553,0.609,0.665,0.721,0.777,0.851,0.925,0.999,0.999
2021/6/19,success,0.000,0.000,0.000,1.182,1.271,1.342,1.412,1.482,1.552,1.622,1.524,1.426,1.328,1.229,1.131,1.033,0.987,0.942,0.896,0.850,0.805,0.680,0.679,0.759,0.723,0.687,0.651,0.615,0.579,0.543,0.528,0.678,0.639,0.600,0.561,0.522,0.482,0.443,0.489,0.535,0.580,0.626,0.672,0.718,0.798,0.879,0.960,0.960
2021/6/2,success,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.508,0.521,0.533,0.548,0.563,0.577,0.592,0.607,0.622,0.630,0.638,0.646,0.654,0.662,0.000,0.000,0.373,0.627,0.584,0.541,0.497,0.454,0.410,0.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150
2021/6/20,success,0.000,0.000,0.000,0.813,1.171,1.247,1.323,1.399,1.475,1.551,1.466,1.381,1.296,1.211,1.126,1.041,1.011,0.982,0.952,0.923,0.893,0.483,0.468,0.864,0.851,0.838,0.825,0.812,0.799,0.786,0.758,0.453,0.475,0.497,0.519,0.541,0.563,0.585,0.615,0.645,0.676,0.706,0.736,0.767,0.821,0.876,0.931,0.931
2021/6/21,success,0.000,0.000,0.065,1.261,1.245,1.230,1.215,1.199,1.184,1.169,1.037,0.905,0.774,0.642,0.510,0.379,0.413,0.448,0.482,0.517,0.551,0.674,0.646,0.586,0.580,0.575,0.570,0.565,0.560,0.555,0.546,0.618,0.631,0.643,0.656,0.669,0.681,0.694,0.692,0.689,0.687,0.685,0.682,0.680,0.777,0.874,0.970,0.970
2021/6/22,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.370,0.442,0.455,0.467,0.479,0.386,0.293,0.199,0.106,0.013,0.519,0.510,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.460,0.504,0.505,0.506,0.507,0.399,0.292,0.185,0.077,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/23,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.181,0.273,0.240,0.178,0.116,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.253,0.300,0.300
2021/6/24,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/25,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.262,0.551,0.596,0.538,0.480,0.422,0.364,0.306,0.248,0.241,0.234,0.227,0.220,0.213,0.000,0.000,0.000,0.045,0.203,0.202,0.200,0.199,0.198,0.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.170,0.170
2021/6/26,success,0.000,0.000,0.000,0.000,0.000,0.000,0.342,0.500,0.520,0.539,0.542,0.544,0.547,0.550,0.552,0.555,0.540,0.525,0.510,0.495,0.480,0.251,0.265,0.465,0.433,0.401,0.369,0.337,0.306,0.274,0.282,0.278,0.248,0.218,0.188,0.157,0.127,0.097,0.112,0.127,0.142,0.157,0.172,0.187,0.226,0.266,0.305,0.305
2021/6/27,success,0.000,0.000,0.000,0.237,0.867,0.777,0.687,0.596,0.506,0.416,0.429,0.443,0.456,0.470,0.484,0.497,0.485,0.473,0.462,0.450,0.438,0.305,0.313,0.426,0.446,0.466,0.486,0.506,0.526,0.546,0.546,0.320,0.361,0.401,0.441,0.481,0.521,0.562,0.557,0.553,0.549,0.544,0.540,0.536,0.606,0.676,0.747,0.747
2021/6/28,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.175,0.344,0.353,0.363,0.363,0.363,0.363,0.363,0.363,0.547,0.548,0.362,0.382,0.402,0.422,0.442,0.462,0.482,0.478,0.548,0.472,0.396,0.319,0.243,0.167,0.091,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/29,success,0.000,0.000,0.000,0.000,0.277,0.457,0.355,0.252,0.149,0.046,0.140,0.233,0.326,0.419,0.512,0.605,0.566,0.526,0.486,0.446,0.406,0.467,0.463,0.367,0.388,0.409,0.430,0.451,0.472,0.493,0.481,0.459,0.469,0.479,0.489,0.498,0.508,0.518,0.523,0.528,0.534,0.539,0.544,0.550,0.568,0.587,0.606,0.606
2021/6/3,success,0.000,0.000,0.000,0.000,0.222,0.757,0.841,0.925,1.009,1.092,1.075,1.058,1.040,1.023,1.006,0.988,0.930,0.871,0.812,0.753,0.694,0.401,0.399,0.635,0.613,0.591,0.569,0.547,0.525,0.502,0.499,0.397,0.383,0.370,0.356,0.342,0.329,0.315,0.369,0.423,0.477,0.532,0.586,0.640,0.631,0.623,0.615,0.615
2021/6/30,success,0.000,0.000,0.000,0.182,0.883,0.885,0.887,0.888,0.890,0.892,0.866,0.840,0.813,0.787,0.761,0.734,0.720,0.705,0.691,0.676,0.662,0.444,0.431,0.647,0.634,0.621,0.607,0.594,0.580,0.567,0.537,0.419,0.399,0.379,0.359,0.339,0.319,0.299,0.338,0.378,0.417,0.456,0.496,0.535,0.593,0.650,0.708,0.708
2021/6/4,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.155,0.121,0.127,0.132,0.138,0.143,0.149,0.155,0.139,0.123,0.108,0.092,0.077,0.489,0.485,0.061,0.062,0.062,0.063,0.064,0.065,0.065,0.048,0.482,0.453,0.424,0.395,0.366,0.336,0.307,0.351,0.394,0.438,0.481,0.525,0.568,0.527,0.486,0.445,0.445
