AC_S_021 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_021 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.81,0.000,0.0
2.0,24.09,0.452,15.6
2.5,24.20,0.737,25.5
3.0,24.20,0.768,26.6
3.5,24.20,0.799,27.7
4.0,24.20,0.830,28.7
4.5,24.20,0.861,29.8
5.0,24.20,0.892,30.9
5.5,24.20,0.787,27.2
6.0,24.20,0.682,23.6
6.5,24.20,0.577,20.0
7.0,24.20,0.473,16.4
7.5,24.20,0.368,12.7
8.0,24.20,0.263,9.1
8.5,24.20,0.207,7.2
9.0,24.20,0.152,5.3
9.5,24.20,0.097,3.3
10.0,24.20,0.041,1.4
10.5,24.20,0.000,0.0
11.0,24.19,0.041,1.4
11.5,24.20,0.065,2.2
12.0,24.20,0.000,0.0
12.5,24.17,0.000,0.0
13.0,24.14,0.000,0.0
13.5,24.11,0.000,0.0
14.0,24.07,0.000,0.0
14.5,24.03,0.000,0.0
15.0,23.99,0.000,0.0
15.5,23.95,0.000,0.0
16.0,23.93,0.000,0.0
16.5,23.97,0.000,0.0
17.0,24.03,0.000,0.0
17.5,24.11,0.000,0.0
18.0,24.19,0.208,7.2
18.5,24.20,0.269,9.3
19.0,24.20,0.307,10.6
19.5,24.20,0.285,9.8
20.0,24.20,0.262,9.1
20.5,24.20,0.239,8.3
21.0,24.20,0.216,7.5
21.5,24.20,0.193,6.7
22.0,24.20,0.170,5.9
22.5,24.20,0.260,9.0
23.0,24.20,0.349,12.1
23.5,24.20,0.438,15.2
24.0,24.20,0.438,15.2

"日期: 2021/6/10, 空调: AC_S_021 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.69,0.000,0.0
1.5,23.97,0.144,5.0
2.0,24.20,0.710,24.6
2.5,24.20,0.807,27.9
3.0,24.20,0.904,31.3
3.5,24.20,1.001,34.6
4.0,24.20,1.098,38.0
4.5,24.20,1.195,41.4
5.0,24.20,1.292,44.7
5.5,24.20,1.278,44.2
6.0,24.20,1.264,43.7
6.5,24.20,1.250,43.2
7.0,24.20,1.236,42.8
7.5,24.20,1.222,42.3
8.0,24.20,1.208,41.8
8.5,24.20,1.109,38.4
9.0,24.20,1.011,35.0
9.5,24.20,0.912,31.6
10.0,24.20,0.814,28.2
10.5,24.20,0.716,24.8
11.0,24.20,0.359,12.4
11.5,24.20,0.357,12.4
12.0,24.20,0.617,21.4
12.5,24.20,0.600,20.8
13.0,24.20,0.583,20.2
13.5,24.20,0.567,19.6
14.0,24.20,0.550,19.0
14.5,24.20,0.533,18.4
15.0,24.20,0.516,17.8
15.5,24.20,0.486,16.8
16.0,24.20,0.355,12.3
16.5,24.20,0.348,12.0
17.0,24.20,0.341,11.8
17.5,24.20,0.333,11.5
18.0,24.20,0.326,11.3
18.5,24.20,0.319,11.0
19.0,24.20,0.311,10.8
19.5,24.20,0.333,11.5
20.0,24.20,0.354,12.2
20.5,24.20,0.375,13.0
21.0,24.20,0.396,13.7
21.5,24.20,0.418,14.4
22.0,24.20,0.439,15.2
22.5,24.20,0.484,16.7
23.0,24.20,0.529,18.3
23.5,24.20,0.575,19.9
24.0,24.20,0.575,19.9

"日期: 2021/6/11, 空调: AC_S_021 (small), 状态: success"
