100个空调完整时间序列数据

"空调: AC_S_050 (small), 额定功率: 3.21kW, 温度范围: [20.3, 25.8]°C, 状态: success"
15.0,29.2,24.10,2.205,85.1
15.5,29.0,24.10,2.096,80.9
16.0,28.7,24.10,1.986,76.7
16.5,28.5,24.10,1.877,72.5
17.0,28.2,24.10,1.767,68.2
17.5,28.3,24.10,1.798,69.4
18.0,28.4,24.10,1.829,70.6
18.5,28.4,24.10,1.859,71.8
19.0,28.5,24.10,1.890,73.0
19.5,28.6,24.10,1.920,74.1
20.0,28.7,24.10,1.951,75.3
20.5,28.6,24.10,1.930,74.5
21.0,28.6,24.10,1.909,73.7
21.5,28.5,24.10,1.889,72.9
22.0,28.5,24.10,1.868,72.1
22.5,28.4,24.10,1.848,71.3
23.0,28.4,24.10,1.827,70.5
23.5,28.3,24.10,1.817,70.2
24.0,28.3,24.10,1.817,70.2

"空调: AC_M_014 (medium), 额定功率: 4.24kW, 温度范围: [20.5, 25.3]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.71,0.000,0.0
1.0,27.5,23.90,0.000,0.0
1.5,27.5,24.09,0.000,0.0
2.0,27.5,24.26,0.000,0.0
2.5,27.5,24.43,0.000,0.0
3.0,27.4,24.58,0.000,0.0
3.5,27.4,24.72,0.000,0.0
4.0,27.4,24.86,0.000,0.0
4.5,27.4,24.99,0.000,0.0
5.0,27.4,25.11,0.000,0.0
5.5,27.6,25.24,0.000,0.0
6.0,27.9,25.30,1.290,30.4
6.5,28.2,25.30,2.427,57.2
7.0,28.5,25.30,2.662,62.8
7.5,28.8,25.30,2.896,68.3
8.0,29.1,25.30,3.130,73.8
8.5,29.4,25.28,3.705,87.4
9.0,29.7,25.25,4.240,100.0
9.5,30.0,25.23,4.240,100.0
10.0,30.3,25.23,4.240,100.0
10.5,30.6,25.24,4.240,100.0
11.0,30.9,25.27,4.240,100.0
11.5,30.7,25.29,4.240,100.0
12.0,30.5,25.30,4.240,100.0
12.5,30.3,25.30,4.206,99.2
13.0,30.1,25.30,4.045,95.4
13.5,30.0,25.30,3.884,91.6
14.0,29.8,25.30,3.723,87.8
14.5,29.5,25.30,3.510,82.8
15.0,29.2,25.30,3.297,77.8
15.5,29.0,25.30,3.083,72.7
16.0,28.7,25.30,2.870,67.7
16.5,28.5,25.30,2.657,62.7
17.0,28.2,25.30,2.444,57.6
17.5,28.3,25.30,2.503,59.0
18.0,28.4,25.30,2.563,60.4
18.5,28.4,25.30,2.622,61.8
19.0,28.5,25.30,2.682,63.2
19.5,28.6,25.30,2.741,64.6
20.0,28.7,25.30,2.801,66.1
20.5,28.6,25.30,2.760,65.1
21.0,28.6,25.30,2.720,64.2
21.5,28.5,25.30,2.680,63.2
22.0,28.5,25.30,2.640,62.3
22.5,28.4,25.30,2.600,61.3
23.0,28.4,25.30,2.560,60.4
23.5,28.3,25.30,2.541,59.9
24.0,28.3,25.30,2.541,59.9

"空调: AC_M_015 (medium), 额定功率: 4.54kW, 温度范围: [20.2, 24.7]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.67,0.000,0.0
1.0,27.5,23.83,0.000,0.0
1.5,27.5,23.99,0.000,0.0
2.0,27.5,24.14,0.000,0.0
2.5,27.5,24.28,0.000,0.0
3.0,27.4,24.41,0.000,0.0
3.5,27.4,24.54,0.000,0.0
4.0,27.4,24.66,0.000,0.0
4.5,27.4,24.70,0.970,21.4
5.0,27.4,24.70,1.526,33.6
5.5,27.6,24.70,1.687,37.1
6.0,27.9,24.70,1.847,40.7
6.5,28.2,24.70,2.008,44.2
7.0,28.5,24.70,2.168,47.8
7.5,28.8,24.70,2.329,51.3
8.0,29.1,24.70,2.489,54.8
8.5,29.4,24.70,2.667,58.8
9.0,29.7,24.70,2.845,62.7
9.5,30.0,24.70,3.023,66.6
10.0,30.3,24.70,3.202,70.5
10.5,30.6,24.70,3.380,74.4
11.0,30.9,24.70,3.558,78.4
11.5,30.7,24.70,3.447,75.9
12.0,30.5,24.70,3.337,73.5
12.5,30.3,24.70,3.227,71.1
13.0,30.1,24.70,3.117,68.7
13.5,30.0,24.70,3.007,66.2
14.0,29.8,24.70,2.896,63.8
14.5,29.5,24.70,2.750,60.6
15.0,29.2,24.70,2.604,57.4
15.5,29.0,24.70,2.458,54.1
16.0,28.7,24.70,2.311,50.9
16.5,28.5,24.70,2.165,47.7
17.0,28.2,24.70,2.019,44.5
17.5,28.3,24.70,2.060,45.4
18.0,28.4,24.70,2.100,46.3
18.5,28.4,24.70,2.141,47.2
19.0,28.5,24.70,2.182,48.1
19.5,28.6,24.70,2.223,49.0
20.0,28.7,24.70,2.264,49.9
20.5,28.6,24.70,2.236,49.3
21.0,28.6,24.70,2.209,48.6
21.5,28.5,24.70,2.181,48.0
22.0,28.5,24.70,2.153,47.4
22.5,28.4,24.70,2.126,46.8
23.0,28.4,24.70,2.098,46.2
23.5,28.3,24.70,2.086,45.9
24.0,28.3,24.70,2.086,45.9

"空调: AC_L_010 (large), 额定功率: 19.38kW, 温度范围: [20.0, 24.1]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.54,0.000,0.0
1.0,27.5,23.57,0.000,0.0
1.5,27.5,23.61,0.000,0.0
2.0,27.5,23.64,0.000,0.0
2.5,27.5,23.68,0.000,0.0
3.0,27.4,23.71,0.000,0.0
3.5,27.4,23.75,0.000,0.0
4.0,27.4,23.78,0.000,0.0
4.5,27.4,23.81,0.000,0.0
5.0,27.4,23.84,0.000,0.0
5.5,27.6,23.88,0.000,0.0
6.0,27.9,23.92,0.000,0.0
6.5,28.2,23.95,0.000,0.0
7.0,28.5,23.99,0.000,0.0
7.5,28.8,24.04,0.000,0.0
8.0,29.1,24.08,0.000,0.0
8.5,29.4,24.10,0.749,3.9
9.0,29.7,24.10,1.202,6.2
9.5,30.0,24.10,1.270,6.6
10.0,30.3,24.10,1.337,6.9
10.5,30.6,24.10,1.404,7.2
11.0,30.9,24.10,1.471,7.6
11.5,30.7,24.10,1.429,7.4
12.0,30.5,24.10,1.388,7.2
12.5,30.3,24.10,1.346,6.9
13.0,30.1,24.10,1.305,6.7
13.5,30.0,24.10,1.263,6.5
14.0,29.8,24.10,1.222,6.3
14.5,29.5,24.10,1.166,6.0
15.0,29.2,24.10,1.111,5.7
15.5,29.0,24.10,1.056,5.4
16.0,28.7,24.10,1.001,5.2
16.5,28.5,24.10,0.946,4.9
17.0,28.2,24.10,0.891,4.6
17.5,28.3,24.10,0.906,4.7
18.0,28.4,24.10,0.921,4.8
18.5,28.4,24.10,0.937,4.8
19.0,28.5,24.10,0.952,4.9
19.5,28.6,24.10,0.968,5.0
20.0,28.7,24.10,0.983,5.1
20.5,28.6,24.10,0.973,5.0
21.0,28.6,24.10,0.962,5.0
21.5,28.5,24.10,0.952,4.9
22.0,28.5,24.10,0.941,4.9
22.5,28.4,24.10,0.931,4.8
23.0,28.4,24.10,0.921,4.8
23.5,28.3,24.10,0.916,4.7
24.0,28.3,24.10,0.916,4.7

"空调: AC_S_029 (small), 额定功率: 2.71kW, 温度范围: [21.5, 25.4]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.73,0.000,0.0
1.0,27.5,23.94,0.000,0.0
1.5,27.5,24.14,0.000,0.0
2.0,27.5,24.33,0.000,0.0
2.5,27.5,24.51,0.000,0.0
3.0,27.4,24.67,0.000,0.0
3.5,27.4,24.83,0.000,0.0
4.0,27.4,24.97,0.000,0.0
4.5,27.4,25.11,0.000,0.0
5.0,27.4,25.23,0.000,0.0
5.5,27.6,25.37,0.000,0.0
6.0,27.9,25.40,0.886,32.7
6.5,28.2,25.40,1.222,45.1
7.0,28.5,25.40,1.345,49.6
7.5,28.8,25.40,1.467,54.1
8.0,29.1,25.40,1.589,58.6
8.5,29.4,25.40,1.724,63.6
9.0,29.7,25.40,1.860,68.6
9.5,30.0,25.40,1.995,73.6
10.0,30.3,25.40,2.131,78.6
10.5,30.6,25.40,2.266,83.6
