100个空调完整时间序列数据

"空调: AC_S_050 (small), 额定功率: 3.21kW, 温度范围: [20.3, 25.8]°C, 状态: success"
1.0,27.5,23.98,0.000,0.0
1.5,27.5,24.19,0.000,0.0
2.0,27.5,24.39,0.000,0.0
2.5,27.5,24.58,0.000,0.0
3.0,27.4,24.75,0.000,0.0
3.5,27.4,24.91,0.000,0.0
4.0,27.4,25.06,0.000,0.0
4.5,27.4,25.20,0.000,0.0
5.0,27.4,25.34,0.000,0.0
5.5,27.6,25.48,0.000,0.0
6.0,27.9,25.50,0.878,33.9
6.5,28.2,25.50,1.153,44.5
7.0,28.5,25.50,1.272,49.1
7.5,28.8,25.50,1.392,53.7
8.0,29.1,25.50,1.511,58.3
8.5,29.4,25.50,1.644,63.5
9.0,29.7,25.50,1.776,68.6
9.5,30.0,25.50,1.908,73.7
10.0,30.3,25.50,2.041,78.8
10.5,30.6,25.50,2.173,83.9
11.0,30.9,25.50,2.306,89.0
11.5,30.7,25.50,2.224,85.9
12.0,30.5,25.50,2.142,82.7
12.5,30.3,25.50,2.060,79.5
13.0,30.1,25.50,1.978,76.4
13.5,30.0,25.50,1.896,73.2
14.0,29.8,25.50,1.814,70.0
14.5,29.5,25.50,1.705,65.8
15.0,29.2,25.50,1.596,61.6
15.5,29.0,25.50,1.487,57.4
16.0,28.7,25.50,1.379,53.2
16.5,28.5,25.50,1.270,49.0
17.0,28.2,25.50,1.161,44.8
17.5,28.3,25.50,1.191,46.0
18.0,28.4,25.50,1.222,47.2
18.5,28.4,25.50,1.252,48.3
19.0,28.5,25.50,1.283,49.5
19.5,28.6,25.50,1.313,50.7
20.0,28.7,25.50,1.343,51.9
20.5,28.6,25.50,1.323,51.1
21.0,28.6,25.50,1.302,50.3
21.5,28.5,25.50,1.282,49.5
22.0,28.5,25.50,1.261,48.7
22.5,28.4,25.50,1.241,47.9
23.0,28.4,25.50,1.220,47.1
23.5,28.3,25.50,1.211,46.7
24.0,28.3,25.50,1.211,46.7

"空调: AC_S_048 (small), 额定功率: 3.36kW, 温度范围: [21.2, 25.4]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.76,0.000,0.0
1.0,27.5,24.00,0.000,0.0
1.5,27.5,24.23,0.000,0.0
2.0,27.5,24.44,0.000,0.0
2.5,27.5,24.63,0.000,0.0
3.0,27.4,24.81,0.000,0.0
3.5,27.4,24.98,0.000,0.0
4.0,27.4,25.13,0.000,0.0
4.5,27.4,25.27,0.000,0.0
5.0,27.4,25.40,0.066,2.0
5.5,27.6,25.40,1.068,31.8
6.0,27.9,25.40,1.201,35.7
6.5,28.2,25.40,1.334,39.7
7.0,28.5,25.40,1.467,43.7
7.5,28.8,25.40,1.601,47.6
8.0,29.1,25.40,1.734,51.6
8.5,29.4,25.40,1.882,56.0
9.0,29.7,25.40,2.030,60.4
9.5,30.0,25.40,2.177,64.8
10.0,30.3,25.40,2.325,69.2
10.5,30.6,25.40,2.473,73.6
11.0,30.9,25.40,2.621,78.0
11.5,30.7,25.40,2.529,75.3
12.0,30.5,25.40,2.438,72.6
12.5,30.3,25.40,2.346,69.8
13.0,30.1,25.40,2.255,67.1
13.5,30.0,25.40,2.163,64.4
14.0,29.8,25.40,2.072,61.7
14.5,29.5,25.40,1.950,58.0
15.0,29.2,25.40,1.829,54.4
15.5,29.0,25.40,1.708,50.8
16.0,28.7,25.40,1.586,47.2
16.5,28.5,25.40,1.465,43.6
17.0,28.2,25.40,1.343,40.0
17.5,28.3,25.40,1.377,41.0
18.0,28.4,25.40,1.411,42.0
18.5,28.4,25.40,1.445,43.0
19.0,28.5,25.40,1.479,44.0
19.5,28.6,25.40,1.513,45.0
20.0,28.7,25.40,1.547,46.0
20.5,28.6,25.40,1.524,45.3
21.0,28.6,25.40,1.501,44.7
21.5,28.5,25.40,1.478,44.0
22.0,28.5,25.40,1.455,43.3
22.5,28.4,25.40,1.432,42.6
23.0,28.4,25.40,1.409,41.9
23.5,28.3,25.40,1.399,41.6
24.0,28.3,25.40,1.399,41.6

"空调: AC_S_044 (small), 额定功率: 2.94kW, 温度范围: [20.5, 24.8]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.75,0.000,0.0
1.0,27.5,23.98,0.000,0.0
1.5,27.5,24.20,0.000,0.0
2.0,27.5,24.40,0.000,0.0
2.5,27.5,24.58,0.000,0.0
3.0,27.4,24.76,0.000,0.0
3.5,27.4,24.80,0.845,28.8
4.0,27.4,24.80,1.127,38.3
4.5,27.4,24.80,1.119,38.1
5.0,27.4,24.80,1.111,37.8
5.5,27.6,24.80,1.233,41.9
6.0,27.9,24.80,1.354,46.1
6.5,28.2,24.80,1.476,50.2
7.0,28.5,24.80,1.597,54.3
7.5,28.8,24.80,1.719,58.5
8.0,29.1,24.80,1.840,62.6
8.5,29.4,24.80,1.975,67.2
9.0,29.7,24.80,2.110,71.8
9.5,30.0,24.80,2.245,76.3
10.0,30.3,24.80,2.379,80.9
10.5,30.6,24.80,2.514,85.5
11.0,30.9,24.80,2.649,90.1
11.5,30.7,24.80,2.565,87.3
12.0,30.5,24.80,2.482,84.4
12.5,30.3,24.80,2.399,81.6
13.0,30.1,24.80,2.315,78.7
13.5,30.0,24.80,2.232,75.9
14.0,29.8,24.80,2.148,73.1
14.5,29.5,24.80,2.038,69.3
15.0,29.2,24.80,1.927,65.5
15.5,29.0,24.80,1.816,61.8
16.0,28.7,24.80,1.706,58.0
16.5,28.5,24.80,1.595,54.3
17.0,28.2,24.80,1.484,50.5
17.5,28.3,24.80,1.515,51.5
18.0,28.4,24.80,1.546,52.6
18.5,28.4,24.80,1.577,53.6
19.0,28.5,24.80,1.608,54.7
19.5,28.6,24.80,1.639,55.7
20.0,28.7,24.80,1.670,56.8
20.5,28.6,24.80,1.649,56.1
21.0,28.6,24.80,1.628,55.4
21.5,28.5,24.80,1.607,54.7
22.0,28.5,24.80,1.586,54.0
22.5,28.4,24.80,1.565,53.2
23.0,28.4,24.80,1.544,52.5
23.5,28.3,24.80,1.535,52.2
24.0,28.3,24.80,1.535,52.2

"空调: AC_S_035 (small), 额定功率: 3.10kW, 温度范围: [20.8, 25.8]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.78,0.000,0.0
1.0,27.5,24.05,0.000,0.0
1.5,27.5,24.29,0.000,0.0
2.0,27.5,24.51,0.000,0.0
2.5,27.5,24.71,0.000,0.0
3.0,27.4,24.90,0.000,0.0
3.5,27.4,25.08,0.000,0.0
4.0,27.4,25.24,0.000,0.0
4.5,27.4,25.39,0.000,0.0
5.0,27.4,25.53,0.000,0.0
5.5,27.6,25.67,0.000,0.0
6.0,27.9,25.80,0.237,7.6
6.5,28.2,25.80,1.275,41.1
7.0,28.5,25.80,1.424,45.9
7.5,28.8,25.80,1.573,50.7
8.0,29.1,25.80,1.721,55.5
8.5,29.4,25.80,1.886,60.8
9.0,29.7,25.80,2.051,66.2
9.5,30.0,25.80,2.215,71.5
10.0,30.3,25.80,2.380,76.8
10.5,30.6,25.80,2.545,82.1
11.0,30.9,25.80,2.710,87.4
11.5,30.7,25.80,2.608,84.1
12.0,30.5,25.80,2.506,80.8
12.5,30.3,25.80,2.404,77.5
13.0,30.1,25.80,2.302,74.2
13.5,30.0,25.80,2.200,71.0
14.0,29.8,25.80,2.098,67.7
14.5,29.5,25.80,1.962,63.3
15.0,29.2,25.80,1.827,58.9
15.5,29.0,25.80,1.692,54.6
16.0,28.7,25.80,1.556,50.2
16.5,28.5,25.80,1.421,45.8
17.0,28.2,25.80,1.286,41.5
17.5,28.3,25.80,1.323,42.7
18.0,28.4,25.80,1.361,43.9
18.5,28.4,25.80,1.399,45.1
19.0,28.5,25.80,1.437,46.3
19.5,28.6,25.80,1.475,47.6
20.0,28.7,25.80,1.512,48.8
20.5,28.6,25.80,1.487,48.0
21.0,28.6,25.80,1.461,47.1
21.5,28.5,25.80,1.436,46.3
22.0,28.5,25.80,1.410,45.5
22.5,28.4,25.80,1.385,44.7
23.0,28.4,25.80,1.359,43.8
23.5,28.3,25.80,1.348,43.5
24.0,28.3,25.80,1.348,43.5

"空调: AC_S_013 (small), 额定功率: 2.53kW, 温度范围: [21.9, 24.4]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.73,0.000,0.0
1.0,27.5,23.95,0.000,0.0
1.5,27.5,24.15,0.000,0.0
2.0,27.5,24.34,0.000,0.0
2.5,27.5,24.40,0.966,38.2
3.0,27.4,24.40,1.447,57.2
3.5,27.4,24.40,1.439,56.9
4.0,27.4,24.40,1.430,56.5
4.5,27.4,24.37,1.652,65.3
5.0,27.4,24.24,2.530,100.0
5.5,27.6,24.13,2.530,100.0
6.0,27.9,24.05,2.530,100.0
6.5,28.2,23.98,2.530,100.0
7.0,28.5,23.94,2.530,100.0
7.5,28.8,23.91,2.530,100.0
8.0,29.1,23.90,2.530,100.0
8.5,29.4,23.91,2.530,100.0
9.0,29.7,23.93,2.530,100.0
9.5,30.0,23.98,2.530,100.0
10.0,30.3,24.03,2.530,100.0
10.5,30.6,24.10,2.530,100.0
11.0,30.9,24.19,2.530,100.0
11.5,30.7,24.26,2.530,100.0
12.0,30.5,24.31,2.530,100.0
12.5,30.3,24.35,2.530,100.0
13.0,30.1,24.38,2.530,100.0
13.5,30.0,24.40,2.530,100.0
14.0,29.8,24.40,2.530,100.0
14.5,29.5,24.40,2.433,96.2
15.0,29.2,24.40,2.311,91.3
15.5,29.0,24.40,2.189,86.5
16.0,28.7,24.40,2.067,81.7
16.5,28.5,24.40,1.946,76.9
17.0,28.2,24.40,1.824,72.1
17.5,28.3,24.40,1.858,73.4
18.0,28.4,24.40,1.892,74.8
18.5,28.4,24.40,1.926,76.1
19.0,28.5,24.40,1.960,77.5
19.5,28.6,24.40,1.994,78.8
20.0,28.7,24.40,2.028,80.1
20.5,28.6,24.40,2.005,79.2
21.0,28.6,24.40,1.982,78.3
21.5,28.5,24.40,1.959,77.4
22.0,28.5,24.40,1.936,76.5
22.5,28.4,24.40,1.913,75.6
23.0,28.4,24.40,1.890,74.7
23.5,28.3,24.40,1.879,74.3
24.0,28.3,24.40,1.879,74.3

"空调: AC_L_007 (large), 额定功率: 19.29kW, 温度范围: [21.5, 25.0]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.56,0.000,0.0
1.0,27.5,23.62,0.000,0.0
1.5,27.5,23.68,0.000,0.0
2.0,27.5,23.74,0.000,0.0
2.5,27.5,23.80,0.000,0.0
3.0,27.4,23.85,0.000,0.0
3.5,27.4,23.91,0.000,0.0
4.0,27.4,23.96,0.000,0.0
4.5,27.4,24.01,0.000,0.0
5.0,27.4,24.07,0.000,0.0
5.5,27.6,24.12,0.000,0.0
6.0,27.9,24.18,0.000,0.0
6.5,28.2,24.24,0.000,0.0
7.0,28.5,24.31,0.000,0.0
7.5,28.8,24.37,0.000,0.0
8.0,29.1,24.45,0.000,0.0
8.5,29.4,24.52,0.000,0.0
9.0,29.7,24.60,0.000,0.0
9.5,30.0,24.68,0.000,0.0
10.0,30.3,24.77,0.000,0.0
10.5,30.6,24.86,0.000,0.0
11.0,30.9,24.95,0.000,0.0
11.5,30.7,25.00,0.941,4.9
12.0,30.5,25.00,1.992,10.3
12.5,30.3,25.00,1.923,10.0
13.0,30.1,25.00,1.853,9.6
13.5,30.0,25.00,1.784,9.2
14.0,29.8,25.00,1.715,8.9
14.5,29.5,25.00,1.623,8.4
15.0,29.2,25.00,1.531,7.9
15.5,29.0,25.00,1.439,7.5
16.0,28.7,25.00,1.347,7.0
16.5,28.5,25.00,1.254,6.5
17.0,28.2,25.00,1.162,6.0
17.5,28.3,25.00,1.188,6.2
18.0,28.4,25.00,1.214,6.3
18.5,28.4,25.00,1.239,6.4
19.0,28.5,25.00,1.265,6.6
19.5,28.6,25.00,1.291,6.7
20.0,28.7,25.00,1.316,6.8
20.5,28.6,25.00,1.299,6.7
21.0,28.6,25.00,1.282,6.6
21.5,28.5,25.00,1.264,6.6
22.0,28.5,25.00,1.247,6.5
22.5,28.4,25.00,1.230,6.4
23.0,28.4,25.00,1.212,6.3
23.5,28.3,25.00,1.204,6.2
24.0,28.3,25.00,1.204,6.2

"空调: AC_S_021 (small), 额定功率: 2.89kW, 温度范围: [20.8, 24.2]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.74,0.000,0.0
1.0,27.5,23.97,0.000,0.0
1.5,27.5,24.18,0.000,0.0
2.0,27.5,24.20,1.555,53.8
2.5,27.5,24.20,1.697,58.7
3.0,27.4,24.20,1.688,58.4
3.5,27.4,24.20,1.679,58.1
4.0,27.4,24.20,1.669,57.8
4.5,27.4,24.20,1.660,57.4
5.0,27.4,24.07,2.757,95.4
5.5,27.6,23.96,2.890,100.0
6.0,27.9,23.86,2.890,100.0
6.5,28.2,23.79,2.890,100.0
7.0,28.5,23.74,2.890,100.0
7.5,28.8,23.71,2.890,100.0
8.0,29.1,23.70,2.890,100.0
8.5,29.4,23.70,2.890,100.0
9.0,29.7,23.73,2.890,100.0
9.5,30.0,23.77,2.890,100.0
10.0,30.3,23.83,2.890,100.0
10.5,30.6,23.90,2.890,100.0
11.0,30.9,23.99,2.890,100.0
11.5,30.7,24.06,2.890,100.0
12.0,30.5,24.12,2.890,100.0
12.5,30.3,24.16,2.890,100.0
13.0,30.1,24.19,2.890,100.0
13.5,30.0,24.20,2.890,100.0
14.0,29.8,24.20,2.890,100.0
14.5,29.5,24.20,2.766,95.7
15.0,29.2,24.20,2.633,91.1
15.5,29.0,24.20,2.500,86.5
16.0,28.7,24.20,2.367,81.9
16.5,28.5,24.20,2.233,77.3
17.0,28.2,24.20,2.100,72.7
17.5,28.3,24.20,2.137,74.0
18.0,28.4,24.20,2.174,75.2
18.5,28.4,24.20,2.212,76.5
19.0,28.5,24.20,2.249,77.8
19.5,28.6,24.20,2.286,79.1
20.0,28.7,24.20,2.323,80.4
20.5,28.6,24.20,2.298,79.5
21.0,28.6,24.20,2.273,78.6
21.5,28.5,24.20,2.248,77.8
22.0,28.5,24.20,2.223,76.9
22.5,28.4,24.20,2.198,76.0
23.0,28.4,24.20,2.172,75.2
23.5,28.3,24.20,2.161,74.8
24.0,28.3,24.20,2.161,74.8

"空调: AC_S_054 (small), 额定功率: 2.82kW, 温度范围: [21.7, 24.5]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.78,0.000,0.0
1.0,27.5,24.04,0.000,0.0
1.5,27.5,24.28,0.000,0.0
2.0,27.5,24.50,0.009,0.3
2.5,27.5,24.50,1.495,53.0
3.0,27.4,24.50,1.486,52.7
3.5,27.4,24.50,1.477,52.4
4.0,27.4,24.50,1.469,52.1
4.5,27.4,24.50,1.460,51.8
5.0,27.4,24.50,1.451,51.4
5.5,27.6,24.50,1.593,56.5
6.0,27.9,24.50,1.735,61.5
6.5,28.2,24.50,1.877,66.6
7.0,28.5,24.39,2.798,99.2
7.5,28.8,24.31,2.820,100.0
8.0,29.1,24.25,2.820,100.0
8.5,29.4,24.22,2.820,100.0
9.0,29.7,24.21,2.820,100.0
9.5,30.0,24.23,2.820,100.0
10.0,30.3,24.26,2.820,100.0
10.5,30.6,24.31,2.820,100.0
11.0,30.9,24.39,2.820,100.0
11.5,30.7,24.44,2.820,100.0
12.0,30.5,24.47,2.820,100.0
12.5,30.3,24.49,2.820,100.0
13.0,30.1,24.50,2.820,100.0
13.5,30.0,24.50,2.760,97.9
14.0,29.8,24.50,2.663,94.4
14.5,29.5,24.50,2.533,89.8
15.0,29.2,24.50,2.404,85.2
15.5,29.0,24.50,2.275,80.7
16.0,28.7,24.50,2.145,76.1
16.5,28.5,24.50,2.016,71.5
17.0,28.2,24.50,1.887,66.9
17.5,28.3,24.50,1.923,68.2
18.0,28.4,24.50,1.959,69.5
18.5,28.4,24.50,1.995,70.7
19.0,28.5,24.50,2.031,72.0
19.5,28.6,24.50,2.067,73.3
20.0,28.7,24.50,2.103,74.6
20.5,28.6,24.50,2.079,73.7
21.0,28.6,24.50,2.054,72.8
21.5,28.5,24.50,2.030,72.0
22.0,28.5,24.50,2.006,71.1
22.5,28.4,24.50,1.981,70.3
23.0,28.4,24.50,1.957,69.4
23.5,28.3,24.50,1.946,69.0
24.0,28.3,24.50,1.946,69.0

"空调: AC_S_033 (small), 额定功率: 3.06kW, 温度范围: [21.4, 25.2]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.76,0.000,0.0
1.0,27.5,24.00,0.000,0.0
1.5,27.5,24.23,0.000,0.0
2.0,27.5,24.43,0.000,0.0
2.5,27.5,24.63,0.000,0.0
3.0,27.4,24.80,0.000,0.0
3.5,27.4,24.97,0.000,0.0
4.0,27.4,25.13,0.000,0.0
4.5,27.4,25.20,0.470,15.3
5.0,27.4,25.20,0.916,29.9
5.5,27.6,25.20,1.034,33.8
6.0,27.9,25.20,1.153,37.7
6.5,28.2,25.20,1.271,41.5
7.0,28.5,25.20,1.390,45.4
7.5,28.8,25.20,1.508,49.3
8.0,29.1,25.20,1.627,53.2
8.5,29.4,25.20,1.758,57.5
9.0,29.7,25.20,1.890,61.8
9.5,30.0,25.20,2.021,66.1
10.0,30.3,25.20,2.153,70.4
10.5,30.6,25.20,2.284,74.7
11.0,30.9,25.20,2.416,78.9
11.5,30.7,25.20,2.334,76.3
12.0,30.5,25.20,2.253,73.6
12.5,30.3,25.20,2.172,71.0
13.0,30.1,25.20,2.090,68.3
13.5,30.0,25.20,2.009,65.7
14.0,29.8,25.20,1.928,63.0
14.5,29.5,25.20,1.820,59.5
15.0,29.2,25.20,1.712,55.9
15.5,29.0,25.20,1.604,52.4
16.0,28.7,25.20,1.496,48.9
16.5,28.5,25.20,1.388,45.3
17.0,28.2,25.20,1.280,41.8
17.5,28.3,25.20,1.310,42.8
18.0,28.4,25.20,1.340,43.8
18.5,28.4,25.20,1.370,44.8
19.0,28.5,25.20,1.400,45.8
19.5,28.6,25.20,1.430,46.7
20.0,28.7,25.20,1.460,47.7
20.5,28.6,25.20,1.440,47.1
21.0,28.6,25.20,1.420,46.4
21.5,28.5,25.20,1.399,45.7
22.0,28.5,25.20,1.379,45.1
22.5,28.4,25.20,1.359,44.4
23.0,28.4,25.20,1.338,43.7
23.5,28.3,25.20,1.329,43.4
24.0,28.3,25.20,1.329,43.4

"空调: AC_S_037 (small), 额定功率: 3.04kW, 温度范围: [21.7, 24.9]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.80,0.000,0.0
1.0,27.5,24.08,0.000,0.0
1.5,27.5,24.33,0.000,0.0
2.0,27.5,24.56,0.000,0.0
2.5,27.5,24.77,0.000,0.0
3.0,27.4,24.90,0.468,15.4
3.5,27.4,24.90,1.224,40.3
4.0,27.4,24.90,1.216,40.0
4.5,27.4,24.90,1.207,39.7
5.0,27.4,24.90,1.199,39.4
5.5,27.6,24.90,1.335,43.9
6.0,27.9,24.90,1.471,48.4
6.5,28.2,24.90,1.607,52.9
7.0,28.5,24.90,1.744,57.4
7.5,28.8,24.90,1.880,61.8
8.0,29.1,24.90,2.016,66.3
8.5,29.4,24.90,2.168,71.3
9.0,29.7,24.90,2.319,76.3
9.5,30.0,24.90,2.470,81.2
10.0,30.3,24.90,2.621,86.2
10.5,30.6,24.90,2.772,91.2
11.0,30.9,24.90,2.923,96.2
11.5,30.7,24.90,2.830,93.1
12.0,30.5,24.90,2.736,90.0
12.5,30.3,24.90,2.643,86.9
13.0,30.1,24.90,2.549,83.9
13.5,30.0,24.90,2.456,80.8
14.0,29.8,24.90,2.362,77.7
14.5,29.5,24.90,2.238,73.6
15.0,29.2,24.90,2.114,69.5
15.5,29.0,24.90,1.989,65.4
16.0,28.7,24.90,1.865,61.4
16.5,28.5,24.90,1.741,57.3
17.0,28.2,24.90,1.617,53.2
17.5,28.3,24.90,1.652,54.3
18.0,28.4,24.90,1.686,55.5
18.5,28.4,24.90,1.721,56.6
19.0,28.5,24.90,1.755,57.7
19.5,28.6,24.90,1.790,58.9
20.0,28.7,24.90,1.825,60.0
20.5,28.6,24.90,1.801,59.3
21.0,28.6,24.90,1.778,58.5
21.5,28.5,24.90,1.755,57.7
22.0,28.5,24.90,1.731,56.9
22.5,28.4,24.90,1.708,56.2
23.0,28.4,24.90,1.684,55.4
23.5,28.3,24.90,1.674,55.1
24.0,28.3,24.90,1.674,55.1

"空调: AC_S_047 (small), 额定功率: 2.78kW, 温度范围: [21.2, 25.9]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.78,0.000,0.0
1.0,27.5,24.05,0.000,0.0
1.5,27.5,24.29,0.000,0.0
2.0,27.5,24.51,0.000,0.0
2.5,27.5,24.71,0.000,0.0
3.0,27.4,24.90,0.000,0.0
3.5,27.4,25.08,0.000,0.0
4.0,27.4,25.24,0.000,0.0
4.5,27.4,25.39,0.000,0.0
5.0,27.4,25.53,0.000,0.0
5.5,27.6,25.67,0.000,0.0
6.0,27.9,25.83,0.000,0.0
6.5,28.2,25.90,0.783,28.2
7.0,28.5,25.90,1.465,52.7
7.5,28.8,25.90,1.624,58.4
8.0,29.1,25.90,1.782,64.1
8.5,29.4,25.90,1.958,70.4
9.0,29.7,25.90,2.135,76.8
9.5,30.0,25.90,2.311,83.1
10.0,30.3,25.90,2.487,89.4
10.5,30.6,25.89,2.726,98.0
11.0,30.9,25.90,2.780,100.0
11.5,30.7,25.90,2.730,98.2
12.0,30.5,25.90,2.621,94.3
12.5,30.3,25.90,2.512,90.4
13.0,30.1,25.90,2.403,86.4
13.5,30.0,25.90,2.294,82.5
14.0,29.8,25.90,2.185,78.6
14.5,29.5,25.90,2.040,73.4
15.0,29.2,25.90,1.896,68.2
15.5,29.0,25.90,1.751,63.0
16.0,28.7,25.90,1.606,57.8
16.5,28.5,25.90,1.462,52.6
17.0,28.2,25.90,1.317,47.4
17.5,28.3,25.90,1.358,48.8
18.0,28.4,25.90,1.398,50.3
18.5,28.4,25.90,1.438,51.7
19.0,28.5,25.90,1.479,53.2
19.5,28.6,25.90,1.519,54.6
20.0,28.7,25.90,1.559,56.1
20.5,28.6,25.90,1.532,55.1
21.0,28.6,25.90,1.505,54.1
21.5,28.5,25.90,1.478,53.1
22.0,28.5,25.90,1.450,52.2
22.5,28.4,25.90,1.423,51.2
23.0,28.4,25.90,1.396,50.2
23.5,28.3,25.90,1.383,49.8
24.0,28.3,25.90,1.383,49.8

"空调: AC_L_002 (large), 额定功率: 12.37kW, 温度范围: [21.7, 24.6]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.54,0.000,0.0
1.0,27.5,23.58,0.000,0.0
1.5,27.5,23.63,0.000,0.0
2.0,27.5,23.67,0.000,0.0
2.5,27.5,23.71,0.000,0.0
3.0,27.4,23.75,0.000,0.0
3.5,27.4,23.78,0.000,0.0
4.0,27.4,23.82,0.000,0.0
4.5,27.4,23.86,0.000,0.0
5.0,27.4,23.90,0.000,0.0
5.5,27.6,23.94,0.000,0.0
6.0,27.9,23.98,0.000,0.0
6.5,28.2,24.02,0.000,0.0
7.0,28.5,24.07,0.000,0.0
7.5,28.8,24.12,0.000,0.0
8.0,29.1,24.17,0.000,0.0
8.5,29.4,24.23,0.000,0.0
9.0,29.7,24.28,0.000,0.0
9.5,30.0,24.34,0.000,0.0
10.0,30.3,24.41,0.000,0.0
10.5,30.6,24.47,0.000,0.0
11.0,30.9,24.54,0.000,0.0
11.5,30.7,24.60,0.107,0.9
12.0,30.5,24.60,2.117,17.1
12.5,30.3,24.60,2.048,16.6
13.0,30.1,24.60,1.979,16.0
13.5,30.0,24.60,1.911,15.4
14.0,29.8,24.60,1.842,14.9
14.5,29.5,24.60,1.751,14.2
15.0,29.2,24.60,1.660,13.4
15.5,29.0,24.60,1.568,12.7
16.0,28.7,24.60,1.477,11.9
16.5,28.5,24.60,1.386,11.2
17.0,28.2,24.60,1.295,10.5
17.5,28.3,24.60,1.320,10.7
18.0,28.4,24.60,1.346,10.9
18.5,28.4,24.60,1.371,11.1
19.0,28.5,24.60,1.397,11.3
19.5,28.6,24.60,1.422,11.5
20.0,28.7,24.60,1.447,11.7
20.5,28.6,24.60,1.430,11.6
21.0,28.6,24.60,1.413,11.4
21.5,28.5,24.60,1.396,11.3
22.0,28.5,24.60,1.379,11.1
22.5,28.4,24.60,1.362,11.0
23.0,28.4,24.60,1.344,10.9
23.5,28.3,24.60,1.336,10.8
24.0,28.3,24.60,1.336,10.8

"空调: AC_M_011 (medium), 额定功率: 4.24kW, 温度范围: [21.2, 25.8]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.69,0.000,0.0
1.0,27.5,23.87,0.000,0.0
1.5,27.5,24.04,0.000,0.0
2.0,27.5,24.20,0.000,0.0
2.5,27.5,24.35,0.000,0.0
3.0,27.4,24.50,0.000,0.0
3.5,27.4,24.63,0.000,0.0
4.0,27.4,24.76,0.000,0.0
4.5,27.4,24.89,0.000,0.0
5.0,27.4,25.00,0.000,0.0
5.5,27.6,25.13,0.000,0.0
6.0,27.9,25.26,0.000,0.0
6.5,28.2,25.39,0.000,0.0
7.0,28.5,25.54,0.000,0.0
7.5,28.8,25.69,0.000,0.0
8.0,29.1,25.80,0.819,19.3
8.5,29.4,25.80,2.892,68.2
9.0,29.7,25.80,3.145,74.2
9.5,30.0,25.80,3.397,80.1
10.0,30.3,25.80,3.650,86.1
10.5,30.6,25.80,3.903,92.0
11.0,30.9,25.80,4.155,98.0
11.5,30.7,25.80,3.999,94.3
12.0,30.5,25.80,3.842,90.6
12.5,30.3,25.80,3.686,86.9
13.0,30.1,25.80,3.530,83.2
13.5,30.0,25.80,3.373,79.6
14.0,29.8,25.80,3.217,75.9
14.5,29.5,25.80,3.009,71.0
15.0,29.2,25.80,2.802,66.1
15.5,29.0,25.80,2.594,61.2
16.0,28.7,25.80,2.387,56.3
16.5,28.5,25.80,2.179,51.4
17.0,28.2,25.80,1.972,46.5
17.5,28.3,25.80,2.030,47.9
18.0,28.4,25.80,2.087,49.2
18.5,28.4,25.80,2.145,50.6
19.0,28.5,25.80,2.203,52.0
19.5,28.6,25.80,2.261,53.3
20.0,28.7,25.80,2.319,54.7
20.5,28.6,25.80,2.280,53.8
21.0,28.6,25.80,2.241,52.8
21.5,28.5,25.80,2.202,51.9
22.0,28.5,25.80,2.163,51.0
22.5,28.4,25.80,2.124,50.1
23.0,28.4,25.80,2.084,49.2
23.5,28.3,25.80,2.066,48.7
24.0,28.3,25.80,2.066,48.7

"空调: AC_M_024 (medium), 额定功率: 4.31kW, 温度范围: [20.5, 25.3]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.65,0.000,0.0
1.0,27.5,23.80,0.000,0.0
1.5,27.5,23.94,0.000,0.0
2.0,27.5,24.07,0.000,0.0
2.5,27.5,24.20,0.000,0.0
3.0,27.4,24.32,0.000,0.0
3.5,27.4,24.44,0.000,0.0
4.0,27.4,24.55,0.000,0.0
4.5,27.4,24.66,0.000,0.0
5.0,27.4,24.76,0.000,0.0
5.5,27.6,24.87,0.000,0.0
6.0,27.9,24.99,0.000,0.0
6.5,28.2,25.11,0.000,0.0
7.0,28.5,25.24,0.000,0.0
