AC_L_002 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_L_002 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.51,0.000,0.0
1.5,23.56,0.000,0.0
2.0,23.61,0.000,0.0
2.5,23.66,0.000,0.0
3.0,23.72,0.000,0.0
3.5,23.78,0.000,0.0
4.0,23.85,0.000,0.0
4.5,23.91,0.000,0.0
5.0,23.97,0.000,0.0
5.5,24.04,0.000,0.0
6.0,24.10,0.000,0.0
6.5,24.15,0.000,0.0
7.0,24.19,0.000,0.0
7.5,24.23,0.000,0.0
8.0,24.25,0.000,0.0
8.5,24.27,0.000,0.0
9.0,24.28,0.000,0.0
9.5,24.29,0.000,0.0
10.0,24.30,0.000,0.0
10.5,24.30,0.000,0.0
11.0,24.30,0.000,0.0
11.5,24.30,0.000,0.0
12.0,24.31,0.000,0.0
12.5,24.30,0.000,0.0
13.0,24.29,0.000,0.0
13.5,24.29,0.000,0.0
14.0,24.28,0.000,0.0
14.5,24.27,0.000,0.0
15.0,24.26,0.000,0.0
15.5,24.25,0.000,0.0
16.0,24.24,0.000,0.0
16.5,24.25,0.000,0.0
17.0,24.25,0.000,0.0
17.5,24.26,0.000,0.0
18.0,24.28,0.000,0.0
18.5,24.29,0.000,0.0
19.0,24.31,0.000,0.0
19.5,24.33,0.000,0.0
20.0,24.35,0.000,0.0
20.5,24.37,0.000,0.0
21.0,24.38,0.000,0.0
21.5,24.40,0.000,0.0
22.0,24.41,0.000,0.0
22.5,24.42,0.000,0.0
23.0,24.44,0.000,0.0
23.5,24.46,0.000,0.0
24.0,24.49,0.000,0.0

"日期: 2021/6/10, 空调: AC_L_002 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.59,0.000,0.0
2.0,23.64,0.000,0.0
2.5,23.70,0.000,0.0
3.0,23.76,0.000,0.0
3.5,23.83,0.000,0.0
4.0,23.91,0.000,0.0
4.5,23.99,0.000,0.0
5.0,24.08,0.000,0.0
5.5,24.17,0.000,0.0
6.0,24.26,0.000,0.0
6.5,24.35,0.000,0.0
7.0,24.44,0.000,0.0
7.5,24.53,0.120,1.0
8.0,24.60,0.787,6.4
8.5,24.60,0.719,5.8
9.0,24.60,0.652,5.3
9.5,24.60,0.585,4.7
10.0,24.60,0.517,4.2
10.5,24.60,0.450,3.6
11.0,24.60,0.206,1.7
11.5,24.60,0.204,1.7
12.0,24.60,0.383,3.1
12.5,24.60,0.371,3.0
13.0,24.60,0.359,2.9
13.5,24.60,0.348,2.8
14.0,24.60,0.336,2.7
14.5,24.60,0.325,2.6
15.0,24.60,0.313,2.5
15.5,24.60,0.293,2.4
16.0,24.60,0.203,1.6
16.5,24.60,0.198,1.6
17.0,24.60,0.193,1.6
17.5,24.60,0.188,1.5
18.0,24.60,0.183,1.5
18.5,24.60,0.178,1.4
19.0,24.60,0.173,1.4
19.5,24.60,0.188,1.5
20.0,24.60,0.202,1.6
20.5,24.60,0.217,1.8
21.0,24.60,0.231,1.9
21.5,24.60,0.246,2.0
22.0,24.60,0.260,2.1
22.5,24.60,0.291,2.4
23.0,24.60,0.322,2.6
23.5,24.60,0.353,2.9
24.0,24.60,0.353,2.9

"日期: 2021/6/11, 空调: AC_L_002 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.61,0.000,0.0
2.0,23.68,0.000,0.0
2.5,23.77,0.000,0.0
3.0,23.85,0.000,0.0
3.5,23.94,0.000,0.0
4.0,24.02,0.000,0.0
4.5,24.10,0.000,0.0
5.0,24.18,0.000,0.0
5.5,24.26,0.000,0.0
6.0,24.34,0.000,0.0
6.5,24.42,0.000,0.0
7.0,24.50,0.000,0.0
7.5,24.58,0.581,4.7
8.0,24.60,0.754,6.1
8.5,24.60,0.691,5.6
9.0,24.60,0.627,5.1
9.5,24.60,0.563,4.5
10.0,24.60,0.499,4.0
10.5,24.60,0.435,3.5
11.0,24.60,0.231,1.9
11.5,24.60,0.210,1.7
12.0,24.60,0.371,3.0
12.5,24.60,0.343,2.8
13.0,24.60,0.316,2.6
13.5,24.60,0.288,2.3
14.0,24.60,0.260,2.1
14.5,24.60,0.233,1.9
15.0,24.60,0.205,1.7
15.5,24.60,0.200,1.6
16.0,24.60,0.190,1.5
16.5,24.60,0.169,1.4
17.0,24.60,0.148,1.2
17.5,24.60,0.127,1.0
18.0,24.60,0.105,0.9
18.5,24.60,0.084,0.7
19.0,24.60,0.063,0.5
19.5,24.60,0.087,0.7
20.0,24.60,0.110,0.9
20.5,24.60,0.133,1.1
21.0,24.60,0.157,1.3
21.5,24.60,0.180,1.5
22.0,24.60,0.203,1.6
22.5,24.60,0.288,2.3
23.0,24.60,0.374,3.0
23.5,24.60,0.459,3.7
24.0,24.60,0.459,3.7

"日期: 2021/6/12, 空调: AC_L_002 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.55,0.000,0.0
2.0,23.58,0.000,0.0
2.5,23.60,0.000,0.0
3.0,23.63,0.000,0.0
3.5,23.66,0.000,0.0
4.0,23.69,0.000,0.0
4.5,23.73,0.000,0.0
5.0,23.78,0.000,0.0
5.5,23.83,0.000,0.0
6.0,23.88,0.000,0.0
6.5,23.92,0.000,0.0
7.0,23.97,0.000,0.0
7.5,24.02,0.000,0.0
8.0,24.06,0.000,0.0
8.5,24.10,0.000,0.0
9.0,24.14,0.000,0.0
9.5,24.17,0.000,0.0
10.0,24.20,0.000,0.0
10.5,24.22,0.000,0.0
11.0,24.23,0.000,0.0
11.5,24.25,0.000,0.0
12.0,24.27,0.000,0.0
12.5,24.28,0.000,0.0
13.0,24.29,0.000,0.0
13.5,24.30,0.000,0.0
14.0,24.31,0.000,0.0
14.5,24.33,0.000,0.0
15.0,24.35,0.000,0.0
15.5,24.37,0.000,0.0
16.0,24.39,0.000,0.0
16.5,24.41,0.000,0.0
17.0,24.43,0.000,0.0
17.5,24.44,0.000,0.0
18.0,24.46,0.000,0.0
18.5,24.47,0.000,0.0
19.0,24.48,0.000,0.0
19.5,24.48,0.000,0.0
20.0,24.49,0.000,0.0
20.5,24.49,0.000,0.0
21.0,24.50,0.000,0.0
21.5,24.51,0.000,0.0
22.0,24.51,0.000,0.0
22.5,24.52,0.000,0.0
23.0,24.53,0.000,0.0
23.5,24.54,0.000,0.0
24.0,24.55,0.000,0.0

"日期: 2021/6/13, 空调: AC_L_002 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.52,0.000,0.0
1.5,23.58,0.000,0.0
2.0,23.64,0.000,0.0
2.5,23.70,0.000,0.0
3.0,23.76,0.000,0.0
3.5,23.82,0.000,0.0
4.0,23.88,0.000,0.0
4.5,23.94,0.000,0.0
5.0,24.00,0.000,0.0
5.5,24.06,0.000,0.0
6.0,24.12,0.000,0.0
6.5,24.18,0.000,0.0
7.0,24.23,0.000,0.0
7.5,24.28,0.000,0.0
8.0,24.34,0.000,0.0
8.5,24.39,0.000,0.0
9.0,24.43,0.000,0.0
9.5,24.48,0.000,0.0
10.0,24.53,0.000,0.0
10.5,24.57,0.102,0.8
11.0,24.60,0.095,0.8
11.5,24.60,0.071,0.6
12.0,24.60,0.381,3.1
12.5,24.60,0.360,2.9
13.0,24.60,0.339,2.7
13.5,24.60,0.318,2.6
14.0,24.60,0.297,2.4
14.5,24.60,0.276,2.2
15.0,24.60,0.255,2.1
15.5,24.60,0.275,2.2
16.0,24.60,0.048,0.4
16.5,24.60,0.059,0.5
17.0,24.60,0.070,0.6
17.5,24.60,0.081,0.7
18.0,24.60,0.091,0.7
18.5,24.60,0.102,0.8
19.0,24.60,0.113,0.9
19.5,24.60,0.143,1.2
20.0,24.60,0.174,1.4
20.5,24.60,0.205,1.7
21.0,24.60,0.236,1.9
21.5,24.60,0.266,2.2
22.0,24.60,0.297,2.4
22.5,24.60,0.327,2.6
