空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_S_042,small,2021/6/1,success,2.4452918438,0.10188716015833334,0.63780462,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/10,success,9.73989147,0.40582881125,0.97958471,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/11,success,9.2319617377,0.3846650724041667,0.86727563,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/12,success,2.2199779413000003,0.09249908088750002,0.4004766,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/13,success,6.6082199395,0.27534249747916667,0.56639823,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/14,success,9.3506165185,0.3896090216041667,0.65929586,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/15,success,8.83682318,0.36820096583333334,0.72931572,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/16,success,13.482780045,0.561782501875,0.86658237,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/17,success,13.38714819,0.55779784125,1.1272503,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/18,success,14.401147885,0.6000478285416667,0.9970319,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/19,success,16.09266192,0.67052758,1.3220581,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/2,success,5.065110215,0.21104625895833332,0.54733342,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/20,success,16.281517145,0.6783965477083332,1.264517,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/21,success,13.581149355,0.565881223125,1.0178299,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/22,success,3.12253463305,0.13010560971041665,0.43121139,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/23,success,0.6911611315,0.028798380479166667,0.25442858,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/24,success,0.0,0.0,0.0,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/25,success,2.7144014385,0.1131000599375,0.49360532,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/26,success,5.939182401,0.247465933375,0.46032855,2.87,"[20.8, 25.2]"
AC_S_042,small,2021/6/27,success,9.339533285,0.3891472202083333,0.63965333,2.87,"[20.8, 25.2]"
