AC_M_026 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_026 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.68,0.000,0.0
2.0,23.85,0.000,0.0
2.5,24.03,0.000,0.0
3.0,24.21,0.000,0.0
3.5,24.39,0.000,0.0
4.0,24.58,0.000,0.0
4.5,24.76,0.000,0.0
5.0,24.95,0.654,16.5
5.5,25.00,0.775,19.6
6.0,25.00,0.653,16.5
6.5,25.00,0.532,13.4
7.0,25.00,0.411,10.4
7.5,25.00,0.290,7.3
8.0,25.00,0.169,4.3
8.5,25.00,0.105,2.6
9.0,25.00,0.041,1.0
9.5,25.00,0.000,0.0
10.0,25.00,0.000,0.0
10.5,24.98,0.000,0.0
11.0,24.95,0.000,0.0
11.5,24.93,0.000,0.0
12.0,24.92,0.000,0.0
12.5,24.88,0.000,0.0
13.0,24.84,0.000,0.0
13.5,24.80,0.000,0.0
14.0,24.75,0.000,0.0
14.5,24.71,0.000,0.0
15.0,24.66,0.000,0.0
15.5,24.61,0.000,0.0
16.0,24.57,0.000,0.0
16.5,24.58,0.000,0.0
17.0,24.59,0.000,0.0
17.5,24.62,0.000,0.0
18.0,24.65,0.000,0.0
18.5,24.69,0.000,0.0
19.0,24.73,0.000,0.0
19.5,24.79,0.000,0.0
20.0,24.83,0.000,0.0
20.5,24.88,0.000,0.0
21.0,24.91,0.000,0.0
21.5,24.94,0.000,0.0
22.0,24.96,0.000,0.0
22.5,24.97,0.026,0.7
23.0,25.00,0.268,6.8
23.5,25.00,0.372,9.4
24.0,25.00,0.372,9.4

"日期: 2021/6/10, 空调: AC_M_026 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.61,0.000,0.0
1.5,23.78,0.000,0.0
2.0,23.95,0.000,0.0
2.5,24.13,0.000,0.0
3.0,24.32,0.000,0.0
3.5,24.54,0.000,0.0
4.0,24.76,0.026,0.7
4.5,25.00,1.246,31.5
5.0,25.00,1.358,34.3
5.5,25.00,1.342,33.9
6.0,25.00,1.325,33.5
6.5,25.00,1.309,33.1
7.0,25.00,1.293,32.6
7.5,25.00,1.277,32.2
8.0,25.00,1.260,31.8
8.5,25.00,1.147,29.0
9.0,25.00,1.033,26.1
9.5,25.00,0.919,23.2
10.0,25.00,0.806,20.3
10.5,25.00,0.692,17.5
11.0,25.00,0.280,7.1
11.5,25.00,0.278,7.0
12.0,25.00,0.578,14.6
12.5,25.00,0.559,14.1
13.0,25.00,0.539,13.6
13.5,25.00,0.520,13.1
14.0,25.00,0.500,12.6
14.5,25.00,0.481,12.1
15.0,25.00,0.461,11.6
15.5,25.00,0.426,10.8
16.0,25.00,0.275,7.0
16.5,25.00,0.267,6.7
17.0,25.00,0.259,6.5
17.5,25.00,0.250,6.3
18.0,25.00,0.242,6.1
18.5,25.00,0.233,5.9
19.0,25.00,0.225,5.7
19.5,25.00,0.249,6.3
20.0,25.00,0.274,6.9
20.5,25.00,0.298,7.5
21.0,25.00,0.323,8.2
21.5,25.00,0.347,8.8
22.0,25.00,0.372,9.4
22.5,25.00,0.424,10.7
23.0,25.00,0.477,12.0
23.5,25.00,0.529,13.4
24.0,25.00,0.529,13.4

"日期: 2021/6/11, 空调: AC_M_026 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.63,0.000,0.0
1.5,23.85,0.000,0.0
2.0,24.09,0.000,0.0
2.5,24.36,0.000,0.0
3.0,24.62,0.000,0.0
3.5,24.87,0.532,13.4
4.0,25.00,1.151,29.1
4.5,25.00,1.154,29.1
5.0,25.00,1.157,29.2
5.5,25.00,1.165,29.4
6.0,25.00,1.174,29.6
6.5,25.00,1.182,29.8
7.0,25.00,1.190,30.0
7.5,25.00,1.198,30.2
8.0,25.00,1.206,30.5
8.5,25.00,1.098,27.7
9.0,25.00,0.990,25.0
9.5,25.00,0.882,22.3
10.0,25.00,0.774,19.6
10.5,25.00,0.666,16.8
11.0,25.00,0.322,8.1
11.5,25.00,0.288,7.3
12.0,25.00,0.558,14.1
12.5,25.00,0.512,12.9
13.0,25.00,0.465,11.7
13.5,25.00,0.418,10.6
14.0,25.00,0.372,9.4
14.5,25.00,0.325,8.2
15.0,25.00,0.278,7.0
15.5,25.00,0.270,6.8
16.0,25.00,0.253,6.4
16.5,25.00,0.217,5.5
17.0,25.00,0.182,4.6
17.5,25.00,0.146,3.7
18.0,25.00,0.111,2.8
18.5,25.00,0.075,1.9
19.0,25.00,0.039,1.0
19.5,25.00,0.079,2.0
20.0,25.00,0.118,3.0
20.5,25.00,0.157,4.0
21.0,25.00,0.197,5.0
21.5,25.00,0.236,6.0
22.0,25.00,0.275,7.0
22.5,25.00,0.419,10.6
23.0,25.00,0.563,14.2
23.5,25.00,0.707,17.9
24.0,25.00,0.707,17.9

"日期: 2021/6/12, 空调: AC_M_026 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.60,0.000,0.0
1.5,23.67,0.000,0.0
2.0,23.74,0.000,0.0
2.5,23.81,0.000,0.0
3.0,23.90,0.000,0.0
3.5,23.99,0.000,0.0
4.0,24.10,0.000,0.0
4.5,24.22,0.000,0.0
5.0,24.35,0.000,0.0
5.5,24.49,0.000,0.0
6.0,24.63,0.000,0.0
6.5,24.76,0.000,0.0
7.0,24.89,0.020,0.5
7.5,25.00,0.551,13.9
8.0,25.00,0.545,13.8
8.5,25.00,0.448,11.3
9.0,25.00,0.351,8.9
9.5,25.00,0.253,6.4
10.0,25.00,0.156,3.9
10.5,25.00,0.059,1.5
11.0,25.00,0.245,6.2
11.5,25.00,0.236,6.0
12.0,25.00,0.000,0.0
12.5,24.99,0.000,0.0
13.0,24.99,0.030,0.8
13.5,25.00,0.105,2.7
14.0,25.00,0.153,3.9
14.5,25.00,0.201,5.1
15.0,25.00,0.248,6.3
15.5,25.00,0.209,5.3
16.0,25.00,0.228,5.8
16.5,25.00,0.190,4.8
17.0,25.00,0.152,3.8
17.5,25.00,0.114,2.9
18.0,25.00,0.077,1.9
18.5,25.00,0.039,1.0
19.0,25.00,0.001,0.0
19.5,25.00,0.005,0.1
20.0,25.00,0.010,0.3
20.5,25.00,0.015,0.4
21.0,25.00,0.019,0.5
21.5,25.00,0.024,0.6
22.0,25.00,0.028,0.7
22.5,25.00,0.045,1.1
23.0,25.00,0.062,1.6
23.5,25.00,0.078,2.0
24.0,25.00,0.078,2.0

"日期: 2021/6/13, 空调: AC_M_026 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.58,0.000,0.0
1.5,23.76,0.000,0.0
2.0,23.95,0.000,0.0
2.5,24.14,0.000,0.0
3.0,24.32,0.000,0.0
3.5,24.50,0.000,0.0
4.0,24.68,0.000,0.0
4.5,24.85,0.087,2.2
5.0,25.00,0.799,20.2
5.5,25.00,0.781,19.7
6.0,25.00,0.763,19.3
6.5,25.00,0.745,18.8
7.0,25.00,0.727,18.4
7.5,25.00,0.709,17.9
8.0,25.00,0.691,17.4
8.5,25.00,0.672,17.0
9.0,25.00,0.653,16.5
9.5,25.00,0.633,16.0
10.0,25.00,0.614,15.5
