AC_S_011 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_011 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.57,0.000,0.0
1.5,23.89,0.000,0.0
2.0,24.23,0.000,0.0
2.5,24.59,0.000,0.0
3.0,24.94,0.000,0.0
3.5,25.28,0.000,0.0
4.0,25.61,0.248,8.3
4.5,25.80,0.625,21.0
5.0,25.80,0.656,22.0
5.5,25.80,0.551,18.5
6.0,25.80,0.447,15.0
6.5,25.80,0.342,11.5
7.0,25.80,0.238,8.0
7.5,25.80,0.134,4.5
8.0,25.80,0.029,1.0
8.5,25.80,0.000,0.0
9.0,25.79,0.000,0.0
9.5,25.75,0.000,0.0
10.0,25.68,0.000,0.0
10.5,25.59,0.000,0.0
11.0,25.48,0.000,0.0
11.5,25.41,0.000,0.0
12.0,25.35,0.000,0.0
12.5,25.23,0.000,0.0
13.0,25.11,0.000,0.0
13.5,25.00,0.000,0.0
14.0,24.89,0.000,0.0
14.5,24.78,0.000,0.0
15.0,24.67,0.000,0.0
15.5,24.57,0.000,0.0
16.0,24.49,0.000,0.0
16.5,24.51,0.000,0.0
17.0,24.54,0.000,0.0
17.5,24.60,0.000,0.0
18.0,24.67,0.000,0.0
18.5,24.75,0.000,0.0
19.0,24.85,0.000,0.0
19.5,24.95,0.000,0.0
20.0,25.04,0.000,0.0
20.5,25.11,0.000,0.0
21.0,25.17,0.000,0.0
21.5,25.21,0.000,0.0
22.0,25.23,0.000,0.0
22.5,25.24,0.000,0.0
23.0,25.30,0.000,0.0
23.5,25.39,0.000,0.0
24.0,25.53,0.000,0.0

"日期: 2021/6/10, 空调: AC_S_011 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.74,0.000,0.0
1.5,24.09,0.000,0.0
2.0,24.44,0.000,0.0
2.5,24.79,0.000,0.0
3.0,25.16,0.000,0.0
3.5,25.55,0.311,10.4
4.0,25.80,0.861,28.9
4.5,25.80,0.958,32.1
5.0,25.80,1.054,35.4
5.5,25.80,1.040,34.9
6.0,25.80,1.026,34.4
6.5,25.80,1.012,34.0
7.0,25.80,0.998,33.5
7.5,25.80,0.984,33.0
8.0,25.80,0.970,32.6
8.5,25.80,0.872,29.3
9.0,25.80,0.774,26.0
9.5,25.80,0.676,22.7
10.0,25.80,0.578,19.4
10.5,25.80,0.480,16.1
11.0,25.80,0.125,4.2
11.5,25.80,0.123,4.1
12.0,25.80,0.382,12.8
12.5,25.80,0.365,12.3
13.0,25.80,0.348,11.7
13.5,25.80,0.332,11.1
14.0,25.80,0.315,10.6
14.5,25.80,0.298,10.0
15.0,25.80,0.281,9.4
15.5,25.80,0.251,8.4
16.0,25.80,0.121,4.1
16.5,25.80,0.114,3.8
17.0,25.80,0.107,3.6
17.5,25.80,0.099,3.3
18.0,25.80,0.092,3.1
