空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_S_002,small,2021/6/1,success,4.8958366405,0.20399319335416666,0.69944788,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/10,success,12.126152265,0.505256344375,1.0129277,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/11,success,11.71229443,0.4880122679166667,0.90991811,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/12,success,5.01980919,0.20915871625000002,0.48579835,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/13,success,9.25220999,0.38550874958333337,0.63395413,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/14,success,11.80659354,0.4919413975,0.71915959,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/15,success,11.306730837,0.471113784875,0.78338163,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/16,success,15.62233141,0.6509304754166666,0.90928225,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/17,success,15.518783875,0.6466159947916666,1.1483662,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/18,success,16.483281389,0.6868033912083332,1.0294601,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/19,success,18.0422657,0.7517610708333334,1.3270434,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/2,success,7.5027147445,0.31261311435416667,0.62250861,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/20,success,18.20291161,0.7584546504166667,1.2742669,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/21,success,15.74210299,0.6559209579166666,1.0593456,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/22,success,5.4275255685,0.22614689868750001,0.50996109,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/23,success,3.0076517342,0.12531882225833332,0.40207655,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/24,success,1.4087500179999999,0.05869791741666666,0.18503576,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/25,success,5.472340364,0.22801418183333333,0.56718865,2.85,"[21.5, 24.2]"
AC_S_002,small,2021/6/26,success,8.599259845,0.3583024935416667,0.53666728,2.85,"[21.5, 24.2]"
