AC_S_026 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_026 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.79,0.000,0.0
2.0,24.04,0.000,0.0
2.5,24.32,0.000,0.0
3.0,24.59,0.122,4.9
3.5,24.80,0.605,24.1
4.0,24.80,0.631,25.1
4.5,24.80,0.657,26.2
5.0,24.80,0.684,27.2
5.5,24.80,0.594,23.7
6.0,24.80,0.505,20.1
6.5,24.80,0.416,16.6
7.0,24.80,0.327,13.0
7.5,24.80,0.238,9.5
8.0,24.80,0.149,5.9
8.5,24.80,0.102,4.1
9.0,24.80,0.055,2.2
9.5,24.80,0.008,0.3
10.0,24.80,0.000,0.0
10.5,24.78,0.000,0.0
11.0,24.75,0.000,0.0
11.5,24.74,0.000,0.0
12.0,24.73,0.000,0.0
12.5,24.68,0.000,0.0
13.0,24.62,0.000,0.0
13.5,24.56,0.000,0.0
14.0,24.51,0.000,0.0
14.5,24.45,0.000,0.0
15.0,24.39,0.000,0.0
15.5,24.33,0.000,0.0
16.0,24.28,0.000,0.0
16.5,24.31,0.000,0.0
17.0,24.34,0.000,0.0
17.5,24.39,0.000,0.0
18.0,24.46,0.000,0.0
18.5,24.53,0.000,0.0
19.0,24.61,0.000,0.0
19.5,24.70,0.000,0.0
20.0,24.78,0.111,4.4
20.5,24.80,0.129,5.1
21.0,24.80,0.109,4.3
21.5,24.80,0.090,3.6
22.0,24.80,0.070,2.8
22.5,24.80,0.146,5.8
23.0,24.80,0.222,8.8
23.5,24.80,0.298,11.9
24.0,24.80,0.298,11.9

"日期: 2021/6/10, 空调: AC_S_026 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.67,0.000,0.0
1.5,23.94,0.000,0.0
2.0,24.20,0.000,0.0
2.5,24.47,0.000,0.0
3.0,24.75,0.597,23.8
3.5,24.80,0.776,30.9
4.0,24.80,0.859,34.2
4.5,24.80,0.941,37.5
5.0,24.80,1.023,40.8
5.5,24.80,1.011,40.3
6.0,24.80,0.999,39.8
6.5,24.80,0.987,39.3
7.0,24.80,0.975,38.9
7.5,24.80,0.963,38.4
8.0,24.80,0.952,37.9
8.5,24.80,0.868,34.6
9.0,24.80,0.784,31.2
9.5,24.80,0.701,27.9
