AC_L_003 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_L_003 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.51,0.000,0.0
1.5,23.57,0.000,0.0
2.0,23.63,0.000,0.0
2.5,23.69,0.000,0.0
3.0,23.76,0.000,0.0
3.5,23.84,0.000,0.0
4.0,23.91,0.000,0.0
4.5,23.98,0.000,0.0
5.0,24.06,0.000,0.0
5.5,24.14,0.000,0.0
6.0,24.21,0.000,0.0
6.5,24.27,0.000,0.0
7.0,24.31,0.000,0.0
7.5,24.35,0.000,0.0
8.0,24.38,0.000,0.0
8.5,24.40,0.000,0.0
9.0,24.42,0.000,0.0
9.5,24.43,0.000,0.0
10.0,24.43,0.000,0.0
10.5,24.43,0.000,0.0
11.0,24.43,0.000,0.0
11.5,24.43,0.000,0.0
12.0,24.43,0.000,0.0
12.5,24.43,0.000,0.0
13.0,24.42,0.000,0.0
13.5,24.41,0.000,0.0
14.0,24.39,0.000,0.0
14.5,24.38,0.000,0.0
15.0,24.37,0.000,0.0
15.5,24.36,0.000,0.0
16.0,24.35,0.000,0.0
16.5,24.35,0.000,0.0
17.0,24.36,0.000,0.0
17.5,24.37,0.000,0.0
18.0,24.38,0.000,0.0
18.5,24.40,0.000,0.0
19.0,24.42,0.000,0.0
19.5,24.45,0.000,0.0
20.0,24.47,0.000,0.0
20.5,24.49,0.000,0.0
21.0,24.50,0.000,0.0
21.5,24.52,0.000,0.0
22.0,24.53,0.000,0.0
22.5,24.54,0.000,0.0
23.0,24.56,0.000,0.0
23.5,24.58,0.131,0.7
24.0,24.60,0.257,1.3

"日期: 2021/6/10, 空调: AC_L_003 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.60,0.000,0.0
2.0,23.67,0.000,0.0
2.5,23.73,0.000,0.0
3.0,23.81,0.000,0.0
3.5,23.89,0.000,0.0
4.0,23.98,0.000,0.0
4.5,24.08,0.000,0.0
5.0,24.18,0.000,0.0
5.5,24.29,0.000,0.0
6.0,24.40,0.000,0.0
6.5,24.51,0.078,0.4
7.0,24.60,0.797,4.1
7.5,24.60,0.788,4.0
8.0,24.60,0.778,4.0
8.5,24.60,0.712,3.7
9.0,24.60,0.645,3.3
9.5,24.60,0.578,3.0
10.0,24.60,0.512,2.6
10.5,24.60,0.445,2.3
11.0,24.60,0.204,1.0
11.5,24.60,0.202,1.0
12.0,24.60,0.378,1.9
12.5,24.60,0.367,1.9
13.0,24.60,0.355,1.8
13.5,24.60,0.344,1.8
14.0,24.60,0.333,1.7
14.5,24.60,0.321,1.7
15.0,24.60,0.310,1.6
15.5,24.60,0.289,1.5
16.0,24.60,0.201,1.0
16.5,24.60,0.196,1.0
17.0,24.60,0.191,1.0
17.5,24.60,0.186,1.0
18.0,24.60,0.181,0.9
18.5,24.60,0.176,0.9
19.0,24.60,0.171,0.9
19.5,24.60,0.186,1.0
20.0,24.60,0.200,1.0
20.5,24.60,0.214,1.1
21.0,24.60,0.229,1.2
21.5,24.60,0.243,1.2
22.0,24.60,0.258,1.3
22.5,24.60,0.288,1.5
23.0,24.60,0.319,1.6
23.5,24.60,0.350,1.8
24.0,24.60,0.350,1.8

"日期: 2021/6/11, 空调: AC_L_003 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.63,0.000,0.0
2.0,23.72,0.000,0.0
2.5,23.82,0.000,0.0
3.0,23.92,0.000,0.0
3.5,24.02,0.000,0.0
4.0,24.11,0.000,0.0
4.5,24.21,0.000,0.0
5.0,24.31,0.000,0.0
5.5,24.40,0.000,0.0
6.0,24.49,0.000,0.0
6.5,24.59,0.635,3.3
7.0,24.60,0.737,3.8
7.5,24.60,0.742,3.8
8.0,24.60,0.746,3.8
8.5,24.60,0.683,3.5
9.0,24.60,0.620,3.2
9.5,24.60,0.557,2.9
10.0,24.60,0.493,2.5
10.5,24.60,0.430,2.2
11.0,24.60,0.228,1.2
11.5,24.60,0.208,1.1
12.0,24.60,0.367,1.9
12.5,24.60,0.339,1.7
13.0,24.60,0.312,1.6
13.5,24.60,0.285,1.5
14.0,24.60,0.257,1.3
14.5,24.60,0.230,1.2
15.0,24.60,0.203,1.0
15.5,24.60,0.198,1.0
16.0,24.60,0.188,1.0
16.5,24.60,0.167,0.9
17.0,24.60,0.146,0.8
17.5,24.60,0.125,0.6
18.0,24.60,0.104,0.5
18.5,24.60,0.083,0.4
19.0,24.60,0.063,0.3
19.5,24.60,0.086,0.4
20.0,24.60,0.109,0.6
20.5,24.60,0.132,0.7
21.0,24.60,0.155,0.8
21.5,24.60,0.178,0.9
22.0,24.60,0.201,1.0
22.5,24.60,0.285,1.5
23.0,24.60,0.370,1.9
23.5,24.60,0.454,2.3
24.0,24.60,0.454,2.3

"日期: 2021/6/12, 空调: AC_L_003 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.56,0.000,0.0
2.0,23.59,0.000,0.0
2.5,23.62,0.000,0.0
3.0,23.65,0.000,0.0
3.5,23.69,0.000,0.0
4.0,23.73,0.000,0.0
4.5,23.78,0.000,0.0
5.0,23.83,0.000,0.0
5.5,23.89,0.000,0.0
6.0,23.94,0.000,0.0
6.5,24.00,0.000,0.0
7.0,24.05,0.000,0.0
7.5,24.11,0.000,0.0
8.0,24.16,0.000,0.0
8.5,24.21,0.000,0.0
9.0,24.25,0.000,0.0
9.5,24.29,0.000,0.0
10.0,24.32,0.000,0.0
10.5,24.34,0.000,0.0
11.0,24.35,0.000,0.0
11.5,24.38,0.000,0.0
12.0,24.40,0.000,0.0
12.5,24.41,0.000,0.0
13.0,24.41,0.000,0.0
13.5,24.43,0.000,0.0
14.0,24.44,0.000,0.0
14.5,24.46,0.000,0.0
15.0,24.48,0.000,0.0
15.5,24.51,0.000,0.0
16.0,24.53,0.000,0.0
16.5,24.55,0.000,0.0
17.0,24.57,0.000,0.0
17.5,24.59,0.000,0.0
18.0,24.60,0.082,0.4
18.5,24.60,0.062,0.3
19.0,24.60,0.040,0.2
19.5,24.60,0.043,0.2
20.0,24.60,0.045,0.2
20.5,24.60,0.048,0.2
21.0,24.60,0.051,0.3
21.5,24.60,0.053,0.3
22.0,24.60,0.056,0.3
22.5,24.60,0.066,0.3
23.0,24.60,0.076,0.4
23.5,24.60,0.085,0.4
24.0,24.60,0.085,0.4

"日期: 2021/6/13, 空调: AC_L_003 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.53,0.000,0.0
1.5,23.59,0.000,0.0
2.0,23.66,0.000,0.0
2.5,23.73,0.000,0.0
3.0,23.81,0.000,0.0
3.5,23.88,0.000,0.0
4.0,23.95,0.000,0.0
4.5,24.02,0.000,0.0
5.0,24.09,0.000,0.0
5.5,24.16,0.000,0.0
6.0,24.23,0.000,0.0
6.5,24.30,0.000,0.0
7.0,24.36,0.000,0.0
7.5,24.42,0.000,0.0
8.0,24.48,0.000,0.0
8.5,24.54,0.000,0.0
9.0,24.60,0.386,2.0
9.5,24.60,0.411,2.1
10.0,24.60,0.400,2.1
10.5,24.60,0.388,2.0
11.0,24.60,0.094,0.5
11.5,24.60,0.071,0.4
12.0,24.60,0.377,1.9
12.5,24.60,0.356,1.8
13.0,24.60,0.336,1.7
13.5,24.60,0.315,1.6
14.0,24.60,0.294,1.5
14.5,24.60,0.273,1.4
15.0,24.60,0.252,1.3
15.5,24.60,0.272,1.4
16.0,24.60,0.048,0.2
16.5,24.60,0.058,0.3
17.0,24.60,0.069,0.4
17.5,24.60,0.080,0.4
18.0,24.60,0.090,0.5
18.5,24.60,0.101,0.5
19.0,24.60,0.111,0.6
19.5,24.60,0.142,0.7
20.0,24.60,0.172,0.9
20.5,24.60,0.203,1.0
21.0,24.60,0.233,1.2
21.5,24.60,0.263,1.4
22.0,24.60,0.294,1.5
22.5,24.60,0.324,1.7
