AC_M_012 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_012 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.54,0.000,0.0
1.5,23.72,0.000,0.0
2.0,23.92,0.000,0.0
2.5,24.14,0.000,0.0
3.0,24.36,0.879,20.5
3.5,24.40,1.128,26.3
4.0,24.40,1.173,27.3
4.5,24.40,1.219,28.4
5.0,24.40,1.264,29.5
5.5,24.40,1.110,25.9
6.0,24.40,0.957,22.3
6.5,24.40,0.803,18.7
7.0,24.40,0.649,15.1
7.5,24.40,0.496,11.6
8.0,24.40,0.342,8.0
8.5,24.40,0.261,6.1
9.0,24.40,0.180,4.2
9.5,24.40,0.099,2.3
10.0,24.40,0.017,0.4
10.5,24.40,0.000,0.0
11.0,24.39,0.000,0.0
11.5,24.40,0.028,0.7
12.0,24.40,0.000,0.0
12.5,24.37,0.000,0.0
13.0,24.34,0.000,0.0
13.5,24.31,0.000,0.0
14.0,24.27,0.000,0.0
14.5,24.24,0.000,0.0
15.0,24.20,0.000,0.0
15.5,24.16,0.000,0.0
16.0,24.14,0.000,0.0
16.5,24.16,0.000,0.0
17.0,24.20,0.000,0.0
17.5,24.24,0.000,0.0
18.0,24.29,0.000,0.0
18.5,24.36,0.147,3.4
19.0,24.40,0.407,9.5
19.5,24.40,0.374,8.7
20.0,24.40,0.341,7.9
20.5,24.40,0.307,7.2
21.0,24.40,0.274,6.4
21.5,24.40,0.240,5.6
22.0,24.40,0.207,4.8
22.5,24.40,0.338,7.9
23.0,24.40,0.468,10.9
23.5,24.40,0.599,14.0
24.0,24.40,0.599,14.0

"日期: 2021/6/10, 空调: AC_M_012 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.63,0.000,0.0
1.5,23.84,0.000,0.0
2.0,24.05,0.000,0.0
2.5,24.26,0.470,10.9
3.0,24.40,1.282,29.9
3.5,24.40,1.424,33.2
4.0,24.40,1.566,36.5
4.5,24.40,1.708,39.8
5.0,24.40,1.849,43.1
5.5,24.40,1.829,42.6
6.0,24.40,1.808,42.2
6.5,24.40,1.788,41.7
7.0,24.40,1.767,41.2
7.5,24.40,1.747,40.7
8.0,24.40,1.726,40.2
8.5,24.40,1.582,36.9
9.0,24.40,1.438,33.5
9.5,24.40,1.294,30.2
10.0,24.40,1.149,26.8
10.5,24.40,1.005,23.4
11.0,24.40,0.483,11.3
11.5,24.40,0.480,11.2
12.0,24.40,0.861,20.1
12.5,24.40,0.836,19.5
13.0,24.40,0.812,18.9
13.5,24.40,0.787,18.3
14.0,24.40,0.762,17.8
14.5,24.40,0.737,17.2
15.0,24.40,0.713,16.6
15.5,24.40,0.669,15.6
16.0,24.40,0.478,11.1
16.5,24.40,0.467,10.9
17.0,24.40,0.456,10.6
17.5,24.40,0.445,10.4
18.0,24.40,0.435,10.1
18.5,24.40,0.424,9.9
19.0,24.40,0.413,9.6
19.5,24.40,0.444,10.4
20.0,24.40,0.476,11.1
20.5,24.40,0.507,11.8
21.0,24.40,0.538,12.5
21.5,24.40,0.569,13.3
22.0,24.40,0.600,14.0
22.5,24.40,0.666,15.5
23.0,24.40,0.732,17.1
23.5,24.40,0.799,18.6
24.0,24.40,0.799,18.6

"日期: 2021/6/11, 空调: AC_M_012 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.65,0.000,0.0
1.5,23.92,0.000,0.0
2.0,24.22,0.709,16.5
2.5,24.40,1.575,36.7
3.0,24.40,1.579,36.8
3.5,24.40,1.583,36.9
4.0,24.40,1.587,37.0
4.5,24.40,1.591,37.1
5.0,24.40,1.595,37.2
5.5,24.40,1.606,37.4
6.0,24.40,1.616,37.7
6.5,24.40,1.626,37.9
7.0,24.40,1.636,38.1
7.5,24.40,1.647,38.4
8.0,24.40,1.657,38.6
8.5,24.40,1.520,35.4
9.0,24.40,1.383,32.2
9.5,24.40,1.247,29.1
10.0,24.40,1.110,25.9
10.5,24.40,0.973,22.7
11.0,24.40,0.537,12.5
11.5,24.40,0.493,11.5
12.0,24.40,0.836,19.5
12.5,24.40,0.777,18.1
13.0,24.40,0.718,16.7
13.5,24.40,0.659,15.4
14.0,24.40,0.599,14.0
14.5,24.40,0.540,12.6
15.0,24.40,0.481,11.2
15.5,24.40,0.470,11.0
16.0,24.40,0.449,10.5
16.5,24.40,0.404,9.4
17.0,24.40,0.359,8.4
17.5,24.40,0.314,7.3
18.0,24.40,0.268,6.3
18.5,24.40,0.223,5.2
19.0,24.40,0.178,4.2
19.5,24.40,0.228,5.3
20.0,24.40,0.278,6.5
20.5,24.40,0.328,7.6
21.0,24.40,0.378,8.8
21.5,24.40,0.428,10.0
22.0,24.40,0.478,11.1
22.5,24.40,0.660,15.4
23.0,24.40,0.842,19.6
23.5,24.40,1.025,23.9
24.0,24.40,1.025,23.9

"日期: 2021/6/12, 空调: AC_M_012 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.63,0.000,0.0
1.5,23.71,0.000,0.0
2.0,23.79,0.000,0.0
2.5,23.88,0.000,0.0
3.0,23.98,0.000,0.0
3.5,24.09,0.000,0.0
4.0,24.22,0.000,0.0
4.5,24.36,0.569,13.3
5.0,24.40,0.865,20.2
5.5,24.40,0.857,20.0
6.0,24.40,0.850,19.8
6.5,24.40,0.842,19.6
7.0,24.40,0.835,19.5
7.5,24.40,0.827,19.3
8.0,24.40,0.820,19.1
8.5,24.40,0.696,16.2
9.0,24.40,0.573,13.4
9.5,24.40,0.450,10.5
10.0,24.40,0.326,7.6
