AC_ID,Date,Hour,Sampled_Price,Base_Price,Real_Price,AC_Power,Outdoor_Temperature,Indoor_Temperature,Next_Indoor_Temperature,Dynamic_T_max,Initial_Temperature,Is_Real_Data,Is_Rolling,Rolling_Hour
AC_S_004,2021/09/01,3,1.0,-1.0,-1.0,0.0,26.052314815277775,22.277718,,23.495366785167636,21.474543938380275,,True,3
AC_S_004,2021/09/01,3,-1.0,-1.0,-1.0,4.305304,26.052314815277775,21.474543938380275,21.008171875220114,23.495366785167636,21.474543938380275,True,True,3
AC_S_004,2021/09/01,12,-1.0,1.0,1.0,5.5653568,26.140509259722222,21.8,,25.966396080487794,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,-0.7777777777777778,1.0,1.0,5.5653568,26.140509259722222,21.8,,25.67947751235858,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,-0.5555555555555556,1.0,1.0,5.5653568,26.140509259722222,21.8,,25.395729282711542,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,-0.33333333333333337,1.0,1.0,5.5653568,26.140509259722222,21.8,,25.115116360540643,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,-0.11111111111111116,1.0,1.0,5.5653568,26.140509259722222,21.8,,24.83760410191883,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,0.11111111111111116,1.0,1.0,0.0,26.140509259722222,22.219605,,24.56315824572095,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,0.33333333333333326,1.0,1.0,0.0,26.140509259722222,22.219605,,24.29174490939395,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,0.5555555555555554,1.0,1.0,0.0,26.140509259722222,22.219605,,24.023330584773806,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,0.7777777777777777,1.0,1.0,0.0,26.140509259722222,22.219605,,23.757882133948645,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,1.0,1.0,1.0,0.0,26.140509259722222,22.219605,,23.495366785167636,21.008171875220114,,True,12
AC_S_004,2021/09/01,12,1.0,1.0,1.0,0.0,26.140509259722222,21.008171875220114,21.511231351860637,23.495366785167636,21.008171875220114,True,True,12
AC_S_004,2021/09/01,13,-1.0,1.0,1.0,5.5653568,25.746064815277776,21.8,,25.966396080487794,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,-0.7777777777777778,1.0,1.0,5.5653568,25.746064815277776,21.8,,25.67947751235858,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,-0.5555555555555556,1.0,1.0,5.5653568,25.746064815277776,21.8,,25.395729282711542,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,-0.33333333333333337,1.0,1.0,5.5653568,25.746064815277776,21.8,,25.115116360540643,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,-0.11111111111111116,1.0,1.0,5.5653568,25.746064815277776,21.8,,24.83760410191883,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,0.11111111111111116,1.0,1.0,0.0,25.746064815277776,22.212188,,24.56315824572095,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,0.33333333333333326,1.0,1.0,0.0,25.746064815277776,22.212188,,24.29174490939395,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,0.5555555555555554,1.0,1.0,0.0,25.746064815277776,22.212188,,24.023330584773806,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,0.7777777777777777,1.0,1.0,0.0,25.746064815277776,22.212188,,23.757882133948645,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,1.0,1.0,1.0,0.0,25.746064815277776,22.212188,,23.495366785167636,21.511231351860637,,True,13
AC_S_004,2021/09/01,13,1.0,1.0,1.0,0.0,25.746064815277776,21.511231351860637,21.953854080679527,23.495366785167636,21.511231351860637,True,True,13
AC_S_004,2021/09/01,14,-1.0,1.0,1.0,5.5653568,25.825694444444444,21.8,,25.966396080487794,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,-0.7777777777777778,1.0,1.0,5.5653568,25.825694444444444,21.8,,25.67947751235858,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,-0.5555555555555556,1.0,1.0,5.5653568,25.825694444444444,21.8,,25.395729282711542,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,-0.33333333333333337,1.0,1.0,5.5653568,25.825694444444444,21.8,,25.115116360540643,21.953854080679527,,True,14
