Hour,Sampled_Price,AC_Power,Outdoor_Temperature,Indoor_Temperature,Dynamic_T_max
1,-1.0,12.0,28.0,21.047152,25.230506313024577
1,-0.9797979797979798,12.0,28.0,21.047152,25.205033820173618
1,-0.9595959595959596,12.0,28.0,21.047152,25.179587044122947
1,-0.9393939393939394,12.0,28.0,21.047152,25.154165958909115
1,-0.9191919191919192,12.0,28.0,21.047152,25.12877053859488
1,-0.898989898989899,12.0,28.0,21.047152,25.1034007572692
1,-0.8787878787878788,12.0,28.0,21.047152,25.078056589047165
1,-0.8585858585858586,12.0,28.0,21.047152,25.05273800807003
1,-0.8383838383838383,12.0,28.0,21.047152,25.027444988505135
1,-0.8181818181818181,12.0,28.0,21.047152,25.00217750454591
1,-0.797979797979798,12.0,28.0,21.047152,24.976935530411836
1,-0.7777777777777778,12.0,28.0,21.047152,24.951719040348422
1,-0.7575757575757576,12.0,28.0,21.047152,24.92652800862718
1,-0.7373737373737373,12.0,28.0,21.047152,24.90136240954559
1,-0.7171717171717171,12.0,28.0,21.047152,24.8762222174271
1,-0.696969696969697,1.9665008,28.0,22.949598,24.851107406621054
1,-0.6767676767676767,1.9665008,28.0,22.949598,24.82601795150272
1,-0.6565656565656566,1.9665008,28.0,22.949598,24.80095382647321
1,-0.6363636363636364,1.9665008,28.0,22.949598,24.7759150059595
1,-0.6161616161616161,1.9665008,28.0,22.949598,24.75090146441438
1,-0.5959595959595959,1.9665008,28.0,22.949598,24.725913176316425
1,-0.5757575757575757,1.9665008,28.0,22.949598,24.700950116169984
1,-0.5555555555555556,1.9665008,28.0,22.949598,24.676012258505146
1,-0.5353535353535352,1.9665008,28.0,22.949598,24.651099577877705
1,-0.5151515151515151,1.9665008,28.0,22.949598,24.626212048869156
1,-0.4949494949494949,1.9665008,28.0,22.949598,24.601349646086646
1,-0.4747474747474747,1.9665008,28.0,22.949598,24.576512344162968
1,-0.4545454545454545,1.9665008,28.0,22.949598,24.551700117756518
1,-0.43434343434343425,0.0,28.0,23.322465,24.526912941551274
1,-0.41414141414141414,0.0,28.0,23.322465,24.502150790256778
1,-0.3939393939393939,0.0,28.0,23.322465,24.477413638608112
1,-0.3737373737373737,0.0,28.0,23.322465,24.452701461365855
1,-0.3535353535353535,0.0,28.0,23.322465,24.428014233316063
1,-0.33333333333333326,0.0,28.0,23.322465,24.40335192927026
1,-0.31313131313131304,0.0,28.0,23.322465,24.3787145240654
1,-0.2929292929292928,0.0,28.0,23.322465,24.354101992563834
1,-0.2727272727272727,0.0,28.0,23.322465,24.32951430965329
1,-0.2525252525252525,0.0,28.0,23.322465,24.30495145024686
1,-0.23232323232323226,0.0,28.0,23.322465,24.280413389282945
1,-0.21212121212121204,0.0,28.0,23.322465,24.255900101725274
1,-0.19191919191919182,0.0,28.0,23.322465,24.23141156256283
1,-0.1717171717171716,0.0,28.0,23.322465,24.20694774680986
1,-0.1515151515151515,0.0,28.0,23.322465,24.182508629505826
1,-0.13131313131313127,0.0,28.0,23.322465,24.1580941857154
1,-0.11111111111111105,0.0,28.0,23.322465,24.133704390528422
1,-0.09090909090909083,0.0,28.0,23.322465,24.109339219059876
1,-0.07070707070707061,0.0,28.0,23.322465,24.084998646449893
1,-0.050505050505050386,0.0,28.0,23.322465,24.060682647863675
1,-0.030303030303030276,0.0,28.0,23.322465,24.03639119849151
1,-0.010101010101010055,0.0,28.0,23.322465,24.012124273548736
1,0.010101010101010166,0.0,28.0,23.322465,23.9878818482757
1,0.030303030303030498,0.0,28.0,23.322465,23.96366389793776
